Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,10:24:49:639,0.000000,0.000000,1,-81.36,-81.36,0,0,
09/21/2026,10:24:49:651,0.000000,0.000000,1,-82.94,-82.94,0,0,
09/21/2026,10:24:49:675,0.000000,0.000000,1,-83.84,-83.84,0,0,
09/21/2026,10:24:49:698,0.000000,0.000000,1,-89.25,-89.25,0,0,
09/21/2026,10:24:49:699,0.000000,0.000000,2,-125.31,-125.31,0,0,
09/21/2026,10:24:49:719,0.000000,0.000000,1,-90.38,-90.38,0,0,
09/21/2026,10:24:49:730,0.000000,0.000000,2,-125.05,-125.05,0,0,
09/21/2026,10:24:49:761,0.000000,0.000000,1,-87.7,-87.7,0,0,
09/21/2026,10:24:49:770,0.000000,0.000000,2,-124.79,-124.79,0,0,
09/21/2026,10:24:49:782,0.000000,0.000000,3,-124.61,-124.61,0,0,
09/21/2026,10:24:49:816,0.000000,0.000000,1,-80.74,-80.74,0,0,
09/21/2026,10:24:49:820,0.000000,0.000000,2,-124.68,-124.68,0,0,
09/21/2026,10:24:49:835,0.000000,0.000000,3,-123.92,-123.92,0,0,
09/21/2026,10:24:49:854,0.000000,0.000000,4,-123.8,-123.8,0,0,
09/21/2026,10:24:49:876,0.000000,0.000000,1,-77.8,-77.8,0,0,
09/21/2026,10:24:49:882,0.000000,0.000000,2,-125.55,-125.55,0,0,
09/21/2026,10:24:49:906,0.000000,0.000000,3,-124.39,-124.39,0,0,
09/21/2026,10:24:49:940,0.000000,0.000000,4,-123.75,-123.75,0,0,
09/21/2026,10:24:49:952,0.000000,0.000000,1,-83.25,-83.25,0,0,
09/21/2026,10:24:49:971,0.000000,0.000000,2,-124.67,-124.67,0,0,
09/21/2026,10:24:50:010,0.000000,0.000000,3,-126.4,-126.4,0,0,
09/21/2026,10:24:50:013,0.000000,0.000000,4,-124.89,-124.89,0,0,
09/21/2026,10:24:50:065,0.000000,0.000000,1,-81.35,-81.35,0,0,
09/21/2026,10:24:50:069,0.000000,0.000000,2,-123.05,-123.05,0,0,
09/21/2026,10:24:50:122,0.000000,0.000000,3,-125.84,-125.84,0,0,
09/21/2026,10:24:50:124,0.000000,0.000000,4,-124.17,-124.17,0,0,
09/21/2026,10:24:50:190,0.000000,0.000000,1,-82.08,-82.08,0,0,
09/21/2026,10:24:50:207,0.000000,0.000000,2,-122.61,-122.61,0,0,
09/21/2026,10:24:50:244,0.000000,0.000000,3,-124.54,-124.54,0,0,
09/21/2026,10:24:50:277,0.000000,0.000000,4,-124.79,-124.79,0,0,
09/21/2026,10:24:50:361,0.000000,0.000000,1,-84.6,-84.6,0,0,
09/21/2026,10:24:50:376,0.000000,0.000000,2,-121.29,-121.29,0,0,
09/21/2026,10:24:50:429,0.000000,0.000000,3,-125.15,-125.15,0,0,
09/21/2026,10:24:50:481,0.000000,0.000000,4,-126.04,-126.04,0,0,
09/21/2026,10:24:50:602,0.000000,0.000000,1,-90.85,-90.85,0,0,
09/21/2026,10:24:50:674,0.000000,0.000000,2,-123.04,-123.04,0,0,
09/21/2026,10:24:50:725,0.000000,0.000000,3,-124.54,-124.54,0,0,
09/21/2026,10:24:50:803,0.000000,0.000000,4,-123.6,-123.6,0,0,
09/21/2026,10:24:50:886,0.000000,0.000000,1,-79.29,-79.29,0,0,
09/21/2026,10:24:50:916,0.000000,0.000000,2,-125.3,-125.3,0,0,
09/21/2026,10:24:50:984,0.000000,0.000000,3,-126.19,-126.19,0,0,
09/21/2026,10:24:51:037,0.000000,0.000000,4,-124.12,-124.12,0,0,
09/21/2026,10:24:51:159,0.000000,0.000000,1,-81,-81,0,0,
09/21/2026,10:24:51:205,0.000000,0.000000,2,-126.44,-126.44,0,0,
09/21/2026,10:24:51:265,0.000000,0.000000,3,-125.42,-125.42,0,0,
09/21/2026,10:24:51:315,0.000000,0.000000,4,-124.7,-124.7,0,0,
09/21/2026,10:24:51:457,0.000000,0.000000,1,-92.85,-92.85,0,0,
09/21/2026,10:24:51:474,0.000000,0.000000,2,-124.92,-124.92,0,0,
09/21/2026,10:24:51:544,0.000000,0.000000,3,-127.05,-127.05,0,0,
09/21/2026,10:24:51:594,0.000000,0.000000,4,-124.22,-124.22,0,0,
09/21/2026,10:24:51:720,0.000000,0.000000,1,-86.99,-86.99,0,0,
09/21/2026,10:24:51:757,0.000000,0.000000,2,-122.9,-122.9,0,0,
09/21/2026,10:24:51:822,0.000000,0.000000,3,-126.13,-126.13,0,0,
09/21/2026,10:24:51:872,0.000000,0.000000,4,-125.13,-125.13,0,0,
09/21/2026,10:24:51:995,0.000000,0.000000,1,-93.54,-93.54,0,0,
09/21/2026,10:24:52:037,0.000000,0.000000,2,-122.8,-122.8,0,0,
09/21/2026,10:24:52:100,0.000000,0.000000,3,-126.17,-126.17,0,0,
09/21/2026,10:24:52:155,0.000000,0.000000,4,-122.59,-122.59,0,0,
09/21/2026,10:24:52:274,0.000000,0.000000,1,-85.62,-85.62,0,0,
09/21/2026,10:24:52:309,0.000000,0.000000,2,-122.9,-122.9,0,0,
09/21/2026,10:24:52:383,0.000000,0.000000,3,-123.54,-123.54,0,0,
09/21/2026,10:24:52:430,0.000000,0.000000,4,-127.24,-127.24,0,0,
09/21/2026,10:24:52:598,0.000000,0.000000,1,-79.73,-79.73,0,0,
