Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,11:03:31:262,0.000000,0.000000,1,-104.18,-104.18,0,0,
09/21/2026,11:03:31:315,0.000000,0.000000,2,-102.27,-102.27,0,0,
09/21/2026,11:03:31:392,0.000000,0.000000,3,-73.95,-73.95,0,0,
09/21/2026,11:03:31:465,0.000000,0.000000,4,-116.04,-116.04,0,0,
09/21/2026,11:03:31:604,0.000000,0.000000,1,-104.66,-104.66,0,0,
09/21/2026,11:03:31:678,0.000000,0.000000,2,-104.58,-104.58,0,0,
09/21/2026,11:03:31:736,0.000000,0.000000,3,-64.16,-64.16,0,0,
09/21/2026,11:03:31:798,0.000000,0.000000,4,-103.18,-103.18,0,0,
09/21/2026,11:03:31:924,0.000000,0.000000,1,-111.26,-111.26,0,0,
09/21/2026,11:03:31:992,0.000000,0.000000,2,-103.55,-103.55,0,0,
09/21/2026,11:03:32:103,0.000000,0.000000,3,-65.14,-65.14,0,0,
09/21/2026,11:03:32:146,0.000000,0.000000,4,-111.29,-111.29,0,0,
09/21/2026,11:03:32:275,0.000000,0.000000,1,-109.88,-109.88,0,0,
09/21/2026,11:03:32:339,0.000000,0.000000,2,-109.69,-109.69,0,0,
09/21/2026,11:03:32:427,0.000000,0.000000,3,-65.55,-65.55,0,0,
09/21/2026,11:03:32:478,0.000000,0.000000,4,-104.73,-104.73,0,0,
09/21/2026,11:03:32:628,0.000000,0.000000,1,-113.59,-113.59,0,0,
09/21/2026,11:03:32:691,0.000000,0.000000,2,-110.29,-110.29,0,0,
09/21/2026,11:03:32:794,0.000000,0.000000,3,-72.66,-72.66,0,0,
09/21/2026,11:03:32:826,0.000000,0.000000,4,-108.39,-108.39,0,0,
09/21/2026,11:03:32:964,0.000000,0.000000,1,-111.13,-111.13,0,0,
09/21/2026,11:03:33:042,0.000000,0.000000,2,-106.95,-106.95,0,0,
09/21/2026,11:03:33:120,0.000000,0.000000,3,-63.09,-63.09,0,0,
09/21/2026,11:03:33:174,0.000000,0.000000,4,-104.48,-104.48,0,0,
09/21/2026,11:03:33:313,0.000000,0.000000,1,-108.14,-108.14,0,0,
09/21/2026,11:03:33:388,0.000000,0.000000,2,-110.32,-110.32,0,0,
09/21/2026,11:03:33:468,0.000000,0.000000,3,-72.2,-72.2,0,0,
09/21/2026,11:03:33:544,0.000000,0.000000,4,-108.89,-108.89,0,0,
09/21/2026,11:03:33:656,0.000000,0.000000,1,-109.98,-109.98,0,0,
09/21/2026,11:03:33:768,0.000000,0.000000,2,-106.27,-106.27,0,0,
09/21/2026,11:03:33:813,0.000000,0.000000,3,-68.39,-68.39,0,0,
09/21/2026,11:03:33:864,0.000000,0.000000,4,-110.94,-110.94,0,0,
09/21/2026,11:03:34:004,0.000000,0.000000,1,-106.08,-106.08,0,0,
09/21/2026,11:03:34:072,0.000000,0.000000,2,-103.19,-103.19,0,0,
09/21/2026,11:03:34:159,0.000000,0.000000,3,-73.23,-73.23,0,0,
09/21/2026,11:03:34:218,0.000000,0.000000,4,-109.98,-109.98,0,0,
09/21/2026,11:03:34:350,0.000000,0.000000,1,-112.37,-112.37,0,0,
09/21/2026,11:03:34:420,0.000000,0.000000,2,-113.2,-113.2,0,0,
09/21/2026,11:03:34:511,0.000000,0.000000,3,-74.91,-74.91,0,0,
09/21/2026,11:03:34:566,0.000000,0.000000,4,-109.67,-109.67,0,0,
09/21/2026,11:03:34:695,0.000000,0.000000,1,-111.34,-111.34,0,0,
09/21/2026,11:03:34:770,0.000000,0.000000,2,-111.2,-111.2,0,0,
09/21/2026,11:03:34:855,0.000000,0.000000,3,-73.66,-73.66,0,0,
09/21/2026,11:03:34:907,0.000000,0.000000,4,-110.17,-110.17,0,0,
09/21/2026,11:03:35:045,0.000000,0.000000,1,-112.97,-112.97,0,0,
09/21/2026,11:03:35:114,0.000000,0.000000,2,-111.23,-111.23,0,0,
09/21/2026,11:03:35:201,0.000000,0.000000,3,-81.12,-81.12,0,0,
09/21/2026,11:03:35:298,0.000000,0.000000,4,-112.67,-112.67,0,0,
09/21/2026,11:03:35:433,0.000000,0.000000,1,-111.13,-111.13,0,0,
09/21/2026,11:03:35:493,0.000000,0.000000,2,-108.93,-108.93,0,0,
09/21/2026,11:03:35:559,0.000000,0.000000,3,-73.75,-73.75,0,0,
09/21/2026,11:03:35:613,0.000000,0.000000,4,-115.79,-115.79,0,0,
09/21/2026,11:03:35:738,0.000000,0.000000,1,-112.53,-112.53,0,0,
09/21/2026,11:03:35:807,0.000000,0.000000,2,-110.27,-110.27,0,0,
09/21/2026,11:03:35:895,0.000000,0.000000,3,-78.55,-78.55,0,0,
09/21/2026,11:03:35:971,0.000000,0.000000,4,-114.02,-114.02,0,0,
09/21/2026,11:03:36:085,0.000000,0.000000,1,-113.17,-113.17,0,0,
09/21/2026,11:03:36:156,0.000000,0.000000,2,-111.4,-111.4,0,0,
09/21/2026,11:03:36:249,0.000000,0.000000,3,-87.62,-87.62,0,0,
09/21/2026,11:03:36:292,0.000000,0.000000,4,-114.1,-114.1,0,0,
09/21/2026,11:03:36:769,0.000000,0.000000,1,-112.49,-112.49,0,0,
09/21/2026,11:03:36:811,0.000000,0.000000,2,-110.54,-110.54,0,0,
09/21/2026,11:03:36:838,0.000000,0.000000,3,-83.3,-83.3,0,0,
09/21/2026,11:03:36:848,0.000000,0.000000,4,-114.84,-114.84,0,0,
09/21/2026,11:03:36:909,0.000000,0.000000,1,-109.49,-109.49,0,0,
