Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
09/21/2026,10:40:29:368,0.000000,0.000000,1,-127.12,-127.12,0,0,
09/21/2026,10:40:29:456,0.000000,0.000000,2,-127.28,-127.28,0,0,
09/21/2026,10:40:29:524,0.000000,0.000000,3,-123.27,-123.27,0,0,
09/21/2026,10:40:29:576,0.000000,0.000000,4,-100.78,-100.78,0,0,
09/21/2026,10:40:29:715,0.000000,0.000000,1,-124.69,-124.69,0,0,
09/21/2026,10:40:29:803,0.000000,0.000000,2,-124.34,-124.34,0,0,
09/21/2026,10:40:29:872,0.000000,0.000000,3,-121.8,-121.8,0,0,
09/21/2026,10:40:29:920,0.000000,0.000000,4,-91.3,-91.3,0,0,
09/21/2026,10:40:30:060,0.000000,0.000000,1,-125.08,-125.08,0,0,
09/21/2026,10:40:30:151,0.000000,0.000000,2,-124.7,-124.7,0,0,
09/21/2026,10:40:30:216,0.000000,0.000000,3,-124.04,-124.04,0,0,
09/21/2026,10:40:30:267,0.000000,0.000000,4,-77.04,-77.04,0,0,
09/21/2026,10:40:30:408,0.000000,0.000000,1,-126.02,-126.02,0,0,
09/21/2026,10:40:30:497,0.000000,0.000000,2,-125.58,-125.58,0,0,
09/21/2026,10:40:30:566,0.000000,0.000000,3,-121.92,-121.92,0,0,
09/21/2026,10:40:30:613,0.000000,0.000000,4,-95.69,-95.69,0,0,
09/21/2026,10:40:30:756,0.000000,0.000000,1,-127.57,-127.57,0,0,
09/21/2026,10:40:30:901,0.000000,0.000000,2,-126.16,-126.16,0,0,
09/21/2026,10:40:30:912,0.000000,0.000000,3,-124.46,-124.46,0,0,
09/21/2026,10:40:30:974,0.000000,0.000000,4,-79.52,-79.52,0,0,
09/21/2026,10:40:31:110,0.000000,0.000000,1,-124.52,-124.52,0,0,
09/21/2026,10:40:31:190,0.000000,0.000000,2,-126.17,-126.17,0,0,
09/21/2026,10:40:31:257,0.000000,0.000000,3,-122.4,-122.4,0,0,
09/21/2026,10:40:31:309,0.000000,0.000000,4,-78.78,-78.78,0,0,
09/21/2026,10:40:31:453,0.000000,0.000000,1,-124.67,-124.67,0,0,
09/21/2026,10:40:31:537,0.000000,0.000000,2,-126.96,-126.96,0,0,
09/21/2026,10:40:31:603,0.000000,0.000000,3,-122.74,-122.74,0,0,
09/21/2026,10:40:31:654,0.000000,0.000000,4,-89.45,-89.45,0,0,
09/21/2026,10:40:31:796,0.000000,0.000000,1,-126.36,-126.36,0,0,
09/21/2026,10:40:31:882,0.000000,0.000000,2,-125.5,-125.5,0,0,
09/21/2026,10:40:31:952,0.000000,0.000000,3,-123.15,-123.15,0,0,
09/21/2026,10:40:32:000,0.000000,0.000000,4,-81.19,-81.19,0,0,
09/21/2026,10:40:32:144,0.000000,0.000000,1,-124.45,-124.45,0,0,
09/21/2026,10:40:32:251,0.000000,0.000000,2,-125.43,-125.43,0,0,
09/21/2026,10:40:32:302,0.000000,0.000000,3,-122.76,-122.76,0,0,
09/21/2026,10:40:32:350,0.000000,0.000000,4,-81.93,-81.93,0,0,
09/21/2026,10:40:32:490,0.000000,0.000000,1,-127.32,-127.32,0,0,
