Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:40:13:786,0.000000,0.000000,1,-116.23,-116.23,0,0,
05/14/2026,09:40:13:787,0.000000,0.000000,1,-115.36,-115.36,0,0,
05/14/2026,09:40:13:788,0.000000,0.000000,1,-115.08,-115.08,0,0,
05/14/2026,09:40:13:827,0.000000,0.000000,1,-112.68,-112.68,0,0,
05/14/2026,09:40:13:855,0.000000,0.000000,1,-113.45,-113.45,0,0,
05/14/2026,09:40:13:868,0.000000,0.000000,1,-115.35,-115.35,0,0,
05/14/2026,09:40:13:882,0.000000,0.000000,2,-113.2,-113.2,0,0,
05/14/2026,09:40:13:898,0.000000,0.000000,1,-113.25,-113.25,0,0,
05/14/2026,09:40:13:968,0.000000,0.000000,2,-113.1,-113.1,0,0,
05/14/2026,09:40:13:970,0.000000,0.000000,1,-113.59,-113.59,0,0,
05/14/2026,09:40:13:977,0.000000,0.000000,2,-113.18,-113.18,0,0,
05/14/2026,09:40:13:993,0.000000,0.000000,3,-79.13,-79.13,0,0,
05/14/2026,09:40:13:997,0.000000,0.000000,1,-115.21,-115.21,0,0,
05/14/2026,09:40:14:002,0.000000,0.000000,2,-113.62,-113.62,0,0,
05/14/2026,09:40:14:016,0.000000,0.000000,3,-80.2,-80.2,0,0,
05/14/2026,09:40:14:018,0.000000,0.000000,1,-113.1,-113.1,0,0,
05/14/2026,09:40:14:041,0.000000,0.000000,4,-116.77,-116.77,0,0,
05/14/2026,09:40:14:057,0.000000,0.000000,2,-113.82,-113.82,0,0,
05/14/2026,09:40:14:071,0.000000,0.000000,3,-81.13,-81.13,0,0,
05/14/2026,09:40:14:087,0.000000,0.000000,1,-116.26,-116.26,0,0,
05/14/2026,09:40:14:118,0.000000,0.000000,4,-115.55,-115.55,0,0,
05/14/2026,09:40:14:126,0.000000,0.000000,2,-119.19,-119.19,0,0,
05/14/2026,09:40:14:157,0.000000,0.000000,3,-79.9,-79.9,0,0,
05/14/2026,09:40:14:183,0.000000,0.000000,1,-115.79,-115.79,0,0,
05/14/2026,09:40:14:215,0.000000,0.000000,4,-115.02,-115.02,0,0,
05/14/2026,09:40:14:271,0.000000,0.000000,2,-115.85,-115.85,0,0,
05/14/2026,09:40:14:330,0.000000,0.000000,3,-83.76,-83.76,0,0,
05/14/2026,09:40:14:351,0.000000,0.000000,1,-119.68,-119.68,0,0,
05/14/2026,09:40:14:385,0.000000,0.000000,4,-115.91,-115.91,0,0,
05/14/2026,09:40:14:396,0.000000,0.000000,2,-117.78,-117.78,0,0,
05/14/2026,09:40:14:435,0.000000,0.000000,3,-81.03,-81.03,0,0,
05/14/2026,09:40:14:558,0.000000,0.000000,1,-121.89,-121.89,0,0,
05/14/2026,09:40:14:599,0.000000,0.000000,4,-115.67,-115.67,0,0,
05/14/2026,09:40:14:605,0.000000,0.000000,2,-119.39,-119.39,0,0,
05/14/2026,09:40:14:618,0.000000,0.000000,3,-80.63,-80.63,0,0,
05/14/2026,09:40:14:678,0.000000,0.000000,1,-120.7,-120.7,0,0,
05/14/2026,09:40:14:724,0.000000,0.000000,4,-117.71,-117.71,0,0,
05/14/2026,09:40:14:767,0.000000,0.000000,2,-121.18,-121.18,0,0,
05/14/2026,09:40:14:809,0.000000,0.000000,3,-89.65,-89.65,0,0,
05/14/2026,09:40:14:901,0.000000,0.000000,1,-117.03,-117.03,0,0,
05/14/2026,09:40:14:973,0.000000,0.000000,4,-118.73,-118.73,0,0,
05/14/2026,09:40:15:014,0.000000,0.000000,2,-112.5,-112.5,0,0,
05/14/2026,09:40:15:083,0.000000,0.000000,3,-82.57,-82.57,0,0,
05/14/2026,09:40:15:142,0.000000,0.000000,1,-124.14,-124.14,0,0,
05/14/2026,09:40:15:215,0.000000,0.000000,4,-118.64,-118.64,0,0,
05/14/2026,09:40:15:252,0.000000,0.000000,2,-121.97,-121.97,0,0,
05/14/2026,09:40:15:305,0.000000,0.000000,3,-80.6,-80.6,0,0,
05/14/2026,09:40:15:386,0.000000,0.000000,1,-115.31,-115.31,0,0,
05/14/2026,09:40:15:467,0.000000,0.000000,4,-116.84,-116.84,0,0,
05/14/2026,09:40:15:513,0.000000,0.000000,2,-112.49,-112.49,0,0,
05/14/2026,09:40:15:551,0.000000,0.000000,3,-83.16,-83.16,0,0,
05/14/2026,09:40:15:667,0.000000,0.000000,1,-109.61,-109.61,0,0,
05/14/2026,09:40:15:721,0.000000,0.000000,4,-120.28,-120.28,0,0,
05/14/2026,09:40:15:739,0.000000,0.000000,2,-116.73,-116.73,0,0,
05/14/2026,09:40:15:789,0.000000,0.000000,3,-102.2,-102.2,0,0,
05/14/2026,09:40:15:895,0.000000,0.000000,1,-121.43,-121.43,0,0,
05/14/2026,09:40:15:946,0.000000,0.000000,4,-118.15,-118.15,0,0,
05/14/2026,09:40:16:007,0.000000,0.000000,2,-114.15,-114.15,0,0,
05/14/2026,09:40:16:039,0.000000,0.000000,3,-89.15,-89.15,0,0,
05/14/2026,09:40:16:178,0.000000,0.000000,1,-118.33,-118.33,0,0,
05/14/2026,09:40:16:200,0.000000,0.000000,4,-118.74,-118.74,0,0,
05/14/2026,09:40:16:239,0.000000,0.000000,2,-124.19,-124.19,0,0,
05/14/2026,09:40:16:295,0.000000,0.000000,3,-84.12,-84.12,0,0,
05/14/2026,09:40:16:427,0.000000,0.000000,1,-123.12,-123.12,0,0,
05/14/2026,09:40:16:493,0.000000,0.000000,4,-118.62,-118.62,0,0,
05/14/2026,09:40:16:575,0.000000,0.000000,2,-125.53,-125.53,0,0,
05/14/2026,09:40:16:637,0.000000,0.000000,3,-78.31,-78.31,0,0,
05/14/2026,09:40:16:670,0.000000,0.000000,1,-121.2,-121.2,0,0,
05/14/2026,09:40:16:740,0.000000,0.000000,4,-113.3,-113.3,0,0,
05/14/2026,09:40:16:745,0.000000,0.000000,2,-122.43,-122.43,0,0,
05/14/2026,09:40:16:828,0.000000,0.000000,3,-76.13,-76.13,0,0,
05/14/2026,09:40:16:942,0.000000,0.000000,1,-121.58,-121.58,0,0,
05/14/2026,09:40:16:988,0.000000,0.000000,4,-114.98,-114.98,0,0,
05/14/2026,09:40:17:003,0.000000,0.000000,2,-119.21,-119.21,0,0,
05/14/2026,09:40:17:037,0.000000,0.000000,3,-78.56,-78.56,0,0,
05/14/2026,09:40:17:105,0.000000,0.000000,1,-124.06,-124.06,0,0,
05/14/2026,09:40:17:170,0.000000,0.000000,4,-113.31,-113.31,0,0,
05/14/2026,09:40:17:205,0.000000,0.000000,2,-123.75,-123.75,0,0,
05/14/2026,09:40:17:259,0.000000,0.000000,3,-78.91,-78.91,0,0,
05/14/2026,09:40:17:346,0.000000,0.000000,1,-122.68,-122.68,0,0,
05/14/2026,09:40:17:416,0.000000,0.000000,4,-115.63,-115.63,0,0,
05/14/2026,09:40:17:472,0.000000,0.000000,2,-118,-118,0,0,
05/14/2026,09:40:17:509,0.000000,0.000000,3,-78.61,-78.61,0,0,
05/14/2026,09:40:17:621,0.000000,0.000000,1,-124.81,-124.81,0,0,
05/14/2026,09:40:17:660,0.000000,0.000000,4,-111.47,-111.47,0,0,
05/14/2026,09:40:17:696,0.000000,0.000000,2,-123.84,-123.84,0,0,
05/14/2026,09:40:17:751,0.000000,0.000000,3,-79.38,-79.38,0,0,
05/14/2026,09:40:17:843,0.000000,0.000000,1,-121.62,-121.62,0,0,
05/14/2026,09:40:17:906,0.000000,0.000000,4,-112.11,-112.11,0,0,
05/14/2026,09:40:17:941,0.000000,0.000000,2,-116.71,-116.71,0,0,
05/14/2026,09:40:17:999,0.000000,0.000000,3,-77.31,-77.31,0,0,
