Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:40:14:146,0.000000,0.000000,1,-110.51,-110.51,0,0,
05/14/2026,09:40:14:281,0.000000,0.000000,1,-110.58,-110.58,0,0,
05/14/2026,09:40:14:429,0.000000,0.000000,1,-122.75,-122.75,0,0,
05/14/2026,09:40:14:613,0.000000,0.000000,1,-109.71,-109.71,0,0,
05/14/2026,09:40:14:793,0.000000,0.000000,1,-102.43,-102.43,0,0,
05/14/2026,09:40:15:069,0.000000,0.000000,1,-110.12,-110.12,0,0,
05/14/2026,09:40:15:281,0.000000,0.000000,1,-108.56,-108.56,0,0,
05/14/2026,09:40:15:534,0.000000,0.000000,1,-104.5,-104.5,0,0,
05/14/2026,09:40:15:785,0.000000,0.000000,1,-112.56,-112.56,0,0,
05/14/2026,09:40:16:028,0.000000,0.000000,1,-102.18,-102.18,0,0,
05/14/2026,09:40:16:291,0.000000,0.000000,1,-112.16,-112.16,0,0,
05/14/2026,09:40:16:580,0.000000,0.000000,1,-101.04,-101.04,0,0,
05/14/2026,09:40:16:797,0.000000,0.000000,1,-107.98,-107.98,0,0,
05/14/2026,09:40:17:031,0.000000,0.000000,1,-105.06,-105.06,0,0,
05/14/2026,09:40:17:251,0.000000,0.000000,1,-106.97,-106.97,0,0,
05/14/2026,09:40:17:497,0.000000,0.000000,1,-107.13,-107.13,0,0,
05/14/2026,09:40:17:734,0.000000,0.000000,1,-104.13,-104.13,0,0,
05/14/2026,09:40:17:976,0.000000,0.000000,1,-105.69,-105.69,0,0,
05/14/2026,09:40:18:304,0.000000,0.000000,1,-111.63,-111.63,0,0,
05/14/2026,09:40:18:592,0.000000,0.000000,1,-104.42,-104.42,0,0,
05/14/2026,09:40:18:723,0.000000,0.000000,1,-112.27,-112.27,0,0,
05/14/2026,09:40:18:976,0.000000,0.000000,1,-117.73,-117.73,0,0,
05/14/2026,09:40:19:204,0.000000,0.000000,1,-115.14,-115.14,0,0,
05/14/2026,09:40:19:450,0.000000,0.000000,1,-122.59,-122.59,0,0,
05/14/2026,09:40:19:691,0.000000,0.000000,1,-119.4,-119.4,0,0,
05/14/2026,09:40:20:060,0.000000,0.000000,1,-113.32,-113.32,0,0,
05/14/2026,09:40:20:408,0.000000,0.000000,1,-111.17,-111.17,0,0,
05/14/2026,09:40:20:605,0.000000,0.000000,1,-119.61,-119.61,0,0,
05/14/2026,09:40:20:724,0.000000,0.000000,1,-112.88,-112.88,0,0,
05/14/2026,09:40:20:924,0.000000,0.000000,1,-113.39,-113.39,0,0,
05/14/2026,09:40:21:168,0.000000,0.000000,1,-112.59,-112.59,0,0,
05/14/2026,09:40:21:416,0.000000,0.000000,1,-119.97,-119.97,0,0,
05/14/2026,09:40:21:656,0.000000,0.000000,1,-116.08,-116.08,0,0,
05/14/2026,09:40:21:916,0.000000,0.000000,1,-111.63,-111.63,0,0,
05/14/2026,09:40:22:319,0.000000,0.000000,1,-111,-111,0,0,
05/14/2026,09:40:22:481,0.000000,0.000000,1,-112.19,-112.19,0,0,
05/14/2026,09:40:22:645,0.000000,0.000000,1,-109.45,-109.45,0,0,
05/14/2026,09:40:22:874,0.000000,0.000000,1,-106.98,-106.98,0,0,
05/14/2026,09:40:23:122,0.000000,0.000000,1,-108.83,-108.83,0,0,
05/14/2026,09:40:23:362,0.000000,0.000000,1,-112.71,-112.71,0,0,
05/14/2026,09:40:23:610,0.000000,0.000000,1,-105.95,-105.95,0,0,
05/14/2026,09:40:23:915,0.000000,0.000000,1,-105.2,-105.2,0,0,
05/14/2026,09:40:24:143,0.000000,0.000000,1,-106.35,-106.35,0,0,
05/14/2026,09:40:24:341,0.000000,0.000000,1,-111.22,-111.22,0,0,
05/14/2026,09:40:24:632,0.000000,0.000000,1,-113.37,-113.37,0,0,
05/14/2026,09:40:24:914,0.000000,0.000000,1,-107.06,-107.06,0,0,
05/14/2026,09:40:25:378,0.000000,0.000000,1,-103.62,-103.62,0,0,
05/14/2026,09:40:25:531,0.000000,0.000000,1,-103.93,-103.93,0,0,
05/14/2026,09:40:25:656,0.000000,0.000000,1,-103.42,-103.42,0,0,
05/14/2026,09:40:25:913,0.000000,0.000000,1,-105.39,-105.39,0,0,
05/14/2026,09:40:26:155,0.000000,0.000000,1,-104.56,-104.56,0,0,
05/14/2026,09:40:26:392,0.000000,0.000000,1,-105.52,-105.52,0,0,
05/14/2026,09:40:26:644,0.000000,0.000000,1,-107.42,-107.42,0,0,
05/14/2026,09:40:26:891,0.000000,0.000000,1,-103.47,-103.47,0,0,
05/14/2026,09:40:27:148,0.000000,0.000000,1,-104.64,-104.64,0,0,
05/14/2026,09:40:27:378,0.000000,0.000000,1,-103.33,-103.33,0,0,
05/14/2026,09:40:27:645,0.000000,0.000000,1,-116.47,-116.47,0,0,
05/14/2026,09:40:27:951,0.000000,0.000000,1,-108.8,-108.8,0,0,
05/14/2026,09:40:28:222,0.000000,0.000000,1,-107,-107,0,0,
05/14/2026,09:40:28:393,0.000000,0.000000,1,-109.48,-109.48,0,0,
05/14/2026,09:40:28:615,0.000000,0.000000,1,-103.73,-103.73,0,0,
05/14/2026,09:40:28:923,0.000000,0.000000,1,-106.37,-106.37,0,0,
05/14/2026,09:40:29:544,0.000000,0.000000,1,-107.26,-107.26,0,0,
05/14/2026,09:40:29:751,0.000000,0.000000,1,-111.79,-111.79,0,0,
05/14/2026,09:40:29:928,0.000000,0.000000,1,-106.48,-106.48,0,0,
05/14/2026,09:40:30:179,0.000000,0.000000,1,-111.46,-111.46,0,0,
05/14/2026,09:40:32:988,0.000000,0.000000,1,-110.49,-110.49,0,0,
05/14/2026,09:40:33:407,0.000000,0.000000,1,-110.86,-110.86,0,0,
05/14/2026,09:40:33:634,0.000000,0.000000,1,-100.88,-100.88,0,0,
05/14/2026,09:40:33:866,0.000000,0.000000,1,-105.46,-105.46,0,0,
05/14/2026,09:40:34:171,0.000000,0.000000,1,-106.55,-106.55,0,0,
05/14/2026,09:40:34:453,0.000000,0.000000,1,-109.7,-109.7,0,0,
05/14/2026,09:40:34:742,0.000000,0.000000,1,-111.7,-111.7,0,0,
05/14/2026,09:40:35:247,0.000000,0.000000,1,-105.54,-105.54,0,0,
05/14/2026,09:40:35:458,0.000000,0.000000,1,-108.49,-108.49,0,0,
05/14/2026,09:40:35:726,0.000000,0.000000,1,-106.39,-106.39,0,0,
05/14/2026,09:40:35:941,0.000000,0.000000,1,-104.9,-104.9,0,0,
05/14/2026,09:40:36:145,0.000000,0.000000,1,-106.93,-106.93,0,0,
05/14/2026,09:40:36:274,0.000000,0.000000,1,-107.78,-107.78,0,0,
05/14/2026,09:40:36:484,0.000000,0.000000,1,-105.22,-105.22,0,0,
05/14/2026,09:40:36:773,0.000000,0.000000,1,-107.2,-107.2,0,0,
05/14/2026,09:40:37:159,0.000000,0.000000,1,-114.39,-114.39,0,0,
05/14/2026,09:40:37:331,0.000000,0.000000,1,-112.35,-112.35,0,0,
05/14/2026,09:40:37:444,0.000000,0.000000,1,-106.26,-106.26,0,0,
05/14/2026,09:40:37:549,0.000000,0.000000,1,-106.79,-106.79,0,0,
05/14/2026,09:40:37:741,0.000000,0.000000,1,-109.29,-109.29,0,0,
05/14/2026,09:40:37:896,0.000000,0.000000,1,-110.06,-110.06,0,0,
05/14/2026,09:40:38:348,0.000000,0.000000,1,-109.85,-109.85,0,0,
05/14/2026,09:40:38:691,0.000000,0.000000,1,-113.16,-113.16,0,0,
05/14/2026,09:40:38:993,0.000000,0.000000,1,-107.13,-107.13,0,0,
05/14/2026,09:40:39:265,0.000000,0.000000,1,-106.88,-106.88,0,0,
05/14/2026,09:40:39:508,0.000000,0.000000,1,-107.25,-107.25,0,0,
05/14/2026,09:40:39:684,0.000000,0.000000,1,-106.54,-106.54,0,0,
05/14/2026,09:40:39:819,0.000000,0.000000,1,-105.58,-105.58,0,0,
05/14/2026,09:40:39:952,0.000000,0.000000,1,-105.84,-105.84,0,0,
05/14/2026,09:40:40:148,0.000000,0.000000,1,-104.94,-104.94,0,0,
05/14/2026,09:40:40:311,0.000000,0.000000,1,-108.42,-108.42,0,0,
05/14/2026,09:40:40:469,0.000000,0.000000,1,-108.85,-108.85,0,0,
05/14/2026,09:40:40:734,0.000000,0.000000,1,-116.45,-116.45,0,0,
05/14/2026,09:40:41:083,0.000000,0.000000,1,-110.16,-110.16,0,0,
05/14/2026,09:40:41:370,0.000000,0.000000,1,-108.18,-108.18,0,0,
05/14/2026,09:40:41:607,0.000000,0.000000,1,-109.49,-109.49,0,0,
05/14/2026,09:40:41:715,0.000000,0.000000,1,-113.47,-113.47,0,0,
05/14/2026,09:40:41:896,0.000000,0.000000,1,-107.64,-107.64,0,0,
05/14/2026,09:40:42:041,0.000000,0.000000,1,-107.33,-107.33,0,0,
05/14/2026,09:40:42:197,0.000000,0.000000,1,-110.39,-110.39,0,0,
05/14/2026,09:40:42:420,0.000000,0.000000,1,-107.59,-107.59,0,0,
05/14/2026,09:40:42:585,0.000000,0.000000,1,-107.18,-107.18,0,0,
05/14/2026,09:40:42:751,0.000000,0.000000,1,-104.01,-104.01,0,0,
05/14/2026,09:40:42:870,0.000000,0.000000,1,-106.91,-106.91,0,0,
05/14/2026,09:40:43:010,0.000000,0.000000,1,-108.1,-108.1,0,0,
05/14/2026,09:40:43:156,0.000000,0.000000,1,-112.95,-112.95,0,0,
05/14/2026,09:40:44:047,0.000000,0.000000,1,-127.24,-127.24,0,0,
05/14/2026,09:40:44:162,0.000000,0.000000,1,-118.58,-118.58,0,0,
05/14/2026,09:40:44:436,0.000000,0.000000,1,-113.02,-113.02,0,0,
05/14/2026,09:40:44:748,0.000000,0.000000,1,-113.06,-113.06,0,0,
05/14/2026,09:40:44:916,0.000000,0.000000,1,-112.55,-112.55,0,0,
05/14/2026,09:40:45:183,0.000000,0.000000,1,-113.85,-113.85,0,0,
05/14/2026,09:40:45:309,0.000000,0.000000,1,-114.06,-114.06,0,0,
05/14/2026,09:40:45:442,0.000000,0.000000,1,-116.36,-116.36,0,0,
05/14/2026,09:40:45:576,0.000000,0.000000,1,-116.7,-116.7,0,0,
05/14/2026,09:40:45:734,0.000000,0.000000,1,-111.95,-111.95,0,0,
05/14/2026,09:40:45:905,0.000000,0.000000,1,-104.95,-104.95,0,0,
05/14/2026,09:40:46:169,0.000000,0.000000,1,-106.39,-106.39,0,0,
05/14/2026,09:40:46:477,0.000000,0.000000,1,-111.22,-111.22,0,0,
05/14/2026,09:40:46:610,0.000000,0.000000,1,-117.65,-117.65,0,0,
05/14/2026,09:40:46:729,0.000000,0.000000,1,-116.07,-116.07,0,0,
05/14/2026,09:40:46:833,0.000000,0.000000,1,-110.54,-110.54,0,0,
05/14/2026,09:40:46:987,0.000000,0.000000,1,-120.1,-120.1,0,0,
05/14/2026,09:40:47:196,0.000000,0.000000,1,-106.33,-106.33,0,0,
05/14/2026,09:40:47:488,0.000000,0.000000,1,-104.88,-104.88,0,0,
05/14/2026,09:40:47:689,0.000000,0.000000,1,-104.05,-104.05,0,0,
05/14/2026,09:40:48:172,0.000000,0.000000,1,-110.88,-110.88,0,0,
05/14/2026,09:40:48:439,0.000000,0.000000,1,-110.82,-110.82,0,0,
05/14/2026,09:40:48:774,0.000000,0.000000,1,-107.36,-107.36,0,0,
05/14/2026,09:40:49:951,0.000000,0.000000,1,-106.49,-106.49,0,0,
05/14/2026,09:40:50:451,0.000000,0.000000,1,-97.97,-97.97,0,0,
05/14/2026,09:40:50:734,0.000000,0.000000,1,-108.99,-108.99,0,0,
05/14/2026,09:40:51:112,0.000000,0.000000,1,-99.58,-99.58,0,0,
05/14/2026,09:40:51:656,0.000000,0.000000,1,-104,-104,0,0,
05/14/2026,09:40:51:957,0.000000,0.000000,1,-109.75,-109.75,0,0,
05/14/2026,09:40:52:202,0.000000,0.000000,1,-103.3,-103.3,0,0,
05/14/2026,09:40:52:470,0.000000,0.000000,1,-104.25,-104.25,0,0,
05/14/2026,09:40:52:728,0.000000,0.000000,1,-107.5,-107.5,0,0,
05/14/2026,09:40:53:033,0.000000,0.000000,1,-103.32,-103.32,0,0,
05/14/2026,09:40:53:202,0.000000,0.000000,1,-100.18,-100.18,0,0,
05/14/2026,09:40:53:568,0.000000,0.000000,1,-104.86,-104.86,0,0,
05/14/2026,09:40:54:034,0.000000,0.000000,1,-103.9,-103.9,0,0,
05/14/2026,09:40:54:312,0.000000,0.000000,1,-101.35,-101.35,0,0,
05/14/2026,09:40:54:461,0.000000,0.000000,1,-102.29,-102.29,0,0,
05/14/2026,09:40:54:622,0.000000,0.000000,1,-112.59,-112.59,0,0,
05/14/2026,09:40:55:522,0.000000,0.000000,1,-108.47,-108.47,0,0,
05/14/2026,09:40:55:896,0.000000,0.000000,1,-101.11,-101.11,0,0,
05/14/2026,09:40:56:107,0.000000,0.000000,1,-101.26,-101.26,0,0,
05/14/2026,09:40:56:311,0.000000,0.000000,1,-108.69,-108.69,0,0,
05/14/2026,09:40:56:536,0.000000,0.000000,1,-105.37,-105.37,0,0,
05/14/2026,09:40:56:683,0.000000,0.000000,1,-109.01,-109.01,0,0,
05/14/2026,09:40:56:859,0.000000,0.000000,1,-104.04,-104.04,0,0,
05/14/2026,09:40:56:998,0.000000,0.000000,1,-109.2,-109.2,0,0,
05/14/2026,09:40:57:274,0.000000,0.000000,1,-107.65,-107.65,0,0,
05/14/2026,09:40:57:600,0.000000,0.000000,1,-112.74,-112.74,0,0,
05/14/2026,09:40:57:764,0.000000,0.000000,1,-118.68,-118.68,0,0,
05/14/2026,09:40:57:866,0.000000,0.000000,1,-107.24,-107.24,0,0,
