Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:40:14:218,0.000000,0.000000,1,-125.45,-125.45,0,0,
05/14/2026,09:40:14:340,0.000000,0.000000,2,-126.76,-126.76,0,0,
05/14/2026,09:40:14:380,0.000000,0.000000,3,-126.7,-126.7,0,0,
05/14/2026,09:40:14:390,0.000000,0.000000,1,-126.98,-126.98,0,0,
05/14/2026,09:40:14:398,0.000000,0.000000,4,-125.55,-125.55,0,0,
05/14/2026,09:40:14:494,0.000000,0.000000,2,-127.02,-127.02,0,0,
05/14/2026,09:40:14:561,0.000000,0.000000,3,-126.71,-126.71,0,0,
05/14/2026,09:40:14:602,0.000000,0.000000,1,-125.36,-125.36,0,0,
05/14/2026,09:40:14:611,0.000000,0.000000,4,-127.01,-127.01,0,0,
05/14/2026,09:40:14:668,0.000000,0.000000,2,-126.53,-126.53,0,0,
05/14/2026,09:40:14:713,0.000000,0.000000,3,-126.76,-126.76,0,0,
05/14/2026,09:40:14:763,0.000000,0.000000,1,-127.06,-127.06,0,0,
05/14/2026,09:40:14:775,0.000000,0.000000,4,-126.33,-126.33,0,0,
05/14/2026,09:40:14:847,0.000000,0.000000,2,-126.2,-126.2,0,0,
05/14/2026,09:40:14:936,0.000000,0.000000,3,-127.69,-127.69,0,0,
05/14/2026,09:40:14:993,0.000000,0.000000,1,-126.62,-126.62,0,0,
05/14/2026,09:40:15:020,0.000000,0.000000,4,-127.09,-127.09,0,0,
05/14/2026,09:40:15:091,0.000000,0.000000,2,-126.03,-126.03,0,0,
05/14/2026,09:40:15:193,0.000000,0.000000,3,-125.38,-125.38,0,0,
05/14/2026,09:40:15:250,0.000000,0.000000,1,-127.56,-127.56,0,0,
05/14/2026,09:40:15:268,0.000000,0.000000,4,-125.55,-125.55,0,0,
05/14/2026,09:40:15:337,0.000000,0.000000,2,-125.97,-125.97,0,0,
05/14/2026,09:40:15:422,0.000000,0.000000,3,-126.11,-126.11,0,0,
05/14/2026,09:40:15:486,0.000000,0.000000,1,-126.44,-126.44,0,0,
05/14/2026,09:40:15:518,0.000000,0.000000,4,-126.85,-126.85,0,0,
05/14/2026,09:40:15:599,0.000000,0.000000,2,-125.7,-125.7,0,0,
05/14/2026,09:40:15:695,0.000000,0.000000,3,-125.96,-125.96,0,0,
05/14/2026,09:40:15:725,0.000000,0.000000,1,-125.98,-125.98,0,0,
05/14/2026,09:40:15:754,0.000000,0.000000,4,-127.87,-127.87,0,0,
05/14/2026,09:40:15:825,0.000000,0.000000,2,-127.42,-127.42,0,0,
05/14/2026,09:40:15:920,0.000000,0.000000,3,-126.65,-126.65,0,0,
05/14/2026,09:40:15:983,0.000000,0.000000,1,-125.64,-125.64,0,0,
05/14/2026,09:40:16:017,0.000000,0.000000,4,-125.99,-125.99,0,0,
05/14/2026,09:40:16:076,0.000000,0.000000,2,-127.23,-127.23,0,0,
05/14/2026,09:40:16:188,0.000000,0.000000,3,-124.73,-124.73,0,0,
05/14/2026,09:40:16:228,0.000000,0.000000,1,-126.92,-126.92,0,0,
05/14/2026,09:40:16:247,0.000000,0.000000,4,-125.25,-125.25,0,0,
05/14/2026,09:40:16:384,0.000000,0.000000,2,-126.76,-126.76,0,0,
05/14/2026,09:40:16:450,0.000000,0.000000,3,-125.61,-125.61,0,0,
05/14/2026,09:40:16:528,0.000000,0.000000,1,-127.53,-127.53,0,0,
05/14/2026,09:40:16:576,0.000000,0.000000,4,-125.39,-125.39,0,0,
05/14/2026,09:40:16:655,0.000000,0.000000,2,-126.31,-126.31,0,0,
05/14/2026,09:40:16:693,0.000000,0.000000,3,-125.24,-125.24,0,0,
05/14/2026,09:40:16:741,0.000000,0.000000,1,-126.41,-126.41,0,0,
05/14/2026,09:40:16:795,0.000000,0.000000,4,-125.01,-125.01,0,0,
05/14/2026,09:40:16:881,0.000000,0.000000,2,-125.88,-125.88,0,0,
05/14/2026,09:40:16:956,0.000000,0.000000,3,-125.1,-125.1,0,0,
05/14/2026,09:40:17:000,0.000000,0.000000,1,-127.94,-127.94,0,0,
05/14/2026,09:40:17:015,0.000000,0.000000,4,-126.9,-126.9,0,0,
05/14/2026,09:40:17:068,0.000000,0.000000,2,-126.27,-126.27,0,0,
05/14/2026,09:40:17:141,0.000000,0.000000,3,-126.3,-126.3,0,0,
05/14/2026,09:40:17:190,0.000000,0.000000,1,-127.43,-127.43,0,0,
05/14/2026,09:40:17:225,0.000000,0.000000,4,-126.83,-126.83,0,0,
05/14/2026,09:40:17:295,0.000000,0.000000,2,-126.56,-126.56,0,0,
05/14/2026,09:40:17:385,0.000000,0.000000,3,-126.08,-126.08,0,0,
05/14/2026,09:40:17:457,0.000000,0.000000,1,-126.97,-126.97,0,0,
05/14/2026,09:40:17:492,0.000000,0.000000,4,-123.75,-123.75,0,0,
05/14/2026,09:40:17:547,0.000000,0.000000,2,-126.01,-126.01,0,0,
05/14/2026,09:40:17:644,0.000000,0.000000,3,-124.76,-124.76,0,0,
05/14/2026,09:40:17:687,0.000000,0.000000,1,-123.56,-123.56,0,0,
05/14/2026,09:40:17:723,0.000000,0.000000,4,-127.25,-127.25,0,0,
05/14/2026,09:40:17:788,0.000000,0.000000,2,-126.2,-126.2,0,0,
05/14/2026,09:40:17:870,0.000000,0.000000,3,-126.13,-126.13,0,0,
05/14/2026,09:40:17:931,0.000000,0.000000,1,-125.16,-125.16,0,0,
05/14/2026,09:40:17:960,0.000000,0.000000,4,-125.81,-125.81,0,0,
05/14/2026,09:40:18:049,0.000000,0.000000,2,-125.77,-125.77,0,0,
05/14/2026,09:40:18:241,0.000000,0.000000,3,-124.58,-124.58,0,0,
05/14/2026,09:40:18:262,0.000000,0.000000,1,-125.54,-125.54,0,0,
05/14/2026,09:40:18:293,0.000000,0.000000,4,-124.36,-124.36,0,0,
05/14/2026,09:40:18:353,0.000000,0.000000,2,-125.99,-125.99,0,0,
05/14/2026,09:40:18:408,0.000000,0.000000,3,-126.25,-126.25,0,0,
05/14/2026,09:40:18:491,0.000000,0.000000,1,-126.47,-126.47,0,0,
05/14/2026,09:40:18:551,0.000000,0.000000,4,-126.07,-126.07,0,0,
05/14/2026,09:40:18:603,0.000000,0.000000,2,-125.9,-125.9,0,0,
05/14/2026,09:40:18:662,0.000000,0.000000,3,-123.53,-123.53,0,0,
05/14/2026,09:40:18:703,0.000000,0.000000,1,-127.63,-127.63,0,0,
05/14/2026,09:40:18:715,0.000000,0.000000,4,-126.35,-126.35,0,0,
05/14/2026,09:40:18:763,0.000000,0.000000,2,-126.16,-126.16,0,0,
05/14/2026,09:40:18:851,0.000000,0.000000,3,-125.89,-125.89,0,0,
05/14/2026,09:40:18:904,0.000000,0.000000,1,-125.89,-125.89,0,0,
05/14/2026,09:40:18:961,0.000000,0.000000,4,-125.02,-125.02,0,0,
05/14/2026,09:40:19:019,0.000000,0.000000,2,-126.13,-126.13,0,0,
05/14/2026,09:40:19:095,0.000000,0.000000,3,-125.86,-125.86,0,0,
05/14/2026,09:40:19:149,0.000000,0.000000,1,-127.15,-127.15,0,0,
05/14/2026,09:40:19:193,0.000000,0.000000,4,-126.73,-126.73,0,0,
05/14/2026,09:40:19:253,0.000000,0.000000,2,-126.2,-126.2,0,0,
05/14/2026,09:40:19:342,0.000000,0.000000,3,-127.34,-127.34,0,0,
05/14/2026,09:40:19:396,0.000000,0.000000,1,-126.08,-126.08,0,0,
05/14/2026,09:40:19:433,0.000000,0.000000,4,-124.92,-124.92,0,0,
