Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:40:14:554,0.000000,0.000000,2,-124.78,-124.78,0,0,
05/14/2026,09:40:14:656,0.000000,0.000000,3,-122.86,-122.86,0,0,
05/14/2026,09:40:14:670,0.000000,0.000000,2,-124.47,-124.47,0,0,
05/14/2026,09:40:14:693,0.000000,0.000000,4,-122.71,-122.71,0,0,
05/14/2026,09:40:14:831,0.000000,0.000000,3,-124.37,-124.37,0,0,
05/14/2026,09:40:14:863,0.000000,0.000000,5,-92.98,-92.98,0,0,
05/14/2026,09:40:14:885,0.000000,0.000000,2,-124.14,-124.14,0,0,
05/14/2026,09:40:14:914,0.000000,0.000000,4,-123.41,-123.41,0,0,
05/14/2026,09:40:15:086,0.000000,0.000000,3,-120.76,-120.76,0,0,
05/14/2026,09:40:15:109,0.000000,0.000000,5,-94.29,-94.29,0,0,
05/14/2026,09:40:15:125,0.000000,0.000000,2,-124.49,-124.49,0,0,
05/14/2026,09:40:15:163,0.000000,0.000000,4,-125.48,-125.48,0,0,
05/14/2026,09:40:15:318,0.000000,0.000000,3,-124.13,-124.13,0,0,
05/14/2026,09:40:15:361,0.000000,0.000000,5,-94.3,-94.3,0,0,
05/14/2026,09:40:15:377,0.000000,0.000000,2,-126.42,-126.42,0,0,
05/14/2026,09:40:15:409,0.000000,0.000000,4,-122.99,-122.99,0,0,
05/14/2026,09:40:15:593,0.000000,0.000000,3,-121.63,-121.63,0,0,
05/14/2026,09:40:15:615,0.000000,0.000000,5,-92.56,-92.56,0,0,
05/14/2026,09:40:15:633,0.000000,0.000000,2,-123.36,-123.36,0,0,
05/14/2026,09:40:15:675,0.000000,0.000000,4,-123.08,-123.08,0,0,
05/14/2026,09:40:15:820,0.000000,0.000000,3,-122.18,-122.18,0,0,
05/14/2026,09:40:15:841,0.000000,0.000000,5,-92.02,-92.02,0,0,
05/14/2026,09:40:15:865,0.000000,0.000000,2,-124.48,-124.48,0,0,
05/14/2026,09:40:15:899,0.000000,0.000000,4,-124.67,-124.67,0,0,
05/14/2026,09:40:16:053,0.000000,0.000000,3,-123.89,-123.89,0,0,
05/14/2026,09:40:16:102,0.000000,0.000000,5,-101.25,-101.25,0,0,
05/14/2026,09:40:16:106,0.000000,0.000000,2,-122.07,-122.07,0,0,
05/14/2026,09:40:16:180,0.000000,0.000000,4,-124.56,-124.56,0,0,
05/14/2026,09:40:16:299,0.000000,0.000000,3,-122.37,-122.37,0,0,
05/14/2026,09:40:16:388,0.000000,0.000000,5,-93.64,-93.64,0,0,
05/14/2026,09:40:16:392,0.000000,0.000000,2,-124.16,-124.16,0,0,
05/14/2026,09:40:16:429,0.000000,0.000000,4,-123.2,-123.2,0,0,
05/14/2026,09:40:16:641,0.000000,0.000000,3,-124.61,-124.61,0,0,
05/14/2026,09:40:16:663,0.000000,0.000000,5,-95.22,-95.22,0,0,
05/14/2026,09:40:16:665,0.000000,0.000000,2,-122.23,-122.23,0,0,
05/14/2026,09:40:16:677,0.000000,0.000000,4,-122.03,-122.03,0,0,
05/14/2026,09:40:16:878,0.000000,0.000000,3,-124.76,-124.76,0,0,
05/14/2026,09:40:16:930,0.000000,0.000000,5,-100.1,-100.1,0,0,
05/14/2026,09:40:16:937,0.000000,0.000000,2,-124.34,-124.34,0,0,
05/14/2026,09:40:16:943,0.000000,0.000000,4,-123.7,-123.7,0,0,
05/14/2026,09:40:17:041,0.000000,0.000000,3,-121.3,-121.3,0,0,
05/14/2026,09:40:17:070,0.000000,0.000000,5,-93.32,-93.32,0,0,
05/14/2026,09:40:17:085,0.000000,0.000000,2,-125.08,-125.08,0,0,
