Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:40:14:969,0.000000,0.000000,1,-126.44,-126.44,0,0,
05/14/2026,09:40:15:195,0.000000,0.000000,1,-125.83,-125.83,0,0,
05/14/2026,09:40:15:443,0.000000,0.000000,1,-127.08,-127.08,0,0,
05/14/2026,09:40:15:697,0.000000,0.000000,1,-127.03,-127.03,0,0,
05/14/2026,09:40:15:943,0.000000,0.000000,1,-127.03,-127.03,0,0,
05/14/2026,09:40:16:192,0.000000,0.000000,1,-126.78,-126.78,0,0,
05/14/2026,09:40:16:479,0.000000,0.000000,1,-124.88,-124.88,0,0,
05/14/2026,09:40:16:700,0.000000,0.000000,1,-126.7,-126.7,0,0,
05/14/2026,09:40:16:985,0.000000,0.000000,1,-127.89,-127.89,0,0,
05/14/2026,09:40:17:163,0.000000,0.000000,1,-127.13,-127.13,0,0,
05/14/2026,09:40:17:401,0.000000,0.000000,1,-126.12,-126.12,0,0,
05/14/2026,09:40:17:658,0.000000,0.000000,1,-126.27,-126.27,0,0,
05/14/2026,09:40:17:888,0.000000,0.000000,1,-126.12,-126.12,0,0,
05/14/2026,09:40:18:243,0.000000,0.000000,1,-126.3,-126.3,0,0,
05/14/2026,09:40:18:443,0.000000,0.000000,1,-124.85,-124.85,0,0,
05/14/2026,09:40:18:683,0.000000,0.000000,1,-126.66,-126.66,0,0,
05/14/2026,09:40:18:866,0.000000,0.000000,1,-126.67,-126.67,0,0,
05/14/2026,09:40:19:124,0.000000,0.000000,1,-126.83,-126.83,0,0,
05/14/2026,09:40:19:356,0.000000,0.000000,1,-127.64,-127.64,0,0,
05/14/2026,09:40:19:653,0.000000,0.000000,1,-127.51,-127.51,0,0,
05/14/2026,09:40:19:981,0.000000,0.000000,1,-125.88,-125.88,0,0,
05/14/2026,09:40:20:294,0.000000,0.000000,1,-126.73,-126.73,0,0,
05/14/2026,09:40:20:527,0.000000,0.000000,1,-126.29,-126.29,0,0,
05/14/2026,09:40:20:675,0.000000,0.000000,1,-127.06,-127.06,0,0,
05/14/2026,09:40:20:831,0.000000,0.000000,1,-124.39,-124.39,0,0,
05/14/2026,09:40:21:072,0.000000,0.000000,1,-126.54,-126.54,0,0,
05/14/2026,09:40:21:329,0.000000,0.000000,1,-125.6,-125.6,0,0,
05/14/2026,09:40:21:578,0.000000,0.000000,1,-126.56,-126.56,0,0,
05/14/2026,09:40:21:809,0.000000,0.000000,1,-127.23,-127.23,0,0,
05/14/2026,09:40:22:109,0.000000,0.000000,1,-126.9,-126.9,0,0,
05/14/2026,09:40:22:432,0.000000,0.000000,1,-126.57,-126.57,0,0,
05/14/2026,09:40:22:555,0.000000,0.000000,1,-126.58,-126.58,0,0,
05/14/2026,09:40:22:815,0.000000,0.000000,1,-125.88,-125.88,0,0,
05/14/2026,09:40:23:030,0.000000,0.000000,1,-127.64,-127.64,0,0,
05/14/2026,09:40:23:275,0.000000,0.000000,1,-126.53,-126.53,0,0,
05/14/2026,09:40:23:520,0.000000,0.000000,1,-126.33,-126.33,0,0,
05/14/2026,09:40:23:806,0.000000,0.000000,1,-126.44,-126.44,0,0,
05/14/2026,09:40:24:008,0.000000,0.000000,1,-126.18,-126.18,0,0,
05/14/2026,09:40:24:277,0.000000,0.000000,1,-125.55,-125.55,0,0,
05/14/2026,09:40:24:540,0.000000,0.000000,1,-125.91,-125.91,0,0,
05/14/2026,09:40:24:832,0.000000,0.000000,1,-127.58,-127.58,0,0,
05/14/2026,09:40:25:347,0.000000,0.000000,1,-125.41,-125.41,0,0,
05/14/2026,09:40:25:497,0.000000,0.000000,1,-125.64,-125.64,0,0,
05/14/2026,09:40:25:626,0.000000,0.000000,1,-125.78,-125.78,0,0,
05/14/2026,09:40:25:854,0.000000,0.000000,1,-124.1,-124.1,0,0,
05/14/2026,09:40:26:059,0.000000,0.000000,1,-125.96,-125.96,0,0,
05/14/2026,09:40:26:305,0.000000,0.000000,1,-124.33,-124.33,0,0,
