Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:38:30:965,0.000000,0.000000,1,-125.63,-125.63,0,0,
05/14/2026,09:38:31:042,0.000000,0.000000,1,-125.58,-125.58,0,0,
05/14/2026,09:38:31:158,0.000000,0.000000,1,-126.97,-126.97,0,0,
05/14/2026,09:38:31:323,0.000000,0.000000,1,-126.67,-126.67,0,0,
05/14/2026,09:38:31:478,0.000000,0.000000,1,-127.55,-127.55,0,0,
05/14/2026,09:38:31:736,0.000000,0.000000,1,-127.56,-127.56,0,0,
05/14/2026,09:38:31:871,0.000000,0.000000,1,-125.69,-125.69,0,0,
05/14/2026,09:38:31:887,0.000000,0.000000,2,-126.53,-126.53,0,0,
05/14/2026,09:38:31:972,0.000000,0.000000,1,-127.33,-127.33,0,0,
05/14/2026,09:38:32:077,0.000000,0.000000,2,-126.7,-126.7,0,0,
05/14/2026,09:38:32:228,0.000000,0.000000,1,-127.92,-127.92,0,0,
05/14/2026,09:38:32:261,0.000000,0.000000,2,-126.55,-126.55,0,0,
05/14/2026,09:38:32:556,0.000000,0.000000,1,-126.5,-126.5,0,0,
05/14/2026,09:38:32:574,0.000000,0.000000,2,-126.22,-126.22,0,0,
05/14/2026,09:38:32:747,0.000000,0.000000,1,-127.05,-127.05,0,0,
05/14/2026,09:38:32:761,0.000000,0.000000,2,-125.72,-125.72,0,0,
05/14/2026,09:38:32:917,0.000000,0.000000,1,-126.45,-126.45,0,0,
05/14/2026,09:38:32:995,0.000000,0.000000,2,-126.13,-126.13,0,0,
05/14/2026,09:38:33:095,0.000000,0.000000,1,-125.23,-125.23,0,0,
05/14/2026,09:38:33:185,0.000000,0.000000,2,-126.37,-126.37,0,0,
05/14/2026,09:38:33:286,0.000000,0.000000,1,-126.27,-126.27,0,0,
05/14/2026,09:38:33:331,0.000000,0.000000,2,-126.13,-126.13,0,0,
05/14/2026,09:38:33:378,0.000000,0.000000,3,-125.1,-125.1,0,0,
05/14/2026,09:38:33:481,0.000000,0.000000,1,-126.03,-126.03,0,0,
05/14/2026,09:38:33:524,0.000000,0.000000,2,-126.7,-126.7,0,0,
05/14/2026,09:38:33:555,0.000000,0.000000,3,-127.51,-127.51,0,0,
05/14/2026,09:38:33:744,0.000000,0.000000,1,-127.15,-127.15,0,0,
05/14/2026,09:38:33:914,0.000000,0.000000,2,-126.2,-126.2,0,0,
05/14/2026,09:38:33:948,0.000000,0.000000,3,-126.57,-126.57,0,0,
05/14/2026,09:38:34:247,0.000000,0.000000,1,-126.58,-126.58,0,0,
05/14/2026,09:38:34:263,0.000000,0.000000,2,-125.77,-125.77,0,0,
05/14/2026,09:38:34:322,0.000000,0.000000,3,-126.06,-126.06,0,0,
05/14/2026,09:38:34:395,0.000000,0.000000,1,-126.69,-126.69,0,0,
05/14/2026,09:38:34:401,0.000000,0.000000,2,-128.27,-128.27,0,0,
05/14/2026,09:38:34:439,0.000000,0.000000,3,-126.61,-126.61,0,0,
05/14/2026,09:38:34:555,0.000000,0.000000,1,-126.5,-126.5,0,0,
05/14/2026,09:38:34:568,0.000000,0.000000,2,-126.58,-126.58,0,0,
05/14/2026,09:38:34:601,0.000000,0.000000,3,-126.56,-126.56,0,0,
05/14/2026,09:38:34:662,0.000000,0.000000,1,-127.17,-127.17,0,0,
05/14/2026,09:38:34:685,0.000000,0.000000,2,-126.05,-126.05,0,0,
05/14/2026,09:38:34:692,0.000000,0.000000,3,-125.76,-125.76,0,0,
05/14/2026,09:38:34:782,0.000000,0.000000,1,-126.02,-126.02,0,0,
05/14/2026,09:38:34:813,0.000000,0.000000,2,-126.34,-126.34,0,0,
05/14/2026,09:38:34:875,0.000000,0.000000,3,-126.21,-126.21,0,0,
05/14/2026,09:38:35:023,0.000000,0.000000,1,-125.96,-125.96,0,0,
05/14/2026,09:38:35:030,0.000000,0.000000,2,-125.96,-125.96,0,0,
05/14/2026,09:38:35:042,0.000000,0.000000,3,-125.76,-125.76,0,0,
05/14/2026,09:38:35:148,0.000000,0.000000,1,-127.17,-127.17,0,0,
05/14/2026,09:38:35:171,0.000000,0.000000,2,-127.36,-127.36,0,0,
05/14/2026,09:38:35:292,0.000000,0.000000,3,-127.78,-127.78,0,0,
05/14/2026,09:38:35:373,0.000000,0.000000,1,-126.53,-126.53,0,0,
05/14/2026,09:38:35:433,0.000000,0.000000,2,-126.07,-126.07,0,0,
05/14/2026,09:38:35:449,0.000000,0.000000,3,-126.7,-126.7,0,0,
05/14/2026,09:38:35:499,0.000000,0.000000,4,-125.05,-125.05,0,0,
05/14/2026,09:38:35:606,0.000000,0.000000,1,-126.26,-126.26,0,0,
05/14/2026,09:38:35:640,0.000000,0.000000,2,-124.66,-124.66,0,0,
05/14/2026,09:38:35:695,0.000000,0.000000,3,-126.6,-126.6,0,0,
05/14/2026,09:38:35:746,0.000000,0.000000,4,-126.69,-126.69,0,0,
05/14/2026,09:38:35:978,0.000000,0.000000,1,-125.66,-125.66,0,0,
05/14/2026,09:38:36:087,0.000000,0.000000,2,-126.96,-126.96,0,0,
05/14/2026,09:38:36:090,0.000000,0.000000,3,-126.66,-126.66,0,0,
05/14/2026,09:38:36:136,0.000000,0.000000,4,-126.03,-126.03,0,0,
05/14/2026,09:38:36:285,0.000000,0.000000,1,-126.23,-126.23,0,0,
05/14/2026,09:38:36:360,0.000000,0.000000,2,-126.1,-126.1,0,0,
05/14/2026,09:38:36:390,0.000000,0.000000,3,-126.55,-126.55,0,0,
05/14/2026,09:38:36:413,0.000000,0.000000,4,-126.25,-126.25,0,0,
05/14/2026,09:38:36:503,0.000000,0.000000,1,-127.07,-127.07,0,0,
05/14/2026,09:38:36:542,0.000000,0.000000,2,-127.01,-127.01,0,0,
05/14/2026,09:38:36:619,0.000000,0.000000,3,-126.28,-126.28,0,0,
