Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:36:51:222,0.000000,0.000000,1,-126.52,-126.52,0,0,
05/14/2026,09:36:51:487,0.000000,0.000000,1,-128.24,-128.24,0,0,
05/14/2026,09:36:51:773,0.000000,0.000000,1,-126.01,-126.01,0,0,
05/14/2026,09:36:51:954,0.000000,0.000000,1,-126.97,-126.97,0,0,
05/14/2026,09:36:52:203,0.000000,0.000000,1,-124.9,-124.9,0,0,
05/14/2026,09:36:52:442,0.000000,0.000000,1,-126.12,-126.12,0,0,
05/14/2026,09:36:52:694,0.000000,0.000000,1,-126.64,-126.64,0,0,
05/14/2026,09:36:52:923,0.000000,0.000000,1,-125.93,-125.93,0,0,
05/14/2026,09:36:53:180,0.000000,0.000000,1,-126.02,-126.02,0,0,
05/14/2026,09:36:53:556,0.000000,0.000000,1,-126.76,-126.76,0,0,
05/14/2026,09:36:53:697,0.000000,0.000000,1,-125.19,-125.19,0,0,
05/14/2026,09:36:53:916,0.000000,0.000000,1,-125.45,-125.45,0,0,
05/14/2026,09:36:54:156,0.000000,0.000000,1,-125.82,-125.82,0,0,
05/14/2026,09:36:54:397,0.000000,0.000000,1,-126.49,-126.49,0,0,
05/14/2026,09:36:54:630,0.000000,0.000000,1,-127.16,-127.16,0,0,
05/14/2026,09:36:54:874,0.000000,0.000000,1,-125.94,-125.94,0,0,
05/14/2026,09:36:55:141,0.000000,0.000000,1,-127.37,-127.37,0,0,
05/14/2026,09:36:55:435,0.000000,0.000000,1,-125.33,-125.33,0,0,
05/14/2026,09:36:55:675,0.000000,0.000000,1,-126.56,-126.56,0,0,
05/14/2026,09:36:55:953,0.000000,0.000000,1,-125.03,-125.03,0,0,
05/14/2026,09:36:56:934,0.000000,0.000000,1,-126.87,-126.87,0,0,
05/14/2026,09:36:57:070,0.000000,0.000000,1,-127.95,-127.95,0,0,
05/14/2026,09:36:57:498,0.000000,0.000000,1,-125.3,-125.3,0,0,
05/14/2026,09:36:57:724,0.000000,0.000000,1,-127.13,-127.13,0,0,
05/14/2026,09:36:57:892,0.000000,0.000000,1,-127.84,-127.84,0,0,
05/14/2026,09:36:58:046,0.000000,0.000000,1,-125.83,-125.83,0,0,
05/14/2026,09:36:58:160,0.000000,0.000000,1,-127.4,-127.4,0,0,
05/14/2026,09:36:58:280,0.000000,0.000000,1,-127.77,-127.77,0,0,
05/14/2026,09:36:58:403,0.000000,0.000000,1,-127.02,-127.02,0,0,
05/14/2026,09:36:58:523,0.000000,0.000000,1,-127.02,-127.02,0,0,
05/14/2026,09:36:58:714,0.000000,0.000000,1,-126.47,-126.47,0,0,
05/14/2026,09:36:58:816,0.000000,0.000000,1,-127.08,-127.08,0,0,
05/14/2026,09:36:59:117,0.000000,0.000000,1,-126.16,-126.16,0,0,
05/14/2026,09:36:59:409,0.000000,0.000000,1,-125.65,-125.65,0,0,
05/14/2026,09:36:59:704,0.000000,0.000000,1,-127.44,-127.44,0,0,
05/14/2026,09:36:59:862,0.000000,0.000000,1,-125.25,-125.25,0,0,
05/14/2026,09:37:00:018,0.000000,0.000000,1,-124.71,-124.71,0,0,
05/14/2026,09:37:00:248,0.000000,0.000000,1,-125.86,-125.86,0,0,
05/14/2026,09:37:00:473,0.000000,0.000000,1,-127.61,-127.61,0,0,
05/14/2026,09:37:00:715,0.000000,0.000000,1,-126.23,-126.23,0,0,
05/14/2026,09:37:01:084,0.000000,0.000000,1,-126.65,-126.65,0,0,
05/14/2026,09:37:01:350,0.000000,0.000000,1,-126.56,-126.56,0,0,
05/14/2026,09:37:01:462,0.000000,0.000000,1,-125.98,-125.98,0,0,
05/14/2026,09:37:01:693,0.000000,0.000000,1,-125.91,-125.91,0,0,
05/14/2026,09:37:03:624,0.000000,0.000000,1,-126.77,-126.77,0,0,
05/14/2026,09:37:03:874,0.000000,0.000000,1,-126.09,-126.09,0,0,
05/14/2026,09:37:04:115,0.000000,0.000000,1,-124.63,-124.63,0,0,
05/14/2026,09:37:04:249,0.000000,0.000000,1,-127.02,-127.02,0,0,
05/14/2026,09:37:04:596,0.000000,0.000000,1,-126.18,-126.18,0,0,
05/14/2026,09:37:04:848,0.000000,0.000000,1,-127.04,-127.04,0,0,
05/14/2026,09:37:05:006,0.000000,0.000000,1,-125.02,-125.02,0,0,
05/14/2026,09:37:05:166,0.000000,0.000000,1,-127.79,-127.79,0,0,
05/14/2026,09:37:05:552,0.000000,0.000000,1,-125.28,-125.28,0,0,
05/14/2026,09:37:05:770,0.000000,0.000000,1,-126.75,-126.75,0,0,
05/14/2026,09:37:06:015,0.000000,0.000000,1,-126.53,-126.53,0,0,
05/14/2026,09:37:06:307,0.000000,0.000000,1,-125.73,-125.73,0,0,
05/14/2026,09:37:06:679,0.000000,0.000000,1,-127.1,-127.1,0,0,
05/14/2026,09:37:06:819,0.000000,0.000000,1,-126.49,-126.49,0,0,
05/14/2026,09:37:07:055,0.000000,0.000000,1,-126.72,-126.72,0,0,
05/14/2026,09:37:07:256,0.000000,0.000000,1,-125.68,-125.68,0,0,
05/14/2026,09:37:07:466,0.000000,0.000000,1,-126.91,-126.91,0,0,
05/14/2026,09:37:07:753,0.000000,0.000000,1,-126.39,-126.39,0,0,
05/14/2026,09:37:07:992,0.000000,0.000000,1,-125.02,-125.02,0,0,
05/14/2026,09:37:08:499,0.000000,0.000000,1,-126.11,-126.11,0,0,
05/14/2026,09:37:09:408,0.000000,0.000000,1,-126.24,-126.24,0,0,
05/14/2026,09:37:09:584,0.000000,0.000000,1,-127.17,-127.17,0,0,
05/14/2026,09:37:09:849,0.000000,0.000000,1,-125.22,-125.22,0,0,
05/14/2026,09:37:10:100,0.000000,0.000000,1,-126.25,-126.25,0,0,
05/14/2026,09:37:10:343,0.000000,0.000000,1,-126.75,-126.75,0,0,
05/14/2026,09:37:10:633,0.000000,0.000000,1,-126.17,-126.17,0,0,
05/14/2026,09:37:10:776,0.000000,0.000000,1,-125.98,-125.98,0,0,
05/14/2026,09:37:10:896,0.000000,0.000000,1,-126.3,-126.3,0,0,
05/14/2026,09:37:11:039,0.000000,0.000000,1,-127.42,-127.42,0,0,
05/14/2026,09:37:11:219,0.000000,0.000000,1,-126.37,-126.37,0,0,
05/14/2026,09:37:11:325,0.000000,0.000000,1,-125.4,-125.4,0,0,
05/14/2026,09:37:11:480,0.000000,0.000000,1,-126.38,-126.38,0,0,
05/14/2026,09:37:11:586,0.000000,0.000000,1,-126.44,-126.44,0,0,
05/14/2026,09:37:11:770,0.000000,0.000000,1,-127.06,-127.06,0,0,
05/14/2026,09:37:12:370,0.000000,0.000000,1,-126.17,-126.17,0,0,
05/14/2026,09:37:12:750,0.000000,0.000000,1,-125.32,-125.32,0,0,
05/14/2026,09:37:12:956,0.000000,0.000000,1,-126.48,-126.48,0,0,
05/14/2026,09:37:13:191,0.000000,0.000000,1,-126.93,-126.93,0,0,
05/14/2026,09:37:13:510,0.000000,0.000000,1,-125.43,-125.43,0,0,
