Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,11:14:22:039,0.000000,0.000000,2,-117.61,-117.61,0,0,
05/14/2026,11:14:22:056,0.000000,0.000000,3,-122.39,-122.39,0,0,
05/14/2026,11:14:22:096,0.000000,0.000000,4,-119.8,-119.8,0,0,
05/14/2026,11:14:22:158,0.000000,0.000000,5,-89.19,-89.19,0,0,
05/14/2026,11:14:22:263,0.000000,0.000000,2,-117.39,-117.39,0,0,
05/14/2026,11:14:22:327,0.000000,0.000000,3,-122.99,-122.99,0,0,
05/14/2026,11:14:22:338,0.000000,0.000000,4,-121.45,-121.45,0,0,
05/14/2026,11:14:22:376,0.000000,0.000000,5,-94.39,-94.39,0,0,
05/14/2026,11:14:22:479,0.000000,0.000000,2,-119.24,-119.24,0,0,
05/14/2026,11:14:22:531,0.000000,0.000000,3,-122.16,-122.16,0,0,
05/14/2026,11:14:22:580,0.000000,0.000000,4,-121.51,-121.51,0,0,
05/14/2026,11:14:22:618,0.000000,0.000000,5,-89.66,-89.66,0,0,
05/14/2026,11:14:22:723,0.000000,0.000000,2,-119.08,-119.08,0,0,
05/14/2026,11:14:22:773,0.000000,0.000000,3,-124.08,-124.08,0,0,
05/14/2026,11:14:22:831,0.000000,0.000000,4,-123.44,-123.44,0,0,
05/14/2026,11:14:22:861,0.000000,0.000000,5,-89.54,-89.54,0,0,
05/14/2026,11:14:22:964,0.000000,0.000000,2,-118.56,-118.56,0,0,
05/14/2026,11:14:23:018,0.000000,0.000000,3,-124.04,-124.04,0,0,
05/14/2026,11:14:23:071,0.000000,0.000000,4,-123.15,-123.15,0,0,
05/14/2026,11:14:23:105,0.000000,0.000000,5,-89.25,-89.25,0,0,
05/14/2026,11:14:23:213,0.000000,0.000000,2,-118.92,-118.92,0,0,
05/14/2026,11:14:23:267,0.000000,0.000000,3,-121.81,-121.81,0,0,
05/14/2026,11:14:23:316,0.000000,0.000000,4,-121.96,-121.96,0,0,
05/14/2026,11:14:23:348,0.000000,0.000000,5,-91.74,-91.74,0,0,
05/14/2026,11:14:23:454,0.000000,0.000000,2,-118.49,-118.49,0,0,
05/14/2026,11:14:23:506,0.000000,0.000000,3,-120.32,-120.32,0,0,
05/14/2026,11:14:23:556,0.000000,0.000000,4,-123.38,-123.38,0,0,
05/14/2026,11:14:23:592,0.000000,0.000000,5,-93.91,-93.91,0,0,
05/14/2026,11:14:23:706,0.000000,0.000000,2,-119.41,-119.41,0,0,
05/14/2026,11:14:23:749,0.000000,0.000000,3,-123.04,-123.04,0,0,
05/14/2026,11:14:23:801,0.000000,0.000000,4,-121.54,-121.54,0,0,
05/14/2026,11:14:23:835,0.000000,0.000000,5,-94.65,-94.65,0,0,
05/14/2026,11:14:23:968,0.000000,0.000000,2,-119.5,-119.5,0,0,
05/14/2026,11:14:24:026,0.000000,0.000000,3,-121.82,-121.82,0,0,
05/14/2026,11:14:24:091,0.000000,0.000000,4,-119.72,-119.72,0,0,
05/14/2026,11:14:24:097,0.000000,0.000000,5,-97.45,-97.45,0,0,
05/14/2026,11:14:24:198,0.000000,0.000000,2,-116.19,-116.19,0,0,
05/14/2026,11:14:24:236,0.000000,0.000000,3,-121.05,-121.05,0,0,
05/14/2026,11:14:24:285,0.000000,0.000000,4,-122.4,-122.4,0,0,
05/14/2026,11:14:24:322,0.000000,0.000000,5,-91.83,-91.83,0,0,
05/14/2026,11:14:24:429,0.000000,0.000000,2,-117.21,-117.21,0,0,
05/14/2026,11:14:24:482,0.000000,0.000000,3,-124.16,-124.16,0,0,
05/14/2026,11:14:24:529,0.000000,0.000000,4,-122.08,-122.08,0,0,
05/14/2026,11:14:24:568,0.000000,0.000000,5,-90.39,-90.39,0,0,
05/14/2026,11:14:24:670,0.000000,0.000000,2,-118.58,-118.58,0,0,
05/14/2026,11:14:24:724,0.000000,0.000000,3,-121.77,-121.77,0,0,
05/14/2026,11:14:24:774,0.000000,0.000000,4,-121.6,-121.6,0,0,
05/14/2026,11:14:24:809,0.000000,0.000000,5,-89.2,-89.2,0,0,
05/14/2026,11:14:24:915,0.000000,0.000000,2,-117.55,-117.55,0,0,
05/14/2026,11:14:24:987,0.000000,0.000000,3,-121.71,-121.71,0,0,
05/14/2026,11:14:25:016,0.000000,0.000000,4,-118.99,-118.99,0,0,
05/14/2026,11:14:25:053,0.000000,0.000000,5,-95.49,-95.49,0,0,
05/14/2026,11:14:25:157,0.000000,0.000000,2,-118.66,-118.66,0,0,
05/14/2026,11:14:25:216,0.000000,0.000000,3,-122.41,-122.41,0,0,
05/14/2026,11:14:25:262,0.000000,0.000000,4,-120.84,-120.84,0,0,
05/14/2026,11:14:25:300,0.000000,0.000000,5,-96.51,-96.51,0,0,
05/14/2026,11:14:25:402,0.000000,0.000000,2,-116.45,-116.45,0,0,
05/14/2026,11:14:25:454,0.000000,0.000000,3,-122.67,-122.67,0,0,
05/14/2026,11:14:25:507,0.000000,0.000000,4,-119.99,-119.99,0,0,
05/14/2026,11:14:25:539,0.000000,0.000000,5,-94.61,-94.61,0,0,
05/14/2026,11:14:25:648,0.000000,0.000000,2,-119.56,-119.56,0,0,
05/14/2026,11:14:25:735,0.000000,0.000000,3,-120.65,-120.65,0,0,
05/14/2026,11:14:25:749,0.000000,0.000000,4,-123.88,-123.88,0,0,
05/14/2026,11:14:25:783,0.000000,0.000000,5,-102.69,-102.69,0,0,
05/14/2026,11:14:25:923,0.000000,0.000000,2,-116.44,-116.44,0,0,
05/14/2026,11:14:25:960,0.000000,0.000000,3,-123.01,-123.01,0,0,
05/14/2026,11:14:25:996,0.000000,0.000000,4,-121.95,-121.95,0,0,
05/14/2026,11:14:26:027,0.000000,0.000000,5,-90.82,-90.82,0,0,
05/14/2026,11:14:26:139,0.000000,0.000000,2,-117.27,-117.27,0,0,
05/14/2026,11:14:26:186,0.000000,0.000000,3,-123.38,-123.38,0,0,
05/14/2026,11:14:26:236,0.000000,0.000000,4,-119.96,-119.96,0,0,
05/14/2026,11:14:26:271,0.000000,0.000000,5,-92.13,-92.13,0,0,
05/14/2026,11:14:26:376,0.000000,0.000000,2,-116.5,-116.5,0,0,
05/14/2026,11:14:26:428,0.000000,0.000000,3,-122.09,-122.09,0,0,
05/14/2026,11:14:26:480,0.000000,0.000000,4,-120.32,-120.32,0,0,
05/14/2026,11:14:26:514,0.000000,0.000000,5,-91.53,-91.53,0,0,
05/14/2026,11:14:26:620,0.000000,0.000000,2,-117.14,-117.14,0,0,
05/14/2026,11:14:26:680,0.000000,0.000000,3,-121.69,-121.69,0,0,
05/14/2026,11:14:26:724,0.000000,0.000000,4,-122.79,-122.79,0,0,
05/14/2026,11:14:26:758,0.000000,0.000000,5,-89.27,-89.27,0,0,
05/14/2026,11:14:26:863,0.000000,0.000000,2,-116.31,-116.31,0,0,
05/14/2026,11:14:26:918,0.000000,0.000000,3,-124.7,-124.7,0,0,
05/14/2026,11:14:27:147,0.000000,0.000000,4,-122.58,-122.58,0,0,
05/14/2026,11:14:27:149,0.000000,0.000000,5,-97.28,-97.28,0,0,
05/14/2026,11:14:27:177,0.000000,0.000000,2,-116.6,-116.6,0,0,
05/14/2026,11:14:27:191,0.000000,0.000000,3,-119.78,-119.78,0,0,
05/14/2026,11:14:27:216,0.000000,0.000000,4,-123.27,-123.27,0,0,
05/14/2026,11:14:27:248,0.000000,0.000000,5,-99.42,-99.42,0,0,
05/14/2026,11:14:27:351,0.000000,0.000000,2,-119.67,-119.67,0,0,
05/14/2026,11:14:27:404,0.000000,0.000000,3,-122.04,-122.04,0,0,
05/14/2026,11:14:27:455,0.000000,0.000000,4,-121.62,-121.62,0,0,
05/14/2026,11:14:27:489,0.000000,0.000000,5,-109.14,-109.14,0,0,
05/14/2026,11:14:27:628,0.000000,0.000000,2,-117.64,-117.64,0,0,
05/14/2026,11:14:27:682,0.000000,0.000000,3,-121.14,-121.14,0,0,
05/14/2026,11:14:27:765,0.000000,0.000000,4,-121.22,-121.22,0,0,
05/14/2026,11:14:27:772,0.000000,0.000000,5,-92.81,-92.81,0,0,
05/14/2026,11:14:27:869,0.000000,0.000000,2,-118.16,-118.16,0,0,
05/14/2026,11:14:27:890,0.000000,0.000000,3,-121.43,-121.43,0,0,
05/14/2026,11:14:27:943,0.000000,0.000000,4,-120.45,-120.45,0,0,
05/14/2026,11:14:27:984,0.000000,0.000000,5,-87.82,-87.82,0,0,
05/14/2026,11:14:28:082,0.000000,0.000000,2,-116.99,-116.99,0,0,
05/14/2026,11:14:28:134,0.000000,0.000000,3,-121.79,-121.79,0,0,
05/14/2026,11:14:28:186,0.000000,0.000000,4,-118.77,-118.77,0,0,
05/14/2026,11:14:28:221,0.000000,0.000000,5,-90.68,-90.68,0,0,
05/14/2026,11:14:28:327,0.000000,0.000000,2,-115.96,-115.96,0,0,
05/14/2026,11:14:28:381,0.000000,0.000000,3,-123.42,-123.42,0,0,
05/14/2026,11:14:28:429,0.000000,0.000000,4,-122.08,-122.08,0,0,
05/14/2026,11:14:28:466,0.000000,0.000000,5,-89.95,-89.95,0,0,
05/14/2026,11:14:28:572,0.000000,0.000000,2,-117.54,-117.54,0,0,
05/14/2026,11:14:28:621,0.000000,0.000000,3,-122.03,-122.03,0,0,
05/14/2026,11:14:28:674,0.000000,0.000000,4,-122.59,-122.59,0,0,
05/14/2026,11:14:28:707,0.000000,0.000000,5,-87.75,-87.75,0,0,
05/14/2026,11:14:28:825,0.000000,0.000000,2,-117.67,-117.67,0,0,
05/14/2026,11:14:28:872,0.000000,0.000000,3,-122,-122,0,0,
05/14/2026,11:14:28:917,0.000000,0.000000,4,-122.46,-122.46,0,0,
05/14/2026,11:14:28:953,0.000000,0.000000,5,-89.58,-89.58,0,0,
05/14/2026,11:14:29:057,0.000000,0.000000,2,-116.88,-116.88,0,0,
05/14/2026,11:14:29:110,0.000000,0.000000,3,-123.71,-123.71,0,0,
05/14/2026,11:14:29:161,0.000000,0.000000,4,-121.78,-121.78,0,0,
05/14/2026,11:14:29:202,0.000000,0.000000,5,-90.72,-90.72,0,0,
05/14/2026,11:14:29:301,0.000000,0.000000,2,-119.02,-119.02,0,0,
05/14/2026,11:14:29:352,0.000000,0.000000,3,-123.04,-123.04,0,0,
05/14/2026,11:14:29:405,0.000000,0.000000,4,-122.07,-122.07,0,0,
05/14/2026,11:14:29:440,0.000000,0.000000,5,-88.23,-88.23,0,0,
05/14/2026,11:14:29:542,0.000000,0.000000,2,-118.32,-118.32,0,0,
05/14/2026,11:14:29:599,0.000000,0.000000,3,-122.27,-122.27,0,0,
05/14/2026,11:14:29:666,0.000000,0.000000,4,-120.7,-120.7,0,0,
05/14/2026,11:14:29:735,0.000000,0.000000,5,-87.55,-87.55,0,0,
05/14/2026,11:14:29:787,0.000000,0.000000,2,-116.8,-116.8,0,0,
05/14/2026,11:14:29:840,0.000000,0.000000,3,-123.16,-123.16,0,0,
05/14/2026,11:14:29:891,0.000000,0.000000,4,-121.13,-121.13,0,0,
05/14/2026,11:14:29:927,0.000000,0.000000,5,-95.24,-95.24,0,0,
05/14/2026,11:14:30:035,0.000000,0.000000,2,-116.99,-116.99,0,0,
05/14/2026,11:14:30:112,0.000000,0.000000,3,-121.57,-121.57,0,0,
05/14/2026,11:14:30:137,0.000000,0.000000,4,-123.68,-123.68,0,0,
05/14/2026,11:14:30:169,0.000000,0.000000,5,-101.37,-101.37,0,0,
05/14/2026,11:14:30:275,0.000000,0.000000,2,-120.4,-120.4,0,0,
05/14/2026,11:14:30:329,0.000000,0.000000,3,-120.15,-120.15,0,0,
05/14/2026,11:14:30:385,0.000000,0.000000,4,-121.75,-121.75,0,0,
05/14/2026,11:14:30:416,0.000000,0.000000,5,-105.91,-105.91,0,0,
05/14/2026,11:14:30:519,0.000000,0.000000,2,-117.09,-117.09,0,0,
05/14/2026,11:14:30:571,0.000000,0.000000,3,-120.47,-120.47,0,0,
05/14/2026,11:14:30:629,0.000000,0.000000,4,-122.21,-122.21,0,0,
