Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:05:02:945,0.000000,0.000000,1,-124.71,-124.71,0,0,
05/14/2026,09:05:03:065,0.000000,0.000000,1,-122.2,-122.2,0,0,
05/14/2026,09:05:03:271,0.000000,0.000000,1,-128.71,-128.71,0,0,
05/14/2026,09:05:03:485,0.000000,0.000000,1,-118.47,-118.47,0,0,
05/14/2026,09:05:03:710,0.000000,0.000000,1,-114.33,-114.33,0,0,
05/14/2026,09:05:03:939,0.000000,0.000000,1,-115.52,-115.52,0,0,
05/14/2026,09:05:04:165,0.000000,0.000000,1,-115.61,-115.61,0,0,
05/14/2026,09:05:04:392,0.000000,0.000000,1,-120.41,-120.41,0,0,
05/14/2026,09:05:04:619,0.000000,0.000000,1,-118.53,-118.53,0,0,
05/14/2026,09:05:04:848,0.000000,0.000000,1,-114.2,-114.2,0,0,
05/14/2026,09:05:05:071,0.000000,0.000000,1,-110.95,-110.95,0,0,
05/14/2026,09:05:05:318,0.000000,0.000000,1,-112.46,-112.46,0,0,
05/14/2026,09:05:05:528,0.000000,0.000000,1,-118.85,-118.85,0,0,
05/14/2026,09:05:05:753,0.000000,0.000000,1,-114.35,-114.35,0,0,
05/14/2026,09:05:05:980,0.000000,0.000000,1,-118.51,-118.51,0,0,
05/14/2026,09:05:06:205,0.000000,0.000000,1,-116.96,-116.96,0,0,
05/14/2026,09:05:06:431,0.000000,0.000000,1,-117.53,-117.53,0,0,
05/14/2026,09:05:06:658,0.000000,0.000000,1,-118.97,-118.97,0,0,
05/14/2026,09:05:06:896,0.000000,0.000000,1,-116.49,-116.49,0,0,
05/14/2026,09:05:07:148,0.000000,0.000000,1,-120.98,-120.98,0,0,
05/14/2026,09:05:07:337,0.000000,0.000000,1,-118.73,-118.73,0,0,
05/14/2026,09:05:07:564,0.000000,0.000000,1,-123.56,-123.56,0,0,
05/14/2026,09:05:07:792,0.000000,0.000000,1,-120.12,-120.12,0,0,
05/14/2026,09:05:08:018,0.000000,0.000000,1,-124.49,-124.49,0,0,
05/14/2026,09:05:08:421,0.000000,0.000000,1,-117.44,-117.44,0,0,
05/14/2026,09:05:08:474,0.000000,0.000000,1,-125.12,-125.12,0,0,
05/14/2026,09:05:08:700,0.000000,0.000000,1,-124.38,-124.38,0,0,
05/14/2026,09:05:08:928,0.000000,0.000000,1,-118.67,-118.67,0,0,
05/14/2026,09:05:09:151,0.000000,0.000000,1,-120.14,-120.14,0,0,
05/14/2026,09:05:09:377,0.000000,0.000000,1,-116.41,-116.41,0,0,
05/14/2026,09:05:09:604,0.000000,0.000000,1,-128.5,-128.5,0,0,
05/14/2026,09:05:09:831,0.000000,0.000000,1,-125.81,-125.81,0,0,
05/14/2026,09:05:10:057,0.000000,0.000000,1,-126.51,-126.51,0,0,
05/14/2026,09:05:10:284,0.000000,0.000000,1,-122.16,-122.16,0,0,
05/14/2026,09:05:10:512,0.000000,0.000000,1,-117.97,-117.97,0,0,
05/14/2026,09:05:10:786,0.000000,0.000000,1,-119.02,-119.02,0,0,
05/14/2026,09:05:10:987,0.000000,0.000000,1,-120.96,-120.96,0,0,
05/14/2026,09:05:11:191,0.000000,0.000000,1,-121.82,-121.82,0,0,
05/14/2026,09:05:11:420,0.000000,0.000000,1,-124.14,-124.14,0,0,
05/14/2026,09:05:11:650,0.000000,0.000000,1,-118.32,-118.32,0,0,
05/14/2026,09:05:11:874,0.000000,0.000000,1,-121.44,-121.44,0,0,
05/14/2026,09:05:12:098,0.000000,0.000000,1,-119.6,-119.6,0,0,
05/14/2026,09:05:12:327,0.000000,0.000000,1,-113.54,-113.54,0,0,
05/14/2026,09:05:12:551,0.000000,0.000000,1,-123.19,-123.19,0,0,
05/14/2026,09:05:12:796,0.000000,0.000000,1,-120.69,-120.69,0,0,
05/14/2026,09:05:13:007,0.000000,0.000000,1,-117.96,-117.96,0,0,
05/14/2026,09:05:13:232,0.000000,0.000000,1,-122.91,-122.91,0,0,
05/14/2026,09:05:13:676,0.000000,0.000000,1,-120.18,-120.18,0,0,
05/14/2026,09:05:13:713,0.000000,0.000000,1,-122.5,-122.5,0,0,
05/14/2026,09:05:13:913,0.000000,0.000000,1,-117.26,-117.26,0,0,
05/14/2026,09:05:14:139,0.000000,0.000000,1,-123.14,-123.14,0,0,
05/14/2026,09:05:14:369,0.000000,0.000000,1,-120.32,-120.32,0,0,
05/14/2026,09:05:14:616,0.000000,0.000000,1,-121.22,-121.22,0,0,
05/14/2026,09:05:14:844,0.000000,0.000000,1,-117.1,-117.1,0,0,
05/14/2026,09:05:15:047,0.000000,0.000000,1,-120.3,-120.3,0,0,
05/14/2026,09:05:15:271,0.000000,0.000000,1,-120.17,-120.17,0,0,
05/14/2026,09:05:15:499,0.000000,0.000000,1,-120.19,-120.19,0,0,
05/14/2026,09:05:15:727,0.000000,0.000000,1,-124.79,-124.79,0,0,
05/14/2026,09:05:15:953,0.000000,0.000000,1,-122.93,-122.93,0,0,
05/14/2026,09:05:16:179,0.000000,0.000000,1,-121.93,-121.93,0,0,
05/14/2026,09:05:16:439,0.000000,0.000000,1,-122.14,-122.14,0,0,
05/14/2026,09:05:16:633,0.000000,0.000000,1,-122.08,-122.08,0,0,
05/14/2026,09:05:16:859,0.000000,0.000000,1,-121.82,-121.82,0,0,
05/14/2026,09:05:17:086,0.000000,0.000000,1,-127.17,-127.17,0,0,
05/14/2026,09:05:17:313,0.000000,0.000000,1,-125.03,-125.03,0,0,
05/14/2026,09:05:17:539,0.000000,0.000000,1,-122.2,-122.2,0,0,
05/14/2026,09:05:17:767,0.000000,0.000000,1,-115.78,-115.78,0,0,
05/14/2026,09:05:17:993,0.000000,0.000000,1,-121.83,-121.83,0,0,
05/14/2026,09:05:18:241,0.000000,0.000000,1,-120.77,-120.77,0,0,
05/14/2026,09:05:18:445,0.000000,0.000000,1,-125.89,-125.89,0,0,
05/14/2026,09:05:18:941,0.000000,0.000000,1,-123.58,-123.58,0,0,
05/14/2026,09:05:18:984,0.000000,0.000000,1,-123.26,-123.26,0,0,
05/14/2026,09:05:19:125,0.000000,0.000000,1,-124.3,-124.3,0,0,
05/14/2026,09:05:19:353,0.000000,0.000000,1,-116.48,-116.48,0,0,
05/14/2026,09:05:19:579,0.000000,0.000000,1,-116.66,-116.66,0,0,
05/14/2026,09:05:19:805,0.000000,0.000000,1,-121.35,-121.35,0,0,
05/14/2026,09:05:20:080,0.000000,0.000000,1,-112.65,-112.65,0,0,
05/14/2026,09:05:20:262,0.000000,0.000000,1,-115.23,-115.23,0,0,
05/14/2026,09:05:20:494,0.000000,0.000000,1,-119.32,-119.32,0,0,
05/14/2026,09:05:20:711,0.000000,0.000000,1,-117.5,-117.5,0,0,
05/14/2026,09:05:20:939,0.000000,0.000000,1,-121.64,-121.64,0,0,
05/14/2026,09:05:21:164,0.000000,0.000000,1,-116.38,-116.38,0,0,
05/14/2026,09:05:21:392,0.000000,0.000000,1,-120.58,-120.58,0,0,
05/14/2026,09:05:21:618,0.000000,0.000000,1,-115.32,-115.32,0,0,
05/14/2026,09:05:21:892,0.000000,0.000000,1,-117.07,-117.07,0,0,
05/14/2026,09:05:22:072,0.000000,0.000000,1,-114.68,-114.68,0,0,
05/14/2026,09:05:22:299,0.000000,0.000000,1,-114.19,-114.19,0,0,
05/14/2026,09:05:22:523,0.000000,0.000000,1,-119,-119,0,0,
05/14/2026,09:05:22:752,0.000000,0.000000,1,-118.62,-118.62,0,0,
05/14/2026,09:05:22:977,0.000000,0.000000,1,-121.38,-121.38,0,0,
05/14/2026,09:05:23:204,0.000000,0.000000,1,-117,-117,0,0,
05/14/2026,09:05:23:431,0.000000,0.000000,1,-115.98,-115.98,0,0,
05/14/2026,09:05:23:658,0.000000,0.000000,1,-113.76,-113.76,0,0,
05/14/2026,09:05:23:904,0.000000,0.000000,1,-113.5,-113.5,0,0,
05/14/2026,09:05:24:244,0.000000,0.000000,1,-112.58,-112.58,0,0,
05/14/2026,09:05:24:340,0.000000,0.000000,1,-113.82,-113.82,0,0,
05/14/2026,09:05:24:564,0.000000,0.000000,1,-115.81,-115.81,0,0,
05/14/2026,09:05:24:793,0.000000,0.000000,1,-113.99,-113.99,0,0,
05/14/2026,09:05:25:019,0.000000,0.000000,1,-117.92,-117.92,0,0,
05/14/2026,09:05:25:245,0.000000,0.000000,1,-122.56,-122.56,0,0,
05/14/2026,09:05:25:474,0.000000,0.000000,1,-115.19,-115.19,0,0,
05/14/2026,09:05:25:735,0.000000,0.000000,1,-117.75,-117.75,0,0,
05/14/2026,09:05:25:925,0.000000,0.000000,1,-110.36,-110.36,0,0,
05/14/2026,09:05:26:155,0.000000,0.000000,1,-115.72,-115.72,0,0,
05/14/2026,09:05:26:378,0.000000,0.000000,1,-114.36,-114.36,0,0,
05/14/2026,09:05:26:606,0.000000,0.000000,1,-122.47,-122.47,0,0,
05/14/2026,09:05:26:831,0.000000,0.000000,1,-123.38,-123.38,0,0,
05/14/2026,09:05:27:062,0.000000,0.000000,1,-115.98,-115.98,0,0,
05/14/2026,09:05:27:286,0.000000,0.000000,1,-115.93,-115.93,0,0,
05/14/2026,09:05:27:514,0.000000,0.000000,1,-123.36,-123.36,0,0,
05/14/2026,09:05:27:790,0.000000,0.000000,1,-118.49,-118.49,0,0,
05/14/2026,09:05:27:966,0.000000,0.000000,1,-113.06,-113.06,0,0,
05/14/2026,09:05:28:192,0.000000,0.000000,1,-116.42,-116.42,0,0,
05/14/2026,09:05:28:417,0.000000,0.000000,1,-111.82,-111.82,0,0,
05/14/2026,09:05:28:656,0.000000,0.000000,1,-110.46,-110.46,0,0,
05/14/2026,09:05:28:873,0.000000,0.000000,1,-109.99,-109.99,0,0,
05/14/2026,09:05:29:098,0.000000,0.000000,1,-110.53,-110.53,0,0,
05/14/2026,09:05:29:508,0.000000,0.000000,1,-109.21,-109.21,0,0,
05/14/2026,09:05:29:551,0.000000,0.000000,1,-107.8,-107.8,0,0,
05/14/2026,09:05:29:779,0.000000,0.000000,1,-108.78,-108.78,0,0,
05/14/2026,09:05:30:005,0.000000,0.000000,1,-108.82,-108.82,0,0,
05/14/2026,09:05:30:232,0.000000,0.000000,1,-108.97,-108.97,0,0,
05/14/2026,09:05:30:457,0.000000,0.000000,1,-112.38,-112.38,0,0,
05/14/2026,09:05:30:684,0.000000,0.000000,1,-112.06,-112.06,0,0,
05/14/2026,09:05:30:912,0.000000,0.000000,1,-117.71,-117.71,0,0,
05/14/2026,09:05:31:139,0.000000,0.000000,1,-111.13,-111.13,0,0,
05/14/2026,09:05:31:364,0.000000,0.000000,1,-109.12,-109.12,0,0,
05/14/2026,09:05:31:593,0.000000,0.000000,1,-111.28,-111.28,0,0,
05/14/2026,09:05:31:819,0.000000,0.000000,1,-112.57,-112.57,0,0,
05/14/2026,09:05:32:057,0.000000,0.000000,1,-111.86,-111.86,0,0,
05/14/2026,09:05:32:273,0.000000,0.000000,1,-119.81,-119.81,0,0,
05/14/2026,09:05:32:501,0.000000,0.000000,1,-115.67,-115.67,0,0,
05/14/2026,09:05:32:727,0.000000,0.000000,1,-117.36,-117.36,0,0,
05/14/2026,09:05:32:953,0.000000,0.000000,1,-115.17,-115.17,0,0,
05/14/2026,09:05:33:227,0.000000,0.000000,1,-114.57,-114.57,0,0,
05/14/2026,09:05:33:407,0.000000,0.000000,1,-115.31,-115.31,0,0,
05/14/2026,09:05:33:633,0.000000,0.000000,1,-123.35,-123.35,0,0,
05/14/2026,09:05:33:865,0.000000,0.000000,1,-121.77,-121.77,0,0,
05/14/2026,09:05:34:086,0.000000,0.000000,1,-114.96,-114.96,0,0,
05/14/2026,09:05:34:312,0.000000,0.000000,1,-121.23,-121.23,0,0,
05/14/2026,09:05:34:784,0.000000,0.000000,1,-116.96,-116.96,0,0,
05/14/2026,09:05:34:816,0.000000,0.000000,1,-115.96,-115.96,0,0,
05/14/2026,09:05:35:024,0.000000,0.000000,1,-111.29,-111.29,0,0,
05/14/2026,09:05:35:234,0.000000,0.000000,1,-117.94,-117.94,0,0,
05/14/2026,09:05:35:447,0.000000,0.000000,1,-122.09,-122.09,0,0,
05/14/2026,09:05:35:674,0.000000,0.000000,1,-115.98,-115.98,0,0,
05/14/2026,09:05:35:901,0.000000,0.000000,1,-113.69,-113.69,0,0,
05/14/2026,09:05:36:129,0.000000,0.000000,1,-114.37,-114.37,0,0,
