Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:43:49:405,0.000000,0.000000,1,-96.57,-96.57,0,0,
05/14/2026,10:43:49:412,0.000000,0.000000,1,-97.12,-97.12,0,0,
05/14/2026,10:43:49:438,0.000000,0.000000,1,-98.22,-98.22,0,0,
05/14/2026,10:43:49:488,0.000000,0.000000,1,-95.22,-95.22,0,0,
05/14/2026,10:43:49:491,0.000000,0.000000,2,-93.5,-93.5,0,0,
05/14/2026,10:43:49:495,0.000000,0.000000,1,-97.29,-97.29,0,0,
05/14/2026,10:43:49:513,0.000000,0.000000,2,-95.86,-95.86,0,0,
05/14/2026,10:43:49:527,0.000000,0.000000,3,-60.32,-60.32,0,0,
05/14/2026,10:43:49:535,0.000000,0.000000,1,-96.62,-96.62,0,0,
05/14/2026,10:43:49:549,0.000000,0.000000,2,-94.5,-94.5,0,0,
05/14/2026,10:43:49:569,0.000000,0.000000,3,-60.73,-60.73,0,0,
05/14/2026,10:43:49:590,0.000000,0.000000,1,-96.09,-96.09,0,0,
05/14/2026,10:43:49:605,0.000000,0.000000,2,-94.82,-94.82,0,0,
05/14/2026,10:43:49:624,0.000000,0.000000,4,-98.78,-98.78,0,0,
05/14/2026,10:43:49:649,0.000000,0.000000,3,-59.08,-59.08,0,0,
05/14/2026,10:43:49:657,0.000000,0.000000,1,-97.59,-97.59,0,0,
05/14/2026,10:43:49:704,0.000000,0.000000,2,-96.17,-96.17,0,0,
05/14/2026,10:43:49:709,0.000000,0.000000,4,-99.23,-99.23,0,0,
05/14/2026,10:43:49:754,0.000000,0.000000,3,-60.52,-60.52,0,0,
05/14/2026,10:43:49:763,0.000000,0.000000,1,-98.92,-98.92,0,0,
05/14/2026,10:43:49:820,0.000000,0.000000,2,-97.23,-97.23,0,0,
05/14/2026,10:43:49:833,0.000000,0.000000,4,-97.83,-97.83,0,0,
05/14/2026,10:43:49:890,0.000000,0.000000,3,-61.8,-61.8,0,0,
05/14/2026,10:43:49:902,0.000000,0.000000,1,-101.28,-101.28,0,0,
05/14/2026,10:43:50:002,0.000000,0.000000,2,-100.94,-100.94,0,0,
05/14/2026,10:43:50:009,0.000000,0.000000,4,-100.01,-100.01,0,0,
05/14/2026,10:43:50:096,0.000000,0.000000,3,-64.38,-64.38,0,0,
05/14/2026,10:43:50:113,0.000000,0.000000,1,-106.72,-106.72,0,0,
05/14/2026,10:43:50:218,0.000000,0.000000,2,-103.91,-103.91,0,0,
05/14/2026,10:43:50:252,0.000000,0.000000,4,-104.41,-104.41,0,0,
05/14/2026,10:43:50:341,0.000000,0.000000,3,-69.41,-69.41,0,0,
05/14/2026,10:43:50:356,0.000000,0.000000,1,-106.84,-106.84,0,0,
05/14/2026,10:43:50:463,0.000000,0.000000,2,-104.02,-104.02,0,0,
05/14/2026,10:43:50:498,0.000000,0.000000,4,-110.94,-110.94,0,0,
05/14/2026,10:43:50:584,0.000000,0.000000,3,-76.15,-76.15,0,0,
05/14/2026,10:43:50:601,0.000000,0.000000,1,-109.63,-109.63,0,0,
05/14/2026,10:43:50:750,0.000000,0.000000,2,-108.02,-108.02,0,0,
05/14/2026,10:43:50:766,0.000000,0.000000,4,-117.74,-117.74,0,0,
05/14/2026,10:43:50:871,0.000000,0.000000,3,-69.95,-69.95,0,0,
05/14/2026,10:43:50:879,0.000000,0.000000,1,-107.83,-107.83,0,0,
05/14/2026,10:43:50:965,0.000000,0.000000,2,-105.55,-105.55,0,0,
05/14/2026,10:43:51:045,0.000000,0.000000,4,-117.93,-117.93,0,0,
05/14/2026,10:43:51:090,0.000000,0.000000,3,-71.25,-71.25,0,0,
05/14/2026,10:43:51:093,0.000000,0.000000,1,-109.99,-109.99,0,0,
05/14/2026,10:43:51:193,0.000000,0.000000,2,-105.65,-105.65,0,0,
05/14/2026,10:43:51:236,0.000000,0.000000,4,-112.23,-112.23,0,0,
05/14/2026,10:43:51:313,0.000000,0.000000,3,-69.11,-69.11,0,0,
05/14/2026,10:43:51:334,0.000000,0.000000,1,-108.17,-108.17,0,0,
05/14/2026,10:43:51:440,0.000000,0.000000,2,-104.29,-104.29,0,0,
05/14/2026,10:43:51:473,0.000000,0.000000,4,-113.33,-113.33,0,0,
05/14/2026,10:43:51:559,0.000000,0.000000,3,-70.44,-70.44,0,0,
05/14/2026,10:43:51:577,0.000000,0.000000,1,-106.95,-106.95,0,0,
05/14/2026,10:43:51:680,0.000000,0.000000,2,-104.17,-104.17,0,0,
05/14/2026,10:43:51:719,0.000000,0.000000,4,-112.66,-112.66,0,0,
05/14/2026,10:43:51:801,0.000000,0.000000,3,-69.42,-69.42,0,0,
05/14/2026,10:43:51:822,0.000000,0.000000,1,-106.54,-106.54,0,0,
05/14/2026,10:43:51:926,0.000000,0.000000,2,-106.35,-106.35,0,0,
05/14/2026,10:43:51:961,0.000000,0.000000,4,-111.79,-111.79,0,0,
05/14/2026,10:43:52:050,0.000000,0.000000,3,-70.54,-70.54,0,0,
05/14/2026,10:43:52:062,0.000000,0.000000,1,-107.95,-107.95,0,0,
05/14/2026,10:43:52:166,0.000000,0.000000,2,-105.96,-105.96,0,0,
05/14/2026,10:43:52:205,0.000000,0.000000,4,-110.29,-110.29,0,0,
05/14/2026,10:43:52:309,0.000000,0.000000,3,-70.08,-70.08,0,0,
05/14/2026,10:43:52:317,0.000000,0.000000,1,-110.69,-110.69,0,0,
05/14/2026,10:43:52:425,0.000000,0.000000,2,-107.65,-107.65,0,0,
05/14/2026,10:43:52:456,0.000000,0.000000,4,-108.61,-108.61,0,0,
05/14/2026,10:43:52:543,0.000000,0.000000,3,-67.15,-67.15,0,0,
05/14/2026,10:43:52:565,0.000000,0.000000,1,-110.88,-110.88,0,0,
05/14/2026,10:43:52:668,0.000000,0.000000,2,-101.88,-101.88,0,0,
05/14/2026,10:43:52:699,0.000000,0.000000,4,-108.12,-108.12,0,0,
05/14/2026,10:43:52:790,0.000000,0.000000,3,-66.92,-66.92,0,0,
05/14/2026,10:43:52:807,0.000000,0.000000,1,-108.15,-108.15,0,0,
05/14/2026,10:43:52:914,0.000000,0.000000,2,-104.68,-104.68,0,0,
05/14/2026,10:43:52:972,0.000000,0.000000,4,-106.54,-106.54,0,0,
05/14/2026,10:43:53:050,0.000000,0.000000,3,-68.04,-68.04,0,0,
05/14/2026,10:43:53:053,0.000000,0.000000,1,-107.75,-107.75,0,0,
