Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:43:49:680,0.000000,0.000000,1,-84.96,-84.96,0,0,
05/14/2026,10:43:49:798,0.000000,0.000000,1,-81.88,-81.88,0,0,
05/14/2026,10:43:49:987,0.000000,0.000000,1,-82.22,-82.22,0,0,
05/14/2026,10:43:50:204,0.000000,0.000000,1,-85.4,-85.4,0,0,
05/14/2026,10:43:50:443,0.000000,0.000000,1,-84.63,-84.63,0,0,
05/14/2026,10:43:50:747,0.000000,0.000000,1,-83.6,-83.6,0,0,
05/14/2026,10:43:50:962,0.000000,0.000000,1,-84.58,-84.58,0,0,
05/14/2026,10:43:51:181,0.000000,0.000000,1,-84.52,-84.52,0,0,
05/14/2026,10:43:51:420,0.000000,0.000000,1,-86.71,-86.71,0,0,
05/14/2026,10:43:51:660,0.000000,0.000000,1,-84.56,-84.56,0,0,
05/14/2026,10:43:51:905,0.000000,0.000000,1,-82.8,-82.8,0,0,
05/14/2026,10:43:52:148,0.000000,0.000000,1,-82.56,-82.56,0,0,
05/14/2026,10:43:52:403,0.000000,0.000000,1,-89.94,-89.94,0,0,
05/14/2026,10:43:52:645,0.000000,0.000000,1,-93.79,-93.79,0,0,
05/14/2026,10:43:52:910,0.000000,0.000000,1,-82.89,-82.89,0,0,
05/14/2026,10:43:53:136,0.000000,0.000000,1,-81.93,-81.93,0,0,
05/14/2026,10:43:53:377,0.000000,0.000000,1,-86.56,-86.56,0,0,
05/14/2026,10:43:53:640,0.000000,0.000000,1,-88.58,-88.58,0,0,
05/14/2026,10:43:53:872,0.000000,0.000000,1,-90.83,-90.83,0,0,
05/14/2026,10:43:54:106,0.000000,0.000000,1,-91.61,-91.61,0,0,
05/14/2026,10:43:54:349,0.000000,0.000000,1,-87.93,-87.93,0,0,
05/14/2026,10:43:54:593,0.000000,0.000000,1,-84.04,-84.04,0,0,
05/14/2026,10:43:54:837,0.000000,0.000000,1,-83.82,-83.82,0,0,
05/14/2026,10:43:55:084,0.000000,0.000000,1,-84.53,-84.53,0,0,
05/14/2026,10:43:55:324,0.000000,0.000000,1,-84.8,-84.8,0,0,
05/14/2026,10:43:55:574,0.000000,0.000000,1,-84.39,-84.39,0,0,
05/14/2026,10:43:55:815,0.000000,0.000000,1,-84,-84,0,0,
05/14/2026,10:43:56:060,0.000000,0.000000,1,-83.98,-83.98,0,0,
05/14/2026,10:43:56:314,0.000000,0.000000,1,-84.24,-84.24,0,0,
05/14/2026,10:43:56:580,0.000000,0.000000,1,-84.39,-84.39,0,0,
05/14/2026,10:43:56:804,0.000000,0.000000,1,-84.83,-84.83,0,0,
05/14/2026,10:43:57:115,0.000000,0.000000,1,-84.59,-84.59,0,0,
05/14/2026,10:43:57:288,0.000000,0.000000,1,-84.52,-84.52,0,0,
05/14/2026,10:43:57:539,0.000000,0.000000,1,-84.57,-84.57,0,0,
05/14/2026,10:43:57:765,0.000000,0.000000,1,-84.58,-84.58,0,0,
05/14/2026,10:43:58:013,0.000000,0.000000,1,-85.78,-85.78,0,0,
05/14/2026,10:43:58:249,0.000000,0.000000,1,-85.86,-85.86,0,0,
05/14/2026,10:43:58:607,0.000000,0.000000,1,-86.1,-86.1,0,0,
05/14/2026,10:43:58:781,0.000000,0.000000,1,-81.54,-81.54,0,0,
05/14/2026,10:43:59:255,0.000000,0.000000,1,-83.06,-83.06,0,0,
05/14/2026,10:43:59:508,0.000000,0.000000,1,-87.05,-87.05,0,0,
05/14/2026,10:43:59:748,0.000000,0.000000,1,-86.48,-86.48,0,0,
05/14/2026,10:43:59:972,0.000000,0.000000,1,-87.1,-87.1,0,0,
05/14/2026,10:44:00:953,0.000000,0.000000,1,-86.4,-86.4,0,0,
05/14/2026,10:44:01:259,0.000000,0.000000,1,-87.85,-87.85,0,0,
05/14/2026,10:44:01:638,0.000000,0.000000,1,-87.8,-87.8,0,0,
05/14/2026,10:44:01:819,0.000000,0.000000,1,-87.58,-87.58,0,0,
05/14/2026,10:44:02:029,0.000000,0.000000,1,-86.12,-86.12,0,0,
05/14/2026,10:44:02:234,0.000000,0.000000,1,-86.98,-86.98,0,0,
05/14/2026,10:44:02:499,0.000000,0.000000,1,-86.82,-86.82,0,0,
05/14/2026,10:44:02:680,0.000000,0.000000,1,-87.01,-87.01,0,0,
05/14/2026,10:44:02:774,0.000000,0.000000,1,-87.37,-87.37,0,0,
05/14/2026,10:44:02:923,0.000000,0.000000,1,-86.05,-86.05,0,0,
05/14/2026,10:44:03:074,0.000000,0.000000,1,-85.61,-85.61,0,0,
05/14/2026,10:44:03:192,0.000000,0.000000,1,-89.27,-89.27,0,0,
05/14/2026,10:44:03:328,0.000000,0.000000,1,-86.67,-86.67,0,0,
05/14/2026,10:44:03:414,0.000000,0.000000,1,-82.78,-82.78,0,0,
05/14/2026,10:44:03:498,0.000000,0.000000,1,-82.26,-82.26,0,0,
05/14/2026,10:44:03:620,0.000000,0.000000,1,-80.63,-80.63,0,0,
05/14/2026,10:44:03:891,0.000000,0.000000,1,-85.47,-85.47,0,0,
05/14/2026,10:44:04:126,0.000000,0.000000,1,-102.92,-102.92,0,0,
05/14/2026,10:44:04:340,0.000000,0.000000,1,-87.11,-87.11,0,0,
05/14/2026,10:44:04:583,0.000000,0.000000,1,-78.23,-78.23,0,0,
05/14/2026,10:44:04:831,0.000000,0.000000,1,-82.14,-82.14,0,0,
05/14/2026,10:44:05:085,0.000000,0.000000,1,-86.67,-86.67,0,0,
05/14/2026,10:44:05:315,0.000000,0.000000,1,-94.01,-94.01,0,0,
05/14/2026,10:44:05:559,0.000000,0.000000,1,-99.5,-99.5,0,0,
05/14/2026,10:44:06:032,0.000000,0.000000,1,-88.07,-88.07,0,0,
05/14/2026,10:44:06:130,0.000000,0.000000,1,-87.7,-87.7,0,0,
05/14/2026,10:44:06:287,0.000000,0.000000,1,-88.2,-88.2,0,0,
05/14/2026,10:44:06:535,0.000000,0.000000,1,-85.42,-85.42,0,0,
05/14/2026,10:44:06:786,0.000000,0.000000,1,-80.14,-80.14,0,0,
05/14/2026,10:44:07:032,0.000000,0.000000,1,-77.53,-77.53,0,0,
05/14/2026,10:44:07:265,0.000000,0.000000,1,-80.77,-80.77,0,0,
05/14/2026,10:44:07:509,0.000000,0.000000,1,-92.99,-92.99,0,0,
05/14/2026,10:44:07:801,0.000000,0.000000,1,-78.44,-78.44,0,0,
05/14/2026,10:44:08:017,0.000000,0.000000,1,-80.94,-80.94,0,0,
05/14/2026,10:44:08:249,0.000000,0.000000,1,-73.05,-73.05,0,0,
05/14/2026,10:44:08:494,0.000000,0.000000,1,-84.35,-84.35,0,0,
05/14/2026,10:44:08:733,0.000000,0.000000,1,-79.83,-79.83,0,0,
05/14/2026,10:44:08:978,0.000000,0.000000,1,-64.92,-64.92,0,0,
05/14/2026,10:44:09:225,0.000000,0.000000,1,-74.25,-74.25,0,0,
05/14/2026,10:44:09:489,0.000000,0.000000,1,-60.62,-60.62,0,0,
05/14/2026,10:44:09:726,0.000000,0.000000,1,-71.64,-71.64,0,0,
05/14/2026,10:44:09:963,0.000000,0.000000,1,-73.85,-73.85,0,0,
05/14/2026,10:44:10:208,0.000000,0.000000,1,-74.8,-74.8,0,0,
05/14/2026,10:44:10:450,0.000000,0.000000,1,-71.51,-71.51,0,0,
05/14/2026,10:44:10:695,0.000000,0.000000,1,-69.56,-69.56,0,0,
05/14/2026,10:44:10:938,0.000000,0.000000,1,-72.26,-72.26,0,0,
05/14/2026,10:44:11:355,0.000000,0.000000,1,-81.52,-81.52,0,0,
05/14/2026,10:44:11:508,0.000000,0.000000,1,-71.46,-71.46,0,0,
05/14/2026,10:44:11:668,0.000000,0.000000,1,-85.17,-85.17,0,0,
05/14/2026,10:44:11:924,0.000000,0.000000,1,-72.19,-72.19,0,0,
05/14/2026,10:44:12:169,0.000000,0.000000,1,-72.13,-72.13,0,0,
05/14/2026,10:44:12:410,0.000000,0.000000,1,-77.63,-77.63,0,0,
05/14/2026,10:44:12:658,0.000000,0.000000,1,-75.48,-75.48,0,0,
05/14/2026,10:44:12:907,0.000000,0.000000,1,-76.91,-76.91,0,0,
05/14/2026,10:44:13:176,0.000000,0.000000,1,-82.4,-82.4,0,0,
05/14/2026,10:44:13:425,0.000000,0.000000,1,-79.93,-79.93,0,0,
05/14/2026,10:44:13:691,0.000000,0.000000,1,-86.94,-86.94,0,0,
05/14/2026,10:44:13:939,0.000000,0.000000,1,-97.6,-97.6,0,0,
05/14/2026,10:44:14:177,0.000000,0.000000,1,-83.84,-83.84,0,0,
05/14/2026,10:44:14:430,0.000000,0.000000,1,-87.41,-87.41,0,0,
05/14/2026,10:44:14:673,0.000000,0.000000,1,-88.3,-88.3,0,0,
05/14/2026,10:44:14:919,0.000000,0.000000,1,-94.26,-94.26,0,0,
05/14/2026,10:44:15:182,0.000000,0.000000,1,-89.93,-89.93,0,0,
05/14/2026,10:44:15:407,0.000000,0.000000,1,-88.92,-88.92,0,0,
05/14/2026,10:44:15:652,0.000000,0.000000,1,-91.93,-91.93,0,0,
05/14/2026,10:44:15:929,0.000000,0.000000,1,-92.74,-92.74,0,0,
05/14/2026,10:44:16:155,0.000000,0.000000,1,-90.84,-90.84,0,0,
05/14/2026,10:44:16:596,0.000000,0.000000,1,-102.37,-102.37,0,0,
05/14/2026,10:44:16:673,0.000000,0.000000,1,-93.35,-93.35,0,0,
05/14/2026,10:44:16:944,0.000000,0.000000,1,-93.4,-93.4,0,0,
05/14/2026,10:44:17:219,0.000000,0.000000,1,-97.53,-97.53,0,0,
05/14/2026,10:44:17:406,0.000000,0.000000,1,-98.26,-98.26,0,0,
05/14/2026,10:44:17:691,0.000000,0.000000,1,-82.87,-82.87,0,0,
05/14/2026,10:44:17:972,0.000000,0.000000,1,-85.08,-85.08,0,0,
05/14/2026,10:44:18:253,0.000000,0.000000,1,-88.86,-88.86,0,0,
05/14/2026,10:44:18:537,0.000000,0.000000,1,-99.71,-99.71,0,0,
