Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:43:49:727,0.000000,0.000000,1,-79.63,-79.63,0,0,
05/14/2026,10:43:49:786,0.000000,0.000000,2,-83.36,-83.36,0,0,
05/14/2026,10:43:49:850,0.000000,0.000000,3,-85.68,-85.68,0,0,
05/14/2026,10:43:49:869,0.000000,0.000000,1,-80.5,-80.5,0,0,
05/14/2026,10:43:49:922,0.000000,0.000000,4,-75.99,-75.99,0,0,
05/14/2026,10:43:49:970,0.000000,0.000000,2,-80.98,-80.98,0,0,
05/14/2026,10:43:50:045,0.000000,0.000000,3,-82.56,-82.56,0,0,
05/14/2026,10:43:50:061,0.000000,0.000000,1,-106.92,-106.92,0,0,
05/14/2026,10:43:50:147,0.000000,0.000000,4,-84.05,-84.05,0,0,
05/14/2026,10:43:50:165,0.000000,0.000000,2,-91.37,-91.37,0,0,
05/14/2026,10:43:50:292,0.000000,0.000000,3,-108.93,-108.93,0,0,
05/14/2026,10:43:50:304,0.000000,0.000000,1,-120.36,-120.36,0,0,
05/14/2026,10:43:50:392,0.000000,0.000000,4,-95.67,-95.67,0,0,
05/14/2026,10:43:50:408,0.000000,0.000000,2,-89.81,-89.81,0,0,
05/14/2026,10:43:50:535,0.000000,0.000000,3,-109.88,-109.88,0,0,
05/14/2026,10:43:50:548,0.000000,0.000000,1,-108.24,-108.24,0,0,
05/14/2026,10:43:50:659,0.000000,0.000000,4,-101.93,-101.93,0,0,
05/14/2026,10:43:50:704,0.000000,0.000000,2,-95.41,-95.41,0,0,
05/14/2026,10:43:50:859,0.000000,0.000000,3,-105.25,-105.25,0,0,
05/14/2026,10:43:50:864,0.000000,0.000000,1,-107.41,-107.41,0,0,
05/14/2026,10:43:50:926,0.000000,0.000000,4,-110.47,-110.47,0,0,
05/14/2026,10:43:50:927,0.000000,0.000000,2,-113.33,-113.33,0,0,
05/14/2026,10:43:51:057,0.000000,0.000000,3,-113.83,-113.83,0,0,
05/14/2026,10:43:51:062,0.000000,0.000000,1,-104.7,-104.7,0,0,
05/14/2026,10:43:51:124,0.000000,0.000000,4,-109.36,-109.36,0,0,
05/14/2026,10:43:51:137,0.000000,0.000000,2,-111.95,-111.95,0,0,
05/14/2026,10:43:51:263,0.000000,0.000000,3,-108.14,-108.14,0,0,
05/14/2026,10:43:51:282,0.000000,0.000000,1,-115.87,-115.87,0,0,
