Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:43:50:007,0.000000,0.000000,2,-93.87,-93.87,0,0,
05/14/2026,10:43:50:026,0.000000,0.000000,3,-100.77,-100.77,0,0,
05/14/2026,10:43:50:080,0.000000,0.000000,4,-86.24,-86.24,0,0,
05/14/2026,10:43:50:145,0.000000,0.000000,5,-70.22,-70.22,0,0,
05/14/2026,10:43:50:239,0.000000,0.000000,2,-100.41,-100.41,0,0,
05/14/2026,10:43:50:278,0.000000,0.000000,3,-97.76,-97.76,0,0,
05/14/2026,10:43:50:320,0.000000,0.000000,4,-99.47,-99.47,0,0,
05/14/2026,10:43:50:379,0.000000,0.000000,5,-69.63,-69.63,0,0,
05/14/2026,10:43:50:483,0.000000,0.000000,2,-117.13,-117.13,0,0,
05/14/2026,10:43:50:514,0.000000,0.000000,3,-122.42,-122.42,0,0,
05/14/2026,10:43:50:564,0.000000,0.000000,4,-119.98,-119.98,0,0,
05/14/2026,10:43:50:619,0.000000,0.000000,5,-68.71,-68.71,0,0,
05/14/2026,10:43:50:762,0.000000,0.000000,2,-111.59,-111.59,0,0,
05/14/2026,10:43:50:857,0.000000,0.000000,3,-119.64,-119.64,0,0,
05/14/2026,10:43:50:867,0.000000,0.000000,4,-118.51,-118.51,0,0,
05/14/2026,10:43:50:906,0.000000,0.000000,5,-67.64,-67.64,0,0,
05/14/2026,10:43:50:970,0.000000,0.000000,2,-121.3,-121.3,0,0,
05/14/2026,10:43:51:051,0.000000,0.000000,3,-122.83,-122.83,0,0,
05/14/2026,10:43:51:066,0.000000,0.000000,4,-114.31,-114.31,0,0,
05/14/2026,10:43:51:105,0.000000,0.000000,5,-68.89,-68.89,0,0,
05/14/2026,10:43:51:208,0.000000,0.000000,2,-113.33,-113.33,0,0,
05/14/2026,10:43:51:248,0.000000,0.000000,3,-115.32,-115.32,0,0,
05/14/2026,10:43:51:296,0.000000,0.000000,4,-105.28,-105.28,0,0,
05/14/2026,10:43:51:348,0.000000,0.000000,5,-69.56,-69.56,0,0,
05/14/2026,10:43:51:454,0.000000,0.000000,2,-114.22,-114.22,0,0,
05/14/2026,10:43:51:490,0.000000,0.000000,3,-118.21,-118.21,0,0,
05/14/2026,10:43:51:539,0.000000,0.000000,4,-102.76,-102.76,0,0,
05/14/2026,10:43:51:597,0.000000,0.000000,5,-68.1,-68.1,0,0,
05/14/2026,10:43:51:696,0.000000,0.000000,2,-107,-107,0,0,
05/14/2026,10:43:51:753,0.000000,0.000000,3,-119.69,-119.69,0,0,
05/14/2026,10:43:51:785,0.000000,0.000000,4,-122.54,-122.54,0,0,
05/14/2026,10:43:51:838,0.000000,0.000000,5,-68.73,-68.73,0,0,
05/14/2026,10:43:51:946,0.000000,0.000000,2,-114.96,-114.96,0,0,
05/14/2026,10:43:51:980,0.000000,0.000000,3,-103.73,-103.73,0,0,
05/14/2026,10:43:52:039,0.000000,0.000000,4,-119.08,-119.08,0,0,
05/14/2026,10:43:52:081,0.000000,0.000000,5,-68.46,-68.46,0,0,
05/14/2026,10:43:52:184,0.000000,0.000000,2,-105.62,-105.62,0,0,
05/14/2026,10:43:52:222,0.000000,0.000000,3,-110.4,-110.4,0,0,
05/14/2026,10:43:52:279,0.000000,0.000000,4,-110.71,-110.71,0,0,
05/14/2026,10:43:52:335,0.000000,0.000000,5,-69.87,-69.87,0,0,
05/14/2026,10:43:52:441,0.000000,0.000000,2,-108.05,-108.05,0,0,
05/14/2026,10:43:52:476,0.000000,0.000000,3,-103.5,-103.5,0,0,
05/14/2026,10:43:52:529,0.000000,0.000000,4,-106.21,-106.21,0,0,
05/14/2026,10:43:52:581,0.000000,0.000000,5,-71.25,-71.25,0,0,
05/14/2026,10:43:52:680,0.000000,0.000000,2,-94.97,-94.97,0,0,
05/14/2026,10:43:52:725,0.000000,0.000000,3,-100.3,-100.3,0,0,
05/14/2026,10:43:52:786,0.000000,0.000000,4,-105.38,-105.38,0,0,
05/14/2026,10:43:52:837,0.000000,0.000000,5,-71.25,-71.25,0,0,
05/14/2026,10:43:52:927,0.000000,0.000000,2,-110.67,-110.67,0,0,
05/14/2026,10:43:52:979,0.000000,0.000000,3,-110.92,-110.92,0,0,
05/14/2026,10:43:53:046,0.000000,0.000000,4,-117.28,-117.28,0,0,
05/14/2026,10:43:53:104,0.000000,0.000000,5,-69.41,-69.41,0,0,
05/14/2026,10:43:53:173,0.000000,0.000000,2,-120.35,-120.35,0,0,
05/14/2026,10:43:53:212,0.000000,0.000000,3,-121.15,-121.15,0,0,
05/14/2026,10:43:53:255,0.000000,0.000000,4,-97.79,-97.79,0,0,
05/14/2026,10:43:53:319,0.000000,0.000000,5,-69.78,-69.78,0,0,
05/14/2026,10:43:53:417,0.000000,0.000000,2,-114.46,-114.46,0,0,
05/14/2026,10:43:53:447,0.000000,0.000000,3,-108.36,-108.36,0,0,
05/14/2026,10:43:53:501,0.000000,0.000000,4,-100.81,-100.81,0,0,
05/14/2026,10:43:53:552,0.000000,0.000000,5,-70.75,-70.75,0,0,
05/14/2026,10:43:53:672,0.000000,0.000000,2,-101.65,-101.65,0,0,
05/14/2026,10:43:53:690,0.000000,0.000000,3,-97.39,-97.39,0,0,
05/14/2026,10:43:53:742,0.000000,0.000000,4,-89.11,-89.11,0,0,
05/14/2026,10:43:53:804,0.000000,0.000000,5,-70.02,-70.02,0,0,
05/14/2026,10:43:53:900,0.000000,0.000000,2,-106.92,-106.92,0,0,
05/14/2026,10:43:53:940,0.000000,0.000000,3,-105.4,-105.4,0,0,
05/14/2026,10:43:53:984,0.000000,0.000000,4,-119.01,-119.01,0,0,
05/14/2026,10:43:54:039,0.000000,0.000000,5,-70.03,-70.03,0,0,
05/14/2026,10:43:54:143,0.000000,0.000000,2,-99.07,-99.07,0,0,
05/14/2026,10:43:54:179,0.000000,0.000000,3,-90.14,-90.14,0,0,
05/14/2026,10:43:54:232,0.000000,0.000000,4,-96.05,-96.05,0,0,
05/14/2026,10:43:54:286,0.000000,0.000000,5,-70.13,-70.13,0,0,
05/14/2026,10:43:54:386,0.000000,0.000000,2,-113.98,-113.98,0,0,
05/14/2026,10:43:54:437,0.000000,0.000000,3,-94.97,-94.97,0,0,
05/14/2026,10:43:54:505,0.000000,0.000000,4,-91.28,-91.28,0,0,
05/14/2026,10:43:54:578,0.000000,0.000000,5,-69.81,-69.81,0,0,
05/14/2026,10:43:54:653,0.000000,0.000000,2,-111.41,-111.41,0,0,
05/14/2026,10:43:54:665,0.000000,0.000000,3,-117.86,-117.86,0,0,
05/14/2026,10:43:54:739,0.000000,0.000000,4,-100.48,-100.48,0,0,
05/14/2026,10:43:54:793,0.000000,0.000000,5,-70.06,-70.06,0,0,
05/14/2026,10:43:54:875,0.000000,0.000000,2,-95.21,-95.21,0,0,
05/14/2026,10:43:54:909,0.000000,0.000000,3,-103.22,-103.22,0,0,
05/14/2026,10:43:54:980,0.000000,0.000000,4,-111.11,-111.11,0,0,
05/14/2026,10:43:55:019,0.000000,0.000000,5,-70.95,-70.95,0,0,
05/14/2026,10:43:55:123,0.000000,0.000000,2,-109.01,-109.01,0,0,
