Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:43:50:182,0.000000,0.000000,1,-99.15,-99.15,0,0,
05/14/2026,10:43:50:430,0.000000,0.000000,1,-96.5,-96.5,0,0,
05/14/2026,10:43:50:744,0.000000,0.000000,1,-104.25,-104.25,0,0,
05/14/2026,10:43:50:955,0.000000,0.000000,1,-93.84,-93.84,0,0,
05/14/2026,10:43:51:161,0.000000,0.000000,1,-116.87,-116.87,0,0,
05/14/2026,10:43:51:399,0.000000,0.000000,1,-112.61,-112.61,0,0,
05/14/2026,10:43:51:648,0.000000,0.000000,1,-120.81,-120.81,0,0,
05/14/2026,10:43:51:887,0.000000,0.000000,1,-117.84,-117.84,0,0,
05/14/2026,10:43:52:131,0.000000,0.000000,1,-109.37,-109.37,0,0,
05/14/2026,10:43:52:384,0.000000,0.000000,1,-97.41,-97.41,0,0,
05/14/2026,10:43:52:629,0.000000,0.000000,1,-96.94,-96.94,0,0,
05/14/2026,10:43:52:907,0.000000,0.000000,1,-91.59,-91.59,0,0,
05/14/2026,10:43:53:132,0.000000,0.000000,1,-108.82,-108.82,0,0,
05/14/2026,10:43:53:359,0.000000,0.000000,1,-96.87,-96.87,0,0,
05/14/2026,10:43:53:621,0.000000,0.000000,1,-120.76,-120.76,0,0,
05/14/2026,10:43:53:863,0.000000,0.000000,1,-100.63,-100.63,0,0,
05/14/2026,10:43:54:089,0.000000,0.000000,1,-107.94,-107.94,0,0,
05/14/2026,10:43:54:339,0.000000,0.000000,1,-92.14,-92.14,0,0,
05/14/2026,10:43:54:590,0.000000,0.000000,1,-101.52,-101.52,0,0,
05/14/2026,10:43:54:823,0.000000,0.000000,1,-113.84,-113.84,0,0,
05/14/2026,10:43:55:068,0.000000,0.000000,1,-119.73,-119.73,0,0,
05/14/2026,10:43:55:312,0.000000,0.000000,1,-89.51,-89.51,0,0,
05/14/2026,10:43:55:559,0.000000,0.000000,1,-111.85,-111.85,0,0,
05/14/2026,10:43:55:795,0.000000,0.000000,1,-100.94,-100.94,0,0,
05/14/2026,10:43:56:051,0.000000,0.000000,1,-92.53,-92.53,0,0,
05/14/2026,10:43:56:281,0.000000,0.000000,1,-104.72,-104.72,0,0,
05/14/2026,10:43:56:577,0.000000,0.000000,1,-106.49,-106.49,0,0,
05/14/2026,10:43:56:798,0.000000,0.000000,1,-108.92,-108.92,0,0,
05/14/2026,10:43:57:102,0.000000,0.000000,1,-108.45,-108.45,0,0,
05/14/2026,10:43:57:284,0.000000,0.000000,1,-116.5,-116.5,0,0,
05/14/2026,10:43:57:536,0.000000,0.000000,1,-107.92,-107.92,0,0,
05/14/2026,10:43:57:761,0.000000,0.000000,1,-114.01,-114.01,0,0,
05/14/2026,10:43:57:992,0.000000,0.000000,1,-98.28,-98.28,0,0,
05/14/2026,10:43:58:238,0.000000,0.000000,1,-111.06,-111.06,0,0,
05/14/2026,10:43:58:557,0.000000,0.000000,1,-108.62,-108.62,0,0,
05/14/2026,10:43:58:772,0.000000,0.000000,1,-93.3,-93.3,0,0,
05/14/2026,10:43:59:080,0.000000,0.000000,1,-97.84,-97.84,0,0,
05/14/2026,10:43:59:505,0.000000,0.000000,1,-96.55,-96.55,0,0,
05/14/2026,10:43:59:730,0.000000,0.000000,1,-115.58,-115.58,0,0,
05/14/2026,10:43:59:960,0.000000,0.000000,1,-103.24,-103.24,0,0,
05/14/2026,10:44:00:950,0.000000,0.000000,1,-112.22,-112.22,0,0,
05/14/2026,10:44:01:254,0.000000,0.000000,1,-107.16,-107.16,0,0,
05/14/2026,10:44:01:557,0.000000,0.000000,1,-108.43,-108.43,0,0,
05/14/2026,10:44:01:792,0.000000,0.000000,1,-102.74,-102.74,0,0,
05/14/2026,10:44:01:986,0.000000,0.000000,1,-101.89,-101.89,0,0,
05/14/2026,10:44:02:204,0.000000,0.000000,1,-98.58,-98.58,0,0,
05/14/2026,10:44:02:461,0.000000,0.000000,1,-99.13,-99.13,0,0,
05/14/2026,10:44:02:660,0.000000,0.000000,1,-95.02,-95.02,0,0,
05/14/2026,10:44:02:768,0.000000,0.000000,1,-108.16,-108.16,0,0,
