Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:44:24:201,0.000000,0.000000,1,-101.48,-101.48,0,0,
05/14/2026,09:44:24:311,0.000000,0.000000,1,-101.46,-101.46,0,0,
05/14/2026,09:44:24:478,0.000000,0.000000,1,-103.07,-103.07,0,0,
05/14/2026,09:44:24:693,0.000000,0.000000,1,-102.05,-102.05,0,0,
05/14/2026,09:44:24:945,0.000000,0.000000,1,-98.16,-98.16,0,0,
05/14/2026,09:44:25:185,0.000000,0.000000,1,-104.69,-104.69,0,0,
05/14/2026,09:44:25:429,0.000000,0.000000,1,-102.59,-102.59,0,0,
05/14/2026,09:44:25:674,0.000000,0.000000,1,-98.5,-98.5,0,0,
05/14/2026,09:44:26:011,0.000000,0.000000,1,-102,-102,0,0,
05/14/2026,09:44:26:164,0.000000,0.000000,1,-102.15,-102.15,0,0,
05/14/2026,09:44:26:423,0.000000,0.000000,1,-101.16,-101.16,0,0,
05/14/2026,09:44:26:649,0.000000,0.000000,1,-103.33,-103.33,0,0,
05/14/2026,09:44:26:887,0.000000,0.000000,1,-100.17,-100.17,0,0,
05/14/2026,09:44:27:169,0.000000,0.000000,1,-106.56,-106.56,0,0,
05/14/2026,09:44:27:422,0.000000,0.000000,1,-100.98,-100.98,0,0,
05/14/2026,09:44:27:669,0.000000,0.000000,1,-108.42,-108.42,0,0,
05/14/2026,09:44:27:877,0.000000,0.000000,1,-106.89,-106.89,0,0,
05/14/2026,09:44:28:110,0.000000,0.000000,1,-107.31,-107.31,0,0,
05/14/2026,09:44:28:350,0.000000,0.000000,1,-106.66,-106.66,0,0,
05/14/2026,09:44:28:605,0.000000,0.000000,1,-104.09,-104.09,0,0,
05/14/2026,09:44:28:837,0.000000,0.000000,1,-107.5,-107.5,0,0,
05/14/2026,09:44:29:088,0.000000,0.000000,1,-112.89,-112.89,0,0,
05/14/2026,09:44:29:405,0.000000,0.000000,1,-110.52,-110.52,0,0,
05/14/2026,09:44:30:502,0.000000,0.000000,1,-110.49,-110.49,0,0,
05/14/2026,09:44:30:621,0.000000,0.000000,1,-104.04,-104.04,0,0,
05/14/2026,09:44:30:732,0.000000,0.000000,1,-102.53,-102.53,0,0,
05/14/2026,09:44:30:867,0.000000,0.000000,1,-116.71,-116.71,0,0,
05/14/2026,09:44:31:065,0.000000,0.000000,1,-101.59,-101.59,0,0,
05/14/2026,09:44:31:208,0.000000,0.000000,1,-104.04,-104.04,0,0,
05/14/2026,09:44:31:558,0.000000,0.000000,1,-97.5,-97.5,0,0,
05/14/2026,09:44:31:749,0.000000,0.000000,1,-110.82,-110.82,0,0,
05/14/2026,09:44:31:869,0.000000,0.000000,1,-105.3,-105.3,0,0,
05/14/2026,09:44:32:012,0.000000,0.000000,1,-104.12,-104.12,0,0,
05/14/2026,09:44:32:149,0.000000,0.000000,1,-98.29,-98.29,0,0,
05/14/2026,09:44:32:250,0.000000,0.000000,1,-106.33,-106.33,0,0,
