Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,09:48:12:384,0.000000,0.000000,1,-124.14,-124.14,0,0,
05/14/2026,09:48:12:580,0.000000,0.000000,1,-124.77,-124.77,0,0,
05/14/2026,09:48:12:744,0.000000,0.000000,1,-124.9,-124.9,0,0,
05/14/2026,09:48:12:987,0.000000,0.000000,1,-124.57,-124.57,0,0,
05/14/2026,09:48:13:240,0.000000,0.000000,1,-123.51,-123.51,0,0,
05/14/2026,09:48:13:496,0.000000,0.000000,1,-125.01,-125.01,0,0,
05/14/2026,09:48:13:717,0.000000,0.000000,1,-125.79,-125.79,0,0,
05/14/2026,09:48:13:963,0.000000,0.000000,1,-125.17,-125.17,0,0,
05/14/2026,09:48:14:351,0.000000,0.000000,1,-125.11,-125.11,0,0,
05/14/2026,09:48:14:556,0.000000,0.000000,1,-122.73,-122.73,0,0,
05/14/2026,09:48:14:693,0.000000,0.000000,1,-126.05,-126.05,0,0,
05/14/2026,09:48:14:937,0.000000,0.000000,1,-124.19,-124.19,0,0,
05/14/2026,09:48:15:179,0.000000,0.000000,1,-125.79,-125.79,0,0,
05/14/2026,09:48:15:431,0.000000,0.000000,1,-124.45,-124.45,0,0,
05/14/2026,09:48:15:697,0.000000,0.000000,1,-125.27,-125.27,0,0,
05/14/2026,09:48:15:917,0.000000,0.000000,1,-125.15,-125.15,0,0,
05/14/2026,09:48:16:202,0.000000,0.000000,1,-126.06,-126.06,0,0,
05/14/2026,09:48:16:399,0.000000,0.000000,1,-125.16,-125.16,0,0,
05/14/2026,09:48:16:652,0.000000,0.000000,1,-125.95,-125.95,0,0,
05/14/2026,09:48:16:886,0.000000,0.000000,1,-125.52,-125.52,0,0,
05/14/2026,09:48:17:585,0.000000,0.000000,1,-125.76,-125.76,0,0,
05/14/2026,09:48:17:686,0.000000,0.000000,1,-123.4,-123.4,0,0,
05/14/2026,09:48:17:765,0.000000,0.000000,1,-124.6,-124.6,0,0,
05/14/2026,09:48:17:898,0.000000,0.000000,1,-124.44,-124.44,0,0,
05/14/2026,09:48:18:132,0.000000,0.000000,1,-122.72,-122.72,0,0,
05/14/2026,09:48:18:347,0.000000,0.000000,1,-125.15,-125.15,0,0,
05/14/2026,09:48:18:590,0.000000,0.000000,1,-123.9,-123.9,0,0,
05/14/2026,09:48:18:835,0.000000,0.000000,1,-124.49,-124.49,0,0,
05/14/2026,09:48:19:088,0.000000,0.000000,1,-124.31,-124.31,0,0,
05/14/2026,09:48:19:325,0.000000,0.000000,1,-124.11,-124.11,0,0,
05/14/2026,09:48:19:568,0.000000,0.000000,1,-125.25,-125.25,0,0,
05/14/2026,09:48:19:812,0.000000,0.000000,1,-125.31,-125.31,0,0,
05/14/2026,09:48:20:066,0.000000,0.000000,1,-125.25,-125.25,0,0,
05/14/2026,09:48:20:297,0.000000,0.000000,1,-125.91,-125.91,0,0,
05/14/2026,09:48:20:541,0.000000,0.000000,1,-125.78,-125.78,0,0,
05/14/2026,09:48:20:784,0.000000,0.000000,1,-126.13,-126.13,0,0,
05/14/2026,09:48:21:045,0.000000,0.000000,1,-124.44,-124.44,0,0,
05/14/2026,09:48:21:273,0.000000,0.000000,1,-127.42,-127.42,0,0,
05/14/2026,09:48:21:543,0.000000,0.000000,1,-123.34,-123.34,0,0,
05/14/2026,09:48:21:784,0.000000,0.000000,1,-124.95,-124.95,0,0,
05/14/2026,09:48:22:012,0.000000,0.000000,1,-123.65,-123.65,0,0,
05/14/2026,09:48:22:245,0.000000,0.000000,1,-124.01,-124.01,0,0,
05/14/2026,09:48:22:490,0.000000,0.000000,1,-124.56,-124.56,0,0,
05/14/2026,09:48:22:885,0.000000,0.000000,1,-124.44,-124.44,0,0,
05/14/2026,09:48:23:003,0.000000,0.000000,1,-123.48,-123.48,0,0,
05/14/2026,09:48:23:228,0.000000,0.000000,1,-125.16,-125.16,0,0,
05/14/2026,09:48:23:467,0.000000,0.000000,1,-125.65,-125.65,0,0,
05/14/2026,09:48:23:746,0.000000,0.000000,1,-123.9,-123.9,0,0,
05/14/2026,09:48:23:962,0.000000,0.000000,1,-124.41,-124.41,0,0,
05/14/2026,09:48:24:205,0.000000,0.000000,1,-124.44,-124.44,0,0,
05/14/2026,09:48:24:439,0.000000,0.000000,1,-125.16,-125.16,0,0,
05/14/2026,09:48:24:684,0.000000,0.000000,1,-124.95,-124.95,0,0,
05/14/2026,09:48:24:926,0.000000,0.000000,1,-125.23,-125.23,0,0,
05/14/2026,09:48:25:168,0.000000,0.000000,1,-126.41,-126.41,0,0,
05/14/2026,09:48:25:456,0.000000,0.000000,1,-126,-126,0,0,
05/14/2026,09:48:25:679,0.000000,0.000000,1,-125.18,-125.18,0,0,
05/14/2026,09:48:25:900,0.000000,0.000000,1,-125.6,-125.6,0,0,
05/14/2026,09:48:26:144,0.000000,0.000000,1,-126.46,-126.46,0,0,
05/14/2026,09:48:26:392,0.000000,0.000000,1,-125.39,-125.39,0,0,
05/14/2026,09:48:26:635,0.000000,0.000000,1,-124.66,-124.66,0,0,
05/14/2026,09:48:26:891,0.000000,0.000000,1,-124.5,-124.5,0,0,
05/14/2026,09:48:27:133,0.000000,0.000000,1,-123.92,-123.92,0,0,
05/14/2026,09:48:27:363,0.000000,0.000000,1,-125.88,-125.88,0,0,
05/14/2026,09:48:27:606,0.000000,0.000000,1,-124.73,-124.73,0,0,
05/14/2026,09:48:28:083,0.000000,0.000000,1,-125.81,-125.81,0,0,
05/14/2026,09:48:28:204,0.000000,0.000000,1,-124.8,-124.8,0,0,
05/14/2026,09:48:28:344,0.000000,0.000000,1,-122.79,-122.79,0,0,
05/14/2026,09:48:28:582,0.000000,0.000000,1,-125.65,-125.65,0,0,
05/14/2026,09:48:28:824,0.000000,0.000000,1,-125.49,-125.49,0,0,
05/14/2026,09:48:29:085,0.000000,0.000000,1,-126.27,-126.27,0,0,
05/14/2026,09:48:29:383,0.000000,0.000000,1,-126.46,-126.46,0,0,
05/14/2026,09:48:29:566,0.000000,0.000000,1,-125.71,-125.71,0,0,
05/14/2026,09:48:29:809,0.000000,0.000000,1,-125.58,-125.58,0,0,
05/14/2026,09:48:30:060,0.000000,0.000000,1,-125.42,-125.42,0,0,
05/14/2026,09:48:30:306,0.000000,0.000000,1,-124.52,-124.52,0,0,
05/14/2026,09:48:30:550,0.000000,0.000000,1,-125.68,-125.68,0,0,
05/14/2026,09:48:30:819,0.000000,0.000000,1,-125.31,-125.31,0,0,
05/14/2026,09:48:31:067,0.000000,0.000000,1,-123.98,-123.98,0,0,
05/14/2026,09:48:31:312,0.000000,0.000000,1,-121.56,-121.56,0,0,
05/14/2026,09:48:31:568,0.000000,0.000000,1,-125.63,-125.63,0,0,
05/14/2026,09:48:31:803,0.000000,0.000000,1,-125.91,-125.91,0,0,
05/14/2026,09:48:32:059,0.000000,0.000000,1,-124.69,-124.69,0,0,
05/14/2026,09:48:32:319,0.000000,0.000000,1,-124.17,-124.17,0,0,
05/14/2026,09:48:32:575,0.000000,0.000000,1,-125.14,-125.14,0,0,
05/14/2026,09:48:32:861,0.000000,0.000000,1,-124.63,-124.63,0,0,
05/14/2026,09:48:33:077,0.000000,0.000000,1,-124.19,-124.19,0,0,
05/14/2026,09:48:33:426,0.000000,0.000000,1,-124.99,-124.99,0,0,
05/14/2026,09:48:33:554,0.000000,0.000000,1,-125.87,-125.87,0,0,
05/14/2026,09:48:33:791,0.000000,0.000000,1,-124.91,-124.91,0,0,
05/14/2026,09:48:34:051,0.000000,0.000000,1,-124.41,-124.41,0,0,
05/14/2026,09:48:34:286,0.000000,0.000000,1,-123.75,-123.75,0,0,
05/14/2026,09:48:34:538,0.000000,0.000000,1,-125.32,-125.32,0,0,
05/14/2026,09:48:34:814,0.000000,0.000000,1,-124.96,-124.96,0,0,
05/14/2026,09:48:35:038,0.000000,0.000000,1,-125.68,-125.68,0,0,
05/14/2026,09:48:35:301,0.000000,0.000000,1,-126.05,-126.05,0,0,
05/14/2026,09:48:35:568,0.000000,0.000000,1,-123.46,-123.46,0,0,
05/14/2026,09:48:35:852,0.000000,0.000000,1,-123.27,-123.27,0,0,
05/14/2026,09:48:36:140,0.000000,0.000000,1,-125.59,-125.59,0,0,
05/14/2026,09:48:36:390,0.000000,0.000000,1,-124.59,-124.59,0,0,
05/14/2026,09:48:36:642,0.000000,0.000000,1,-124.29,-124.29,0,0,
05/14/2026,09:48:36:949,0.000000,0.000000,1,-124.41,-124.41,0,0,
05/14/2026,09:48:37:139,0.000000,0.000000,1,-124.34,-124.34,0,0,
05/14/2026,09:48:37:406,0.000000,0.000000,1,-124.86,-124.86,0,0,
05/14/2026,09:48:37:666,0.000000,0.000000,1,-125.88,-125.88,0,0,
05/14/2026,09:48:37:923,0.000000,0.000000,1,-121.75,-121.75,0,0,
05/14/2026,09:48:38:179,0.000000,0.000000,1,-123.04,-123.04,0,0,
05/14/2026,09:48:38:656,0.000000,0.000000,1,-121.98,-121.98,0,0,
05/14/2026,09:48:38:743,0.000000,0.000000,1,-122.21,-122.21,0,0,
05/14/2026,09:48:38:932,0.000000,0.000000,1,-121.25,-121.25,0,0,
05/14/2026,09:48:39:160,0.000000,0.000000,1,-121.08,-121.08,0,0,
05/14/2026,09:48:39:409,0.000000,0.000000,1,-124.18,-124.18,0,0,
05/14/2026,09:48:39:665,0.000000,0.000000,1,-120.55,-120.55,0,0,
05/14/2026,09:48:39:903,0.000000,0.000000,1,-123.24,-123.24,0,0,
05/14/2026,09:48:40:190,0.000000,0.000000,1,-116.89,-116.89,0,0,
05/14/2026,09:48:40:409,0.000000,0.000000,1,-122.21,-122.21,0,0,
05/14/2026,09:48:40:631,0.000000,0.000000,1,-125.99,-125.99,0,0,
05/14/2026,09:48:40:875,0.000000,0.000000,1,-124.56,-124.56,0,0,
05/14/2026,09:48:41:121,0.000000,0.000000,1,-122.46,-122.46,0,0,
05/14/2026,09:48:41:363,0.000000,0.000000,1,-123.16,-123.16,0,0,
05/14/2026,09:48:41:612,0.000000,0.000000,1,-123.92,-123.92,0,0,
05/14/2026,09:48:41:858,0.000000,0.000000,1,-127.24,-127.24,0,0,
05/14/2026,09:48:42:127,0.000000,0.000000,1,-125.37,-125.37,0,0,
05/14/2026,09:48:42:339,0.000000,0.000000,1,-125.66,-125.66,0,0,
05/14/2026,09:48:42:583,0.000000,0.000000,1,-125.61,-125.61,0,0,
05/14/2026,09:48:42:829,0.000000,0.000000,1,-125.28,-125.28,0,0,
05/14/2026,09:48:43:070,0.000000,0.000000,1,-125.71,-125.71,0,0,
05/14/2026,09:48:43:311,0.000000,0.000000,1,-122.91,-122.91,0,0,
05/14/2026,09:48:43:557,0.000000,0.000000,1,-125.19,-125.19,0,0,
05/14/2026,09:48:44:020,0.000000,0.000000,1,-122.63,-122.63,0,0,
05/14/2026,09:48:44:113,0.000000,0.000000,1,-123.4,-123.4,0,0,
05/14/2026,09:48:44:289,0.000000,0.000000,1,-123.96,-123.96,0,0,
05/14/2026,09:48:44:540,0.000000,0.000000,1,-120.46,-120.46,0,0,
05/14/2026,09:48:44:777,0.000000,0.000000,1,-125.22,-125.22,0,0,
05/14/2026,09:48:45:017,0.000000,0.000000,1,-125.7,-125.7,0,0,
05/14/2026,09:48:45:264,0.000000,0.000000,1,-126.55,-126.55,0,0,
05/14/2026,09:48:45:504,0.000000,0.000000,1,-124.59,-124.59,0,0,
05/14/2026,09:48:45:783,0.000000,0.000000,1,-125.4,-125.4,0,0,
05/14/2026,09:48:45:992,0.000000,0.000000,1,-122.5,-122.5,0,0,
05/14/2026,09:48:46:255,0.000000,0.000000,1,-125.51,-125.51,0,0,
05/14/2026,09:48:46:522,0.000000,0.000000,1,-122.8,-122.8,0,0,
05/14/2026,09:48:46:806,0.000000,0.000000,1,-123.53,-123.53,0,0,
05/14/2026,09:48:47:091,0.000000,0.000000,1,-124.1,-124.1,0,0,
05/14/2026,09:48:47:382,0.000000,0.000000,1,-124.24,-124.24,0,0,
05/14/2026,09:48:47:673,0.000000,0.000000,1,-124.51,-124.51,0,0,
05/14/2026,09:48:47:922,0.000000,0.000000,1,-121.81,-121.81,0,0,
05/14/2026,09:48:48:165,0.000000,0.000000,1,-121.14,-121.14,0,0,
05/14/2026,09:48:48:410,0.000000,0.000000,1,-125.77,-125.77,0,0,
05/14/2026,09:48:48:662,0.000000,0.000000,1,-121.94,-121.94,0,0,
05/14/2026,09:48:48:902,0.000000,0.000000,1,-122.9,-122.9,0,0,
05/14/2026,09:48:49:257,0.000000,0.000000,1,-123.98,-123.98,0,0,
05/14/2026,09:48:49:402,0.000000,0.000000,1,-123.12,-123.12,0,0,
05/14/2026,09:48:49:643,0.000000,0.000000,1,-122.27,-122.27,0,0,
05/14/2026,09:48:49:871,0.000000,0.000000,1,-121.79,-121.79,0,0,
05/14/2026,09:48:50:114,0.000000,0.000000,1,-125.85,-125.85,0,0,
05/14/2026,09:48:50:359,0.000000,0.000000,1,-124.01,-124.01,0,0,
05/14/2026,09:48:50:603,0.000000,0.000000,1,-124.67,-124.67,0,0,
05/14/2026,09:48:50:858,0.000000,0.000000,1,-123.3,-123.3,0,0,
05/14/2026,09:48:51:105,0.000000,0.000000,1,-120.15,-120.15,0,0,
05/14/2026,09:48:51:362,0.000000,0.000000,1,-124.21,-124.21,0,0,
05/14/2026,09:48:51:626,0.000000,0.000000,1,-123.2,-123.2,0,0,
05/14/2026,09:48:51:820,0.000000,0.000000,1,-124.13,-124.13,0,0,
05/14/2026,09:48:52:079,0.000000,0.000000,1,-124.52,-124.52,0,0,
05/14/2026,09:48:52:309,0.000000,0.000000,1,-123.41,-123.41,0,0,
05/14/2026,09:48:52:561,0.000000,0.000000,1,-124.52,-124.52,0,0,
05/14/2026,09:48:52:797,0.000000,0.000000,1,-122.03,-122.03,0,0,
05/14/2026,09:48:53:042,0.000000,0.000000,1,-123.04,-123.04,0,0,
