Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:33:20:202,0.000000,0.000000,1,-109.21,-109.21,0,0,
05/14/2026,10:33:20:236,0.000000,0.000000,1,-108.08,-108.08,0,0,
05/14/2026,10:33:20:257,0.000000,0.000000,1,-108.18,-108.18,0,0,
05/14/2026,10:33:20:285,0.000000,0.000000,2,-111.46,-111.46,0,0,
05/14/2026,10:33:20:314,0.000000,0.000000,1,-108.01,-108.01,0,0,
05/14/2026,10:33:20:339,0.000000,0.000000,3,-103.68,-103.68,0,0,
05/14/2026,10:33:20:374,0.000000,0.000000,2,-109.52,-109.52,0,0,
05/14/2026,10:33:20:397,0.000000,0.000000,1,-111.24,-111.24,0,0,
05/14/2026,10:33:20:424,0.000000,0.000000,4,-105.96,-105.96,0,0,
05/14/2026,10:33:20:455,0.000000,0.000000,3,-96.71,-96.71,0,0,
05/14/2026,10:33:20:501,0.000000,0.000000,2,-105.8,-105.8,0,0,
05/14/2026,10:33:20:546,0.000000,0.000000,1,-110.41,-110.41,0,0,
05/14/2026,10:33:20:593,0.000000,0.000000,4,-107.67,-107.67,0,0,
05/14/2026,10:33:20:640,0.000000,0.000000,3,-99.91,-99.91,0,0,
05/14/2026,10:33:20:727,0.000000,0.000000,2,-112.41,-112.41,0,0,
05/14/2026,10:33:20:788,0.000000,0.000000,1,-109.54,-109.54,0,0,
05/14/2026,10:33:20:849,0.000000,0.000000,4,-109.35,-109.35,0,0,
05/14/2026,10:33:20:932,0.000000,0.000000,3,-99.87,-99.87,0,0,
05/14/2026,10:33:21:006,0.000000,0.000000,2,-109,-109,0,0,
05/14/2026,10:33:21:073,0.000000,0.000000,1,-108.9,-108.9,0,0,
05/14/2026,10:33:21:135,0.000000,0.000000,4,-112.03,-112.03,0,0,
05/14/2026,10:33:21:218,0.000000,0.000000,3,-98.71,-98.71,0,0,
05/14/2026,10:33:21:302,0.000000,0.000000,2,-107.39,-107.39,0,0,
05/14/2026,10:33:21:359,0.000000,0.000000,1,-110.58,-110.58,0,0,
05/14/2026,10:33:21:423,0.000000,0.000000,4,-111.96,-111.96,0,0,
05/14/2026,10:33:21:507,0.000000,0.000000,3,-102.23,-102.23,0,0,
05/14/2026,10:33:21:572,0.000000,0.000000,2,-115.72,-115.72,0,0,
05/14/2026,10:33:21:625,0.000000,0.000000,1,-115.06,-115.06,0,0,
05/14/2026,10:33:21:689,0.000000,0.000000,4,-109.12,-109.12,0,0,
05/14/2026,10:33:21:770,0.000000,0.000000,3,-104.47,-104.47,0,0,
05/14/2026,10:33:21:838,0.000000,0.000000,2,-117.94,-117.94,0,0,
05/14/2026,10:33:21:893,0.000000,0.000000,1,-120.64,-120.64,0,0,
05/14/2026,10:33:21:945,0.000000,0.000000,4,-119.83,-119.83,0,0,
05/14/2026,10:33:22:092,0.000000,0.000000,3,-107.02,-107.02,0,0,
05/14/2026,10:33:22:146,0.000000,0.000000,2,-123.95,-123.95,0,0,
05/14/2026,10:33:22:185,0.000000,0.000000,1,-119.74,-119.74,0,0,
05/14/2026,10:33:22:195,0.000000,0.000000,4,-119.53,-119.53,0,0,
05/14/2026,10:33:22:297,0.000000,0.000000,3,-102.82,-102.82,0,0,
05/14/2026,10:33:22:364,0.000000,0.000000,2,-117.01,-117.01,0,0,
05/14/2026,10:33:22:382,0.000000,0.000000,1,-116.11,-116.11,0,0,
05/14/2026,10:33:22:443,0.000000,0.000000,4,-116.18,-116.18,0,0,
05/14/2026,10:33:22:504,0.000000,0.000000,3,-99.05,-99.05,0,0,
05/14/2026,10:33:22:572,0.000000,0.000000,2,-115.45,-115.45,0,0,
05/14/2026,10:33:22:628,0.000000,0.000000,1,-115.99,-115.99,0,0,
05/14/2026,10:33:22:695,0.000000,0.000000,4,-111.74,-111.74,0,0,
05/14/2026,10:33:22:770,0.000000,0.000000,3,-104.11,-104.11,0,0,
05/14/2026,10:33:22:849,0.000000,0.000000,2,-111.5,-111.5,0,0,
05/14/2026,10:33:22:917,0.000000,0.000000,1,-107.59,-107.59,0,0,
05/14/2026,10:33:22:978,0.000000,0.000000,4,-109.11,-109.11,0,0,
05/14/2026,10:33:23:061,0.000000,0.000000,3,-98.45,-98.45,0,0,
05/14/2026,10:33:23:126,0.000000,0.000000,2,-124.26,-124.26,0,0,
05/14/2026,10:33:23:178,0.000000,0.000000,1,-121.57,-121.57,0,0,
05/14/2026,10:33:23:230,0.000000,0.000000,4,-120.75,-120.75,0,0,
05/14/2026,10:33:23:307,0.000000,0.000000,3,-100.14,-100.14,0,0,
05/14/2026,10:33:23:371,0.000000,0.000000,2,-122.21,-122.21,0,0,
05/14/2026,10:33:23:429,0.000000,0.000000,1,-123.46,-123.46,0,0,
05/14/2026,10:33:23:477,0.000000,0.000000,4,-121.63,-121.63,0,0,
05/14/2026,10:33:23:547,0.000000,0.000000,3,-101.38,-101.38,0,0,
05/14/2026,10:33:23:617,0.000000,0.000000,2,-120.94,-120.94,0,0,
05/14/2026,10:33:23:671,0.000000,0.000000,1,-122.55,-122.55,0,0,
05/14/2026,10:33:23:730,0.000000,0.000000,4,-120.21,-120.21,0,0,
05/14/2026,10:33:23:792,0.000000,0.000000,3,-97.74,-97.74,0,0,
05/14/2026,10:33:23:887,0.000000,0.000000,2,-125.19,-125.19,0,0,
05/14/2026,10:33:23:966,0.000000,0.000000,1,-123.89,-123.89,0,0,
05/14/2026,10:33:23:977,0.000000,0.000000,4,-121.72,-121.72,0,0,
05/14/2026,10:33:24:091,0.000000,0.000000,3,-101.35,-101.35,0,0,
05/14/2026,10:33:24:157,0.000000,0.000000,2,-121.98,-121.98,0,0,
05/14/2026,10:33:24:182,0.000000,0.000000,1,-121.02,-121.02,0,0,
05/14/2026,10:33:24:217,0.000000,0.000000,4,-120.75,-120.75,0,0,
05/14/2026,10:33:24:282,0.000000,0.000000,3,-102.38,-102.38,0,0,
05/14/2026,10:33:24:352,0.000000,0.000000,2,-121.71,-121.71,0,0,
05/14/2026,10:33:24:404,0.000000,0.000000,1,-122.72,-122.72,0,0,
05/14/2026,10:33:24:456,0.000000,0.000000,4,-121.08,-121.08,0,0,
05/14/2026,10:33:24:528,0.000000,0.000000,3,-101.96,-101.96,0,0,
05/14/2026,10:33:24:602,0.000000,0.000000,2,-123.22,-123.22,0,0,
05/14/2026,10:33:24:649,0.000000,0.000000,1,-122.98,-122.98,0,0,
05/14/2026,10:33:24:701,0.000000,0.000000,4,-120.06,-120.06,0,0,
05/14/2026,10:33:24:771,0.000000,0.000000,3,-102.84,-102.84,0,0,
05/14/2026,10:33:24:842,0.000000,0.000000,2,-120.01,-120.01,0,0,
05/14/2026,10:33:24:898,0.000000,0.000000,1,-123.78,-123.78,0,0,
05/14/2026,10:33:24:946,0.000000,0.000000,4,-120.03,-120.03,0,0,
05/14/2026,10:33:25:018,0.000000,0.000000,3,-99.43,-99.43,0,0,
05/14/2026,10:33:25:087,0.000000,0.000000,2,-122.1,-122.1,0,0,
05/14/2026,10:33:25:137,0.000000,0.000000,1,-122.93,-122.93,0,0,
05/14/2026,10:33:25:191,0.000000,0.000000,4,-122.77,-122.77,0,0,
05/14/2026,10:33:25:261,0.000000,0.000000,3,-98.92,-98.92,0,0,
05/14/2026,10:33:25:335,0.000000,0.000000,2,-120.69,-120.69,0,0,
05/14/2026,10:33:25:383,0.000000,0.000000,1,-121.59,-121.59,0,0,
05/14/2026,10:33:25:440,0.000000,0.000000,4,-119.37,-119.37,0,0,
05/14/2026,10:33:25:533,0.000000,0.000000,3,-97.8,-97.8,0,0,
05/14/2026,10:33:25:610,0.000000,0.000000,2,-122.89,-122.89,0,0,
