Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:00:47:396,0.000000,0.000000,1,-124.98,-124.98,0,0,
05/14/2026,10:00:47:434,0.000000,0.000000,2,-86.27,-86.27,0,0,
05/14/2026,10:00:47:522,0.000000,0.000000,3,-116.99,-116.99,0,0,
05/14/2026,10:00:47:570,0.000000,0.000000,4,-124.81,-124.81,0,0,
05/14/2026,10:00:47:571,0.000000,0.000000,1,-124.68,-124.68,0,0,
05/14/2026,10:00:47:620,0.000000,0.000000,2,-85.68,-85.68,0,0,
05/14/2026,10:00:47:708,0.000000,0.000000,3,-91.05,-91.05,0,0,
05/14/2026,10:00:47:761,0.000000,0.000000,4,-124.54,-124.54,0,0,
05/14/2026,10:00:47:764,0.000000,0.000000,1,-124.88,-124.88,0,0,
05/14/2026,10:00:47:867,0.000000,0.000000,2,-88.72,-88.72,0,0,
05/14/2026,10:00:47:921,0.000000,0.000000,3,-90.09,-90.09,0,0,
05/14/2026,10:00:47:998,0.000000,0.000000,4,-125.98,-125.98,0,0,
05/14/2026,10:00:48:013,0.000000,0.000000,1,-124.13,-124.13,0,0,
05/14/2026,10:00:48:079,0.000000,0.000000,2,-84.38,-84.38,0,0,
05/14/2026,10:00:48:167,0.000000,0.000000,3,-86.64,-86.64,0,0,
05/14/2026,10:00:48:235,0.000000,0.000000,4,-125.42,-125.42,0,0,
05/14/2026,10:00:48:254,0.000000,0.000000,1,-126.58,-126.58,0,0,
05/14/2026,10:00:48:328,0.000000,0.000000,2,-91.67,-91.67,0,0,
05/14/2026,10:00:48:408,0.000000,0.000000,3,-84.34,-84.34,0,0,
05/14/2026,10:00:48:484,0.000000,0.000000,4,-125.14,-125.14,0,0,
05/14/2026,10:00:48:496,0.000000,0.000000,1,-125.21,-125.21,0,0,
05/14/2026,10:00:48:567,0.000000,0.000000,2,-89.85,-89.85,0,0,
05/14/2026,10:00:48:652,0.000000,0.000000,3,-84.91,-84.91,0,0,
05/14/2026,10:00:48:722,0.000000,0.000000,4,-126.03,-126.03,0,0,
05/14/2026,10:00:48:742,0.000000,0.000000,1,-126.72,-126.72,0,0,
05/14/2026,10:00:48:811,0.000000,0.000000,2,-91.9,-91.9,0,0,
05/14/2026,10:00:48:897,0.000000,0.000000,3,-92.18,-92.18,0,0,
05/14/2026,10:00:48:985,0.000000,0.000000,4,-124.41,-124.41,0,0,
05/14/2026,10:00:48:999,0.000000,0.000000,1,-124.87,-124.87,0,0,
05/14/2026,10:00:49:054,0.000000,0.000000,2,-84.33,-84.33,0,0,
05/14/2026,10:00:49:142,0.000000,0.000000,3,-87.08,-87.08,0,0,
05/14/2026,10:00:49:215,0.000000,0.000000,4,-124.76,-124.76,0,0,
05/14/2026,10:00:49:229,0.000000,0.000000,1,-126.27,-126.27,0,0,
05/14/2026,10:00:49:331,0.000000,0.000000,2,-93.98,-93.98,0,0,
05/14/2026,10:00:49:413,0.000000,0.000000,3,-114.07,-114.07,0,0,
05/14/2026,10:00:49:474,0.000000,0.000000,4,-125.35,-125.35,0,0,
05/14/2026,10:00:49:485,0.000000,0.000000,1,-124.55,-124.55,0,0,
05/14/2026,10:00:49:592,0.000000,0.000000,2,-83.1,-83.1,0,0,
05/14/2026,10:00:49:627,0.000000,0.000000,3,-104.56,-104.56,0,0,
05/14/2026,10:00:49:700,0.000000,0.000000,4,-126.31,-126.31,0,0,
05/14/2026,10:00:49:715,0.000000,0.000000,1,-123.4,-123.4,0,0,
05/14/2026,10:00:49:786,0.000000,0.000000,2,-87.5,-87.5,0,0,
05/14/2026,10:00:49:871,0.000000,0.000000,3,-98.3,-98.3,0,0,
05/14/2026,10:00:49:944,0.000000,0.000000,4,-126.9,-126.9,0,0,
05/14/2026,10:00:49:962,0.000000,0.000000,1,-124.2,-124.2,0,0,
05/14/2026,10:00:50:028,0.000000,0.000000,2,-82.85,-82.85,0,0,
05/14/2026,10:00:50:115,0.000000,0.000000,3,-101.53,-101.53,0,0,
05/14/2026,10:00:50:185,0.000000,0.000000,4,-125.91,-125.91,0,0,
05/14/2026,10:00:50:204,0.000000,0.000000,1,-125.91,-125.91,0,0,
05/14/2026,10:00:50:273,0.000000,0.000000,2,-86.04,-86.04,0,0,
05/14/2026,10:00:50:358,0.000000,0.000000,3,-112.3,-112.3,0,0,
05/14/2026,10:00:50:431,0.000000,0.000000,4,-125.5,-125.5,0,0,
05/14/2026,10:00:50:450,0.000000,0.000000,1,-124.54,-124.54,0,0,
05/14/2026,10:00:50:520,0.000000,0.000000,2,-87.62,-87.62,0,0,
05/14/2026,10:00:50:612,0.000000,0.000000,3,-82.55,-82.55,0,0,
05/14/2026,10:00:50:673,0.000000,0.000000,4,-126.06,-126.06,0,0,
05/14/2026,10:00:50:695,0.000000,0.000000,1,-124.96,-124.96,0,0,
05/14/2026,10:00:50:765,0.000000,0.000000,2,-81.32,-81.32,0,0,
05/14/2026,10:00:50:869,0.000000,0.000000,3,-116.84,-116.84,0,0,
05/14/2026,10:00:50:923,0.000000,0.000000,4,-126.06,-126.06,0,0,
05/14/2026,10:00:50:934,0.000000,0.000000,1,-125.22,-125.22,0,0,
05/14/2026,10:00:51:008,0.000000,0.000000,2,-86.99,-86.99,0,0,
05/14/2026,10:00:51:102,0.000000,0.000000,3,-93.61,-93.61,0,0,
05/14/2026,10:00:51:162,0.000000,0.000000,4,-126.34,-126.34,0,0,
05/14/2026,10:00:51:178,0.000000,0.000000,1,-123.99,-123.99,0,0,
05/14/2026,10:00:51:250,0.000000,0.000000,2,-93.03,-93.03,0,0,
05/14/2026,10:00:51:337,0.000000,0.000000,3,-93.53,-93.53,0,0,
05/14/2026,10:00:51:408,0.000000,0.000000,4,-124.03,-124.03,0,0,
05/14/2026,10:00:51:472,0.000000,0.000000,1,-124.48,-124.48,0,0,
05/14/2026,10:00:51:490,0.000000,0.000000,2,-88.9,-88.9,0,0,
05/14/2026,10:00:51:619,0.000000,0.000000,3,-85.45,-85.45,0,0,
05/14/2026,10:00:51:698,0.000000,0.000000,4,-125.43,-125.43,0,0,
05/14/2026,10:00:51:700,0.000000,0.000000,1,-123.51,-123.51,0,0,
05/14/2026,10:00:51:736,0.000000,0.000000,2,-94.1,-94.1,0,0,
05/14/2026,10:00:51:821,0.000000,0.000000,3,-81.17,-81.17,0,0,
05/14/2026,10:00:51:892,0.000000,0.000000,4,-124.17,-124.17,0,0,
05/14/2026,10:00:51:907,0.000000,0.000000,1,-124.99,-124.99,0,0,
05/14/2026,10:00:51:979,0.000000,0.000000,2,-92.98,-92.98,0,0,
05/14/2026,10:00:52:064,0.000000,0.000000,3,-84.51,-84.51,0,0,
05/14/2026,10:00:52:134,0.000000,0.000000,4,-126.3,-126.3,0,0,
05/14/2026,10:00:52:153,0.000000,0.000000,1,-126.53,-126.53,0,0,
05/14/2026,10:00:52:222,0.000000,0.000000,2,-84.47,-84.47,0,0,
05/14/2026,10:00:52:308,0.000000,0.000000,3,-84.31,-84.31,0,0,
05/14/2026,10:00:52:381,0.000000,0.000000,4,-124.24,-124.24,0,0,
05/14/2026,10:00:52:398,0.000000,0.000000,1,-125.51,-125.51,0,0,
05/14/2026,10:00:52:467,0.000000,0.000000,2,-88.15,-88.15,0,0,
05/14/2026,10:00:52:556,0.000000,0.000000,3,-87.22,-87.22,0,0,
05/14/2026,10:00:52:624,0.000000,0.000000,4,-125.38,-125.38,0,0,
05/14/2026,10:00:53:035,0.000000,0.000000,1,-123.93,-123.93,0,0,
05/14/2026,10:00:53:050,0.000000,0.000000,2,-96.76,-96.76,0,0,
05/14/2026,10:00:53:064,0.000000,0.000000,3,-88.39,-88.39,0,0,
05/14/2026,10:00:53:075,0.000000,0.000000,4,-125.56,-125.56,0,0,
05/14/2026,10:00:53:079,0.000000,0.000000,1,-124.92,-124.92,0,0,
05/14/2026,10:00:53:088,0.000000,0.000000,2,-96.23,-96.23,0,0,
05/14/2026,10:00:53:102,0.000000,0.000000,3,-93.04,-93.04,0,0,
05/14/2026,10:00:53:119,0.000000,0.000000,4,-125.15,-125.15,0,0,
05/14/2026,10:00:53:126,0.000000,0.000000,1,-125.78,-125.78,0,0,
05/14/2026,10:00:53:197,0.000000,0.000000,2,-87.52,-87.52,0,0,
05/14/2026,10:00:53:292,0.000000,0.000000,3,-122.76,-122.76,0,0,
05/14/2026,10:00:53:369,0.000000,0.000000,4,-123.72,-123.72,0,0,
05/14/2026,10:00:53:379,0.000000,0.000000,1,-126.29,-126.29,0,0,
05/14/2026,10:00:53:449,0.000000,0.000000,2,-92.35,-92.35,0,0,
05/14/2026,10:00:53:588,0.000000,0.000000,3,-86.55,-86.55,0,0,
05/14/2026,10:00:53:618,0.000000,0.000000,4,-125.16,-125.16,0,0,
05/14/2026,10:00:53:632,0.000000,0.000000,1,-125.66,-125.66,0,0,
05/14/2026,10:00:53:706,0.000000,0.000000,2,-89.64,-89.64,0,0,
05/14/2026,10:00:53:792,0.000000,0.000000,3,-124,-124,0,0,
05/14/2026,10:00:53:859,0.000000,0.000000,4,-125.97,-125.97,0,0,
05/14/2026,10:00:53:877,0.000000,0.000000,1,-125.61,-125.61,0,0,
05/14/2026,10:00:53:947,0.000000,0.000000,2,-81.7,-81.7,0,0,
05/14/2026,10:00:54:033,0.000000,0.000000,3,-120.86,-120.86,0,0,
05/14/2026,10:00:54:104,0.000000,0.000000,4,-117.23,-117.23,0,0,
05/14/2026,10:00:54:122,0.000000,0.000000,1,-125.74,-125.74,0,0,
05/14/2026,10:00:54:190,0.000000,0.000000,2,-87.34,-87.34,0,0,
05/14/2026,10:00:54:297,0.000000,0.000000,3,-124.79,-124.79,0,0,
05/14/2026,10:00:54:347,0.000000,0.000000,4,-88.81,-88.81,0,0,
05/14/2026,10:00:54:366,0.000000,0.000000,1,-125.81,-125.81,0,0,
05/14/2026,10:00:54:433,0.000000,0.000000,2,-95.83,-95.83,0,0,
05/14/2026,10:00:54:523,0.000000,0.000000,3,-93.78,-93.78,0,0,
05/14/2026,10:00:54:591,0.000000,0.000000,4,-85.12,-85.12,0,0,
05/14/2026,10:00:54:609,0.000000,0.000000,1,-125.27,-125.27,0,0,
05/14/2026,10:00:54:679,0.000000,0.000000,2,-100.39,-100.39,0,0,
05/14/2026,10:00:54:765,0.000000,0.000000,3,-118.29,-118.29,0,0,
05/14/2026,10:00:54:835,0.000000,0.000000,4,-87.39,-87.39,0,0,
05/14/2026,10:00:54:855,0.000000,0.000000,1,-124.48,-124.48,0,0,
05/14/2026,10:00:54:922,0.000000,0.000000,2,-81.44,-81.44,0,0,
05/14/2026,10:00:55:020,0.000000,0.000000,3,-83.07,-83.07,0,0,
05/14/2026,10:00:55:128,0.000000,0.000000,4,-80.82,-80.82,0,0,
05/14/2026,10:00:55:131,0.000000,0.000000,1,-123.59,-123.59,0,0,
05/14/2026,10:00:55:206,0.000000,0.000000,2,-87.15,-87.15,0,0,
05/14/2026,10:00:55:283,0.000000,0.000000,3,-105.06,-105.06,0,0,
05/14/2026,10:00:55:323,0.000000,0.000000,4,-91.5,-91.5,0,0,
05/14/2026,10:00:55:340,0.000000,0.000000,1,-125.67,-125.67,0,0,
05/14/2026,10:00:55:408,0.000000,0.000000,2,-87.87,-87.87,0,0,
05/14/2026,10:00:55:496,0.000000,0.000000,3,-84.42,-84.42,0,0,
05/14/2026,10:00:55:569,0.000000,0.000000,4,-115.43,-115.43,0,0,
05/14/2026,10:00:55:582,0.000000,0.000000,1,-125.66,-125.66,0,0,
05/14/2026,10:00:55:654,0.000000,0.000000,2,-92.64,-92.64,0,0,
05/14/2026,10:00:55:738,0.000000,0.000000,3,-91.4,-91.4,0,0,
05/14/2026,10:00:55:810,0.000000,0.000000,4,-84.51,-84.51,0,0,
05/14/2026,10:00:55:825,0.000000,0.000000,1,-124.59,-124.59,0,0,
05/14/2026,10:00:55:895,0.000000,0.000000,2,-92.37,-92.37,0,0,
05/14/2026,10:00:55:982,0.000000,0.000000,3,-122.69,-122.69,0,0,
05/14/2026,10:00:56:055,0.000000,0.000000,4,-89.76,-89.76,0,0,
05/14/2026,10:00:56:077,0.000000,0.000000,1,-124.23,-124.23,0,0,
05/14/2026,10:00:56:141,0.000000,0.000000,2,-99.2,-99.2,0,0,
05/14/2026,10:00:56:234,0.000000,0.000000,3,-86.98,-86.98,0,0,
05/14/2026,10:00:56:295,0.000000,0.000000,4,-86.81,-86.81,0,0,
05/14/2026,10:00:56:315,0.000000,0.000000,1,-124.38,-124.38,0,0,
05/14/2026,10:00:56:383,0.000000,0.000000,2,-89.5,-89.5,0,0,
05/14/2026,10:00:56:471,0.000000,0.000000,3,-86.1,-86.1,0,0,
05/14/2026,10:00:56:542,0.000000,0.000000,4,-122.22,-122.22,0,0,
05/14/2026,10:00:56:558,0.000000,0.000000,1,-124.79,-124.79,0,0,
05/14/2026,10:00:56:628,0.000000,0.000000,2,-90.87,-90.87,0,0,
