Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
05/14/2026,10:06:25:876,0.000000,0.000000,2,-119.88,-119.88,0,0,
05/14/2026,10:06:25:928,0.000000,0.000000,3,-120.37,-120.37,0,0,
05/14/2026,10:06:25:980,0.000000,0.000000,4,-120.82,-120.82,0,0,
05/14/2026,10:06:26:034,0.000000,0.000000,5,-92.95,-92.95,0,0,
05/14/2026,10:06:26:120,0.000000,0.000000,2,-119.48,-119.48,0,0,
05/14/2026,10:06:26:174,0.000000,0.000000,3,-122.28,-122.28,0,0,
05/14/2026,10:06:26:227,0.000000,0.000000,4,-121.28,-121.28,0,0,
05/14/2026,10:06:26:278,0.000000,0.000000,5,-93.66,-93.66,0,0,
05/14/2026,10:06:26:365,0.000000,0.000000,2,-118.79,-118.79,0,0,
05/14/2026,10:06:26:417,0.000000,0.000000,3,-121.13,-121.13,0,0,
05/14/2026,10:06:26:471,0.000000,0.000000,4,-119.97,-119.97,0,0,
05/14/2026,10:06:26:538,0.000000,0.000000,5,-96.91,-96.91,0,0,
05/14/2026,10:06:26:642,0.000000,0.000000,2,-120.77,-120.77,0,0,
05/14/2026,10:06:26:716,0.000000,0.000000,3,-122.23,-122.23,0,0,
05/14/2026,10:06:26:720,0.000000,0.000000,4,-122.43,-122.43,0,0,
05/14/2026,10:06:26:794,0.000000,0.000000,5,-95.5,-95.5,0,0,
05/14/2026,10:06:26:855,0.000000,0.000000,2,-121.73,-121.73,0,0,
05/14/2026,10:06:26:908,0.000000,0.000000,3,-120.35,-120.35,0,0,
05/14/2026,10:06:26:959,0.000000,0.000000,4,-120.43,-120.43,0,0,
05/14/2026,10:06:27:011,0.000000,0.000000,5,-93.12,-93.12,0,0,
05/14/2026,10:06:27:101,0.000000,0.000000,2,-118.02,-118.02,0,0,
05/14/2026,10:06:27:152,0.000000,0.000000,3,-119.95,-119.95,0,0,
05/14/2026,10:06:27:206,0.000000,0.000000,4,-121.23,-121.23,0,0,
05/14/2026,10:06:27:256,0.000000,0.000000,5,-95.72,-95.72,0,0,
05/14/2026,10:06:27:344,0.000000,0.000000,2,-120.23,-120.23,0,0,
05/14/2026,10:06:27:397,0.000000,0.000000,3,-120.67,-120.67,0,0,
05/14/2026,10:06:27:450,0.000000,0.000000,4,-121.13,-121.13,0,0,
05/14/2026,10:06:27:500,0.000000,0.000000,5,-97.06,-97.06,0,0,
05/14/2026,10:06:27:589,0.000000,0.000000,2,-120.3,-120.3,0,0,
05/14/2026,10:06:27:641,0.000000,0.000000,3,-120.86,-120.86,0,0,
05/14/2026,10:06:27:695,0.000000,0.000000,4,-120.03,-120.03,0,0,
05/14/2026,10:06:27:749,0.000000,0.000000,5,-92.92,-92.92,0,0,
05/14/2026,10:06:27:836,0.000000,0.000000,2,-118.81,-118.81,0,0,
05/14/2026,10:06:27:885,0.000000,0.000000,3,-121.02,-121.02,0,0,
05/14/2026,10:06:27:941,0.000000,0.000000,4,-120.26,-120.26,0,0,
05/14/2026,10:06:27:993,0.000000,0.000000,5,-93.55,-93.55,0,0,
05/14/2026,10:06:28:084,0.000000,0.000000,2,-118.19,-118.19,0,0,
05/14/2026,10:06:28:131,0.000000,0.000000,3,-121.77,-121.77,0,0,
05/14/2026,10:06:28:184,0.000000,0.000000,4,-118.67,-118.67,0,0,
05/14/2026,10:06:28:237,0.000000,0.000000,5,-93.35,-93.35,0,0,
05/14/2026,10:06:28:323,0.000000,0.000000,2,-120.8,-120.8,0,0,
05/14/2026,10:06:28:379,0.000000,0.000000,3,-121.58,-121.58,0,0,
05/14/2026,10:06:28:431,0.000000,0.000000,4,-117.82,-117.82,0,0,
05/14/2026,10:06:28:508,0.000000,0.000000,5,-93.81,-93.81,0,0,
05/14/2026,10:06:28:577,0.000000,0.000000,2,-120.06,-120.06,0,0,
05/14/2026,10:06:28:640,0.000000,0.000000,3,-118.89,-118.89,0,0,
05/14/2026,10:06:28:675,0.000000,0.000000,4,-119.19,-119.19,0,0,
05/14/2026,10:06:28:726,0.000000,0.000000,5,-93.55,-93.55,0,0,
05/14/2026,10:06:28:812,0.000000,0.000000,2,-118.98,-118.98,0,0,
05/14/2026,10:06:28:874,0.000000,0.000000,3,-118.48,-118.48,0,0,
05/14/2026,10:06:28:919,0.000000,0.000000,4,-120.87,-120.87,0,0,
05/14/2026,10:06:28:974,0.000000,0.000000,5,-92.96,-92.96,0,0,
05/14/2026,10:06:29:058,0.000000,0.000000,2,-121.75,-121.75,0,0,
05/14/2026,10:06:29:111,0.000000,0.000000,3,-119.45,-119.45,0,0,
05/14/2026,10:06:29:165,0.000000,0.000000,4,-118.81,-118.81,0,0,
05/14/2026,10:06:29:218,0.000000,0.000000,5,-92.95,-92.95,0,0,
05/14/2026,10:06:29:305,0.000000,0.000000,2,-117.76,-117.76,0,0,
05/14/2026,10:06:29:355,0.000000,0.000000,3,-120.15,-120.15,0,0,
05/14/2026,10:06:29:407,0.000000,0.000000,4,-118.73,-118.73,0,0,
05/14/2026,10:06:29:462,0.000000,0.000000,5,-94.12,-94.12,0,0,
05/14/2026,10:06:29:547,0.000000,0.000000,2,-118.44,-118.44,0,0,
05/14/2026,10:06:29:600,0.000000,0.000000,3,-119.11,-119.11,0,0,
05/14/2026,10:06:29:655,0.000000,0.000000,4,-122.83,-122.83,0,0,
05/14/2026,10:06:29:705,0.000000,0.000000,5,-93.09,-93.09,0,0,
05/14/2026,10:06:29:795,0.000000,0.000000,2,-119.11,-119.11,0,0,
05/14/2026,10:06:29:847,0.000000,0.000000,3,-117.71,-117.71,0,0,
05/14/2026,10:06:29:898,0.000000,0.000000,4,-120.34,-120.34,0,0,
05/14/2026,10:06:29:950,0.000000,0.000000,5,-92.04,-92.04,0,0,
05/14/2026,10:06:30:042,0.000000,0.000000,2,-116.69,-116.69,0,0,
05/14/2026,10:06:30:090,0.000000,0.000000,3,-119.65,-119.65,0,0,
05/14/2026,10:06:30:143,0.000000,0.000000,4,-119.95,-119.95,0,0,
05/14/2026,10:06:30:196,0.000000,0.000000,5,-93,-93,0,0,
05/14/2026,10:06:30:307,0.000000,0.000000,2,-120.63,-120.63,0,0,
05/14/2026,10:06:30:387,0.000000,0.000000,3,-120.35,-120.35,0,0,
05/14/2026,10:06:30:397,0.000000,0.000000,4,-119.97,-119.97,0,0,
05/14/2026,10:06:30:468,0.000000,0.000000,5,-99.72,-99.72,0,0,
05/14/2026,10:06:30:538,0.000000,0.000000,2,-118.96,-118.96,0,0,
05/14/2026,10:06:30:580,0.000000,0.000000,3,-120.69,-120.69,0,0,
05/14/2026,10:06:30:633,0.000000,0.000000,4,-119.3,-119.3,0,0,
05/14/2026,10:06:30:686,0.000000,0.000000,5,-93.43,-93.43,0,0,
05/14/2026,10:06:30:771,0.000000,0.000000,2,-119.19,-119.19,0,0,
05/14/2026,10:06:30:825,0.000000,0.000000,3,-120.11,-120.11,0,0,
05/14/2026,10:06:30:956,0.000000,0.000000,4,-119.05,-119.05,0,0,
05/14/2026,10:06:30:963,0.000000,0.000000,5,-96.99,-96.99,0,0,
05/14/2026,10:06:31:018,0.000000,0.000000,2,-117.61,-117.61,0,0,
05/14/2026,10:06:31:070,0.000000,0.000000,3,-118.61,-118.61,0,0,
05/14/2026,10:06:31:122,0.000000,0.000000,4,-117.79,-117.79,0,0,
05/14/2026,10:06:31:175,0.000000,0.000000,5,-106.74,-106.74,0,0,
05/14/2026,10:06:31:261,0.000000,0.000000,2,-120.05,-120.05,0,0,
05/14/2026,10:06:31:316,0.000000,0.000000,3,-119.63,-119.63,0,0,
05/14/2026,10:06:31:369,0.000000,0.000000,4,-119.48,-119.48,0,0,
05/14/2026,10:06:31:422,0.000000,0.000000,5,-93.79,-93.79,0,0,
05/14/2026,10:06:31:509,0.000000,0.000000,2,-118.5,-118.5,0,0,
05/14/2026,10:06:31:560,0.000000,0.000000,3,-120.98,-120.98,0,0,
05/14/2026,10:06:31:612,0.000000,0.000000,4,-121.04,-121.04,0,0,
05/14/2026,10:06:31:665,0.000000,0.000000,5,-98.64,-98.64,0,0,
05/14/2026,10:06:31:751,0.000000,0.000000,2,-121.95,-121.95,0,0,
05/14/2026,10:06:31:804,0.000000,0.000000,3,-118.64,-118.64,0,0,
05/14/2026,10:06:31:858,0.000000,0.000000,4,-118.03,-118.03,0,0,
05/14/2026,10:06:31:909,0.000000,0.000000,5,-103.16,-103.16,0,0,
05/14/2026,10:06:32:025,0.000000,0.000000,2,-118.85,-118.85,0,0,
05/14/2026,10:06:32:048,0.000000,0.000000,3,-118.13,-118.13,0,0,
05/14/2026,10:06:32:105,0.000000,0.000000,4,-119.72,-119.72,0,0,
05/14/2026,10:06:32:155,0.000000,0.000000,5,-99.73,-99.73,0,0,
05/14/2026,10:06:32:243,0.000000,0.000000,2,-117.07,-117.07,0,0,
05/14/2026,10:06:32:323,0.000000,0.000000,3,-119.38,-119.38,0,0,
05/14/2026,10:06:32:398,0.000000,0.000000,4,-118.35,-118.35,0,0,
05/14/2026,10:06:32:402,0.000000,0.000000,5,-104.43,-104.43,0,0,
05/14/2026,10:06:32:523,0.000000,0.000000,2,-116.86,-116.86,0,0,
05/14/2026,10:06:32:571,0.000000,0.000000,3,-120.71,-120.71,0,0,
05/14/2026,10:06:32:590,0.000000,0.000000,4,-118.51,-118.51,0,0,
05/14/2026,10:06:32:646,0.000000,0.000000,5,-102.22,-102.22,0,0,
05/14/2026,10:06:32:732,0.000000,0.000000,2,-118.14,-118.14,0,0,
05/14/2026,10:06:32:786,0.000000,0.000000,3,-119.05,-119.05,0,0,
05/14/2026,10:06:32:838,0.000000,0.000000,4,-120.82,-120.82,0,0,
05/14/2026,10:06:32:890,0.000000,0.000000,5,-99.84,-99.84,0,0,
05/14/2026,10:06:32:981,0.000000,0.000000,2,-117.8,-117.8,0,0,
