Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:28:53:012,43.433987,-75.838096,1,-114.47,-114.47,0,0,
06/10/2026,11:28:53:051,43.433987,-75.838096,2,-116.35,-116.35,0,0,
06/10/2026,11:28:53:153,43.433987,-75.838096,3,-73.62,-73.62,0,0,
06/10/2026,11:28:53:201,43.433987,-75.838096,4,-113.36,-113.36,0,0,
06/10/2026,11:28:53:225,43.433987,-75.838096,1,-115.76,-115.76,0,0,
06/10/2026,11:28:53:288,43.433987,-75.838096,2,-116.7,-116.7,0,0,
06/10/2026,11:28:53:392,43.433987,-75.838096,3,-77.65,-77.65,0,0,
06/10/2026,11:28:53:449,43.433987,-75.838096,4,-114.6,-114.6,0,0,
06/10/2026,11:28:53:470,43.433987,-75.838096,1,-116.57,-116.57,0,0,
06/10/2026,11:28:53:520,43.433987,-75.838096,2,-114.91,-114.91,0,0,
06/10/2026,11:28:53:618,43.433987,-75.838096,3,-85.52,-85.52,0,0,
06/10/2026,11:28:53:680,43.433987,-75.838096,4,-112.81,-112.81,0,0,
06/10/2026,11:28:53:702,43.433987,-75.838096,1,-114.03,-114.03,0,0,
06/10/2026,11:28:53:755,43.433987,-75.838096,2,-116.27,-116.27,0,0,
06/10/2026,11:28:53:848,43.433987,-75.838096,3,-84.92,-84.92,0,0,
06/10/2026,11:28:53:909,43.433987,-75.838096,4,-113.01,-113.01,0,0,
06/10/2026,11:28:53:933,43.433987,-75.838096,1,-115.72,-115.72,0,0,
06/10/2026,11:28:53:985,43.433987,-75.838096,2,-113.76,-113.76,0,0,
06/10/2026,11:28:54:105,43.433987,-75.838096,3,-82.16,-82.16,0,0,
06/10/2026,11:28:54:155,43.433987,-75.838096,4,-117.48,-117.48,0,0,
06/10/2026,11:28:54:159,43.433987,-75.838096,1,-113.95,-113.95,0,0,
06/10/2026,11:28:54:203,43.433987,-75.838096,2,-111.07,-111.07,0,0,
06/10/2026,11:28:54:301,43.433987,-75.838096,3,-80.98,-80.98,0,0,
06/10/2026,11:28:54:360,43.433987,-75.838096,4,-119.88,-119.88,0,0,
06/10/2026,11:28:54:364,43.433987,-75.838096,1,-114.46,-114.46,0,0,
06/10/2026,11:28:54:415,43.433987,-75.838096,2,-110.76,-110.76,0,0,
06/10/2026,11:28:54:502,43.433987,-75.838096,3,-77.65,-77.65,0,0,
06/10/2026,11:28:54:552,43.433987,-75.838096,4,-117.76,-117.76,0,0,
06/10/2026,11:28:54:584,43.433987,-75.838096,1,-114.64,-114.64,0,0,
06/10/2026,11:28:54:619,43.433987,-75.838096,2,-109.6,-109.6,0,0,
06/10/2026,11:28:54:715,43.433987,-75.838096,3,-77.77,-77.77,0,0,
06/10/2026,11:28:54:776,43.433987,-75.838096,4,-116.11,-116.11,0,0,
06/10/2026,11:28:54:781,43.433987,-75.838096,1,-113.97,-113.97,0,0,
06/10/2026,11:28:54:829,43.433987,-75.838096,2,-110.68,-110.68,0,0,
06/10/2026,11:28:54:924,43.433987,-75.838096,3,-76.81,-76.81,0,0,
06/10/2026,11:28:54:969,43.433987,-75.838096,4,-112.83,-112.83,0,0,
06/10/2026,11:28:54:990,43.433987,-75.838096,1,-113.13,-113.13,0,0,
06/10/2026,11:28:55:038,43.433987,-75.838096,2,-111.14,-111.14,0,0,
06/10/2026,11:28:55:128,43.433987,-75.838096,3,-78.43,-78.43,0,0,
06/10/2026,11:28:55:179,43.433987,-75.838096,4,-114.57,-114.57,0,0,
06/10/2026,11:28:55:196,43.433987,-75.838096,1,-110.98,-110.98,0,0,
06/10/2026,11:28:55:257,43.433987,-75.838096,2,-110.84,-110.84,0,0,
06/10/2026,11:28:55:336,43.433987,-75.838096,3,-76.78,-76.78,0,0,
06/10/2026,11:28:55:392,43.433987,-75.838096,4,-114.51,-114.51,0,0,
06/10/2026,11:28:55:408,43.433987,-75.838096,1,-111.86,-111.86,0,0,
06/10/2026,11:28:55:459,43.433987,-75.838096,2,-111.94,-111.94,0,0,
06/10/2026,11:28:55:550,43.433987,-75.838096,3,-77.14,-77.14,0,0,
06/10/2026,11:28:55:602,43.433987,-75.838096,4,-115.11,-115.11,0,0,
06/10/2026,11:28:55:623,43.433987,-75.838096,1,-114.84,-114.84,0,0,
06/10/2026,11:28:55:678,43.433987,-75.838096,2,-112.12,-112.12,0,0,
06/10/2026,11:28:55:754,43.433987,-75.838096,3,-79.04,-79.04,0,0,
06/10/2026,11:28:55:818,43.433987,-75.838096,4,-115.16,-115.16,0,0,
06/10/2026,11:28:55:867,43.433987,-75.838096,1,-115.75,-115.75,0,0,
06/10/2026,11:28:55:879,43.433987,-75.838096,2,-112.54,-112.54,0,0,
06/10/2026,11:28:55:980,43.433987,-75.838096,3,-83.84,-83.84,0,0,
06/10/2026,11:28:56:021,43.433987,-75.838096,4,-113.35,-113.35,0,0,
06/10/2026,11:28:56:064,43.433987,-75.838096,1,-116.14,-116.14,0,0,
06/10/2026,11:28:56:102,43.433987,-75.838096,2,-114.33,-114.33,0,0,
06/10/2026,11:28:56:173,43.433987,-75.838096,3,-84.85,-84.85,0,0,
06/10/2026,11:28:56:235,43.433987,-75.838096,4,-114.59,-114.59,0,0,
06/10/2026,11:28:56:249,43.433987,-75.838096,1,-114.13,-114.13,0,0,
06/10/2026,11:28:56:300,43.433987,-75.838096,2,-113.7,-113.7,0,0,
06/10/2026,11:28:56:390,43.433987,-75.838096,3,-82.41,-82.41,0,0,
06/10/2026,11:28:56:439,43.433987,-75.838096,4,-112.31,-112.31,0,0,
06/10/2026,11:28:56:453,43.433987,-75.838096,1,-113.75,-113.75,0,0,
06/10/2026,11:28:56:507,43.433987,-75.838096,2,-112.89,-112.89,0,0,
06/10/2026,11:28:56:597,43.433987,-75.838096,3,-80.56,-80.56,0,0,
06/10/2026,11:28:56:646,43.433987,-75.838096,4,-113.75,-113.75,0,0,
06/10/2026,11:28:56:674,43.433987,-75.838096,1,-116.28,-116.28,0,0,
06/10/2026,11:28:56:751,43.433987,-75.838096,2,-113.29,-113.29,0,0,
06/10/2026,11:28:56:802,43.433987,-75.838096,3,-81.74,-81.74,0,0,
06/10/2026,11:28:56:869,43.433987,-75.838096,4,-113.81,-113.81,0,0,
06/10/2026,11:28:56:873,43.433987,-75.838096,1,-110.84,-110.84,0,0,
06/10/2026,11:28:56:953,43.433987,-75.838096,2,-112.13,-112.13,0,0,
06/10/2026,11:28:57:020,43.433987,-75.838096,3,-87.81,-87.81,0,0,
06/10/2026,11:28:57:066,43.433987,-75.838096,4,-109.15,-109.15,0,0,
06/10/2026,11:28:57:087,43.433987,-75.838096,1,-105.74,-105.74,0,0,
06/10/2026,11:28:57:146,43.433987,-75.838096,2,-112.77,-112.77,0,0,
06/10/2026,11:28:57:221,43.433987,-75.838096,3,-82.1,-82.1,0,0,
06/10/2026,11:28:57:307,43.433987,-75.838096,4,-111.3,-111.3,0,0,
06/10/2026,11:28:57:309,43.433987,-75.838096,1,-112.42,-112.42,0,0,
06/10/2026,11:28:57:353,43.433987,-75.838096,2,-112.19,-112.19,0,0,
06/10/2026,11:28:57:436,43.433987,-75.838096,3,-76.07,-76.07,0,0,
06/10/2026,11:28:57:487,43.433987,-75.838096,4,-111.53,-111.53,0,0,
06/10/2026,11:28:57:523,43.433987,-75.838096,1,-109.6,-109.6,0,0,
06/10/2026,11:28:57:556,43.433987,-75.838096,2,-112.63,-112.63,0,0,
06/10/2026,11:28:57:655,43.433987,-75.838096,3,-69.22,-69.22,0,0,
