Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:28:52:532,43.433987,-75.838096,1,-111.66,-111.66,0,0,
06/10/2026,11:28:52:534,43.433987,-75.838096,1,-112.39,-112.39,0,0,
06/10/2026,11:28:52:546,43.433987,-75.838096,1,-113.32,-113.32,0,0,
06/10/2026,11:28:52:550,43.433987,-75.838096,1,-112.42,-112.42,0,0,
06/10/2026,11:28:52:555,43.433987,-75.838096,1,-112.38,-112.38,0,0,
06/10/2026,11:28:52:576,43.433987,-75.838096,1,-114.36,-114.36,0,0,
06/10/2026,11:28:52:590,43.433987,-75.838096,1,-112.78,-112.78,0,0,
06/10/2026,11:28:52:612,43.433987,-75.838096,1,-113.83,-113.83,0,0,
06/10/2026,11:28:52:637,43.433987,-75.838096,2,-127.27,-127.27,0,0,
06/10/2026,11:28:52:643,43.433987,-75.838096,1,-113.79,-113.79,0,0,
06/10/2026,11:28:52:663,43.433987,-75.838096,2,-125.6,-125.6,0,0,
06/10/2026,11:28:52:674,43.433987,-75.838096,3,-123.24,-123.24,0,0,
06/10/2026,11:28:52:699,43.433987,-75.838096,1,-114.33,-114.33,0,0,
06/10/2026,11:28:52:711,43.433987,-75.838096,2,-126.16,-126.16,0,0,
06/10/2026,11:28:52:748,43.433987,-75.838096,3,-124.69,-124.69,0,0,
06/10/2026,11:28:52:764,43.433987,-75.838096,1,-113.37,-113.37,0,0,
06/10/2026,11:28:52:777,43.433987,-75.838096,2,-127.7,-127.7,0,0,
06/10/2026,11:28:52:827,43.433987,-75.838096,3,-126.47,-126.47,0,0,
06/10/2026,11:28:52:889,43.433987,-75.838096,1,-112.84,-112.84,0,0,
06/10/2026,11:28:52:892,43.433987,-75.838096,2,-127.6,-127.6,0,0,
06/10/2026,11:28:52:986,43.433987,-75.838096,3,-123.48,-123.48,0,0,
06/10/2026,11:28:53:031,43.433987,-75.838096,1,-114.46,-114.46,0,0,
06/10/2026,11:28:53:036,43.433987,-75.838096,2,-125.62,-125.62,0,0,
06/10/2026,11:28:53:165,43.433987,-75.838096,3,-125.09,-125.09,0,0,
06/10/2026,11:28:53:237,43.433987,-75.838096,1,-115.86,-115.86,0,0,
06/10/2026,11:28:53:255,43.433987,-75.838096,2,-124.58,-124.58,0,0,
06/10/2026,11:28:53:405,43.433987,-75.838096,3,-126.17,-126.17,0,0,
06/10/2026,11:28:53:489,43.433987,-75.838096,1,-111.92,-111.92,0,0,
06/10/2026,11:28:53:504,43.433987,-75.838096,2,-126.13,-126.13,0,0,
06/10/2026,11:28:53:640,43.433987,-75.838096,3,-127.12,-127.12,0,0,
06/10/2026,11:28:53:728,43.433987,-75.838096,1,-114.94,-114.94,0,0,
06/10/2026,11:28:53:731,43.433987,-75.838096,2,-125.27,-125.27,0,0,
06/10/2026,11:28:53:866,43.433987,-75.838096,3,-125.65,-125.65,0,0,
06/10/2026,11:28:53:947,43.433987,-75.838096,1,-113.82,-113.82,0,0,
06/10/2026,11:28:53:984,43.433987,-75.838096,2,-126.04,-126.04,0,0,
06/10/2026,11:28:54:110,43.433987,-75.838096,3,-126.44,-126.44,0,0,
06/10/2026,11:28:54:165,43.433987,-75.838096,1,-116.34,-116.34,0,0,
06/10/2026,11:28:54:201,43.433987,-75.838096,2,-125.07,-125.07,0,0,
06/10/2026,11:28:54:308,43.433987,-75.838096,3,-126.08,-126.08,0,0,
06/10/2026,11:28:54:399,43.433987,-75.838096,1,-120.47,-120.47,0,0,
06/10/2026,11:28:54:407,43.433987,-75.838096,2,-126,-126,0,0,
06/10/2026,11:28:54:515,43.433987,-75.838096,3,-125.69,-125.69,0,0,
06/10/2026,11:28:54:588,43.433987,-75.838096,1,-122.85,-122.85,0,0,
06/10/2026,11:28:54:603,43.433987,-75.838096,2,-125.37,-125.37,0,0,
06/10/2026,11:28:54:723,43.433987,-75.838096,3,-126.77,-126.77,0,0,
06/10/2026,11:28:54:794,43.433987,-75.838096,1,-124.35,-124.35,0,0,
06/10/2026,11:28:54:822,43.433987,-75.838096,2,-127.7,-127.7,0,0,
06/10/2026,11:28:54:935,43.433987,-75.838096,3,-125.32,-125.32,0,0,
06/10/2026,11:28:55:025,43.433987,-75.838096,1,-122.77,-122.77,0,0,
06/10/2026,11:28:55:027,43.433987,-75.838096,2,-126.55,-126.55,0,0,
06/10/2026,11:28:55:144,43.433987,-75.838096,3,-126.46,-126.46,0,0,
06/10/2026,11:28:55:235,43.433987,-75.838096,1,-126.62,-126.62,0,0,
06/10/2026,11:28:55:237,43.433987,-75.838096,2,-124.76,-124.76,0,0,
06/10/2026,11:28:55:362,43.433987,-75.838096,3,-126.51,-126.51,0,0,
06/10/2026,11:28:55:441,43.433987,-75.838096,1,-125.4,-125.4,0,0,
06/10/2026,11:28:55:443,43.433987,-75.838096,2,-126.45,-126.45,0,0,
06/10/2026,11:28:55:563,43.433987,-75.838096,3,-125.53,-125.53,0,0,
06/10/2026,11:28:55:638,43.433987,-75.838096,1,-124.47,-124.47,0,0,
06/10/2026,11:28:55:652,43.433987,-75.838096,2,-126.01,-126.01,0,0,
06/10/2026,11:28:55:779,43.433987,-75.838096,3,-126.61,-126.61,0,0,
06/10/2026,11:28:55:874,43.433987,-75.838096,1,-123.63,-123.63,0,0,
06/10/2026,11:28:55:876,43.433987,-75.838096,2,-126.18,-126.18,0,0,
06/10/2026,11:28:55:983,43.433987,-75.838096,3,-126.4,-126.4,0,0,
06/10/2026,11:28:56:068,43.433987,-75.838096,1,-117.87,-117.87,0,0,
06/10/2026,11:28:56:071,43.433987,-75.838096,2,-126.9,-126.9,0,0,
06/10/2026,11:28:56:197,43.433987,-75.838096,3,-125.84,-125.84,0,0,
06/10/2026,11:28:56:262,43.433987,-75.838096,1,-118.32,-118.32,0,0,
06/10/2026,11:28:56:298,43.433987,-75.838096,2,-127.01,-127.01,0,0,
06/10/2026,11:28:56:412,43.433987,-75.838096,3,-125.27,-125.27,0,0,
06/10/2026,11:28:56:481,43.433987,-75.838096,1,-118.25,-118.25,0,0,
06/10/2026,11:28:56:487,43.433987,-75.838096,2,-127.18,-127.18,0,0,
06/10/2026,11:28:56:620,43.433987,-75.838096,3,-125.14,-125.14,0,0,
06/10/2026,11:28:56:681,43.433987,-75.838096,1,-117.07,-117.07,0,0,
06/10/2026,11:28:56:719,43.433987,-75.838096,2,-127.15,-127.15,0,0,
06/10/2026,11:28:56:830,43.433987,-75.838096,3,-125.8,-125.8,0,0,
06/10/2026,11:28:56:907,43.433987,-75.838096,1,-124.58,-124.58,0,0,
06/10/2026,11:28:56:910,43.433987,-75.838096,2,-117.14,-117.14,0,0,
06/10/2026,11:28:57:033,43.433987,-75.838096,3,-125.88,-125.88,0,0,
06/10/2026,11:28:57:112,43.433987,-75.838096,1,-119.18,-119.18,0,0,
06/10/2026,11:28:57:117,43.433987,-75.838096,2,-115.16,-115.16,0,0,
06/10/2026,11:28:57:241,43.433987,-75.838096,3,-121.47,-121.47,0,0,
06/10/2026,11:28:57:315,43.433987,-75.838096,1,-126.78,-126.78,0,0,
06/10/2026,11:28:57:331,43.433987,-75.838096,2,-117.75,-117.75,0,0,
06/10/2026,11:28:57:453,43.433987,-75.838096,3,-124.97,-124.97,0,0,
06/10/2026,11:28:57:526,43.433987,-75.838096,1,-118.25,-118.25,0,0,
06/10/2026,11:28:57:537,43.433987,-75.838096,2,-112.04,-112.04,0,0,
06/10/2026,11:28:57:679,43.433987,-75.838096,3,-123.56,-123.56,0,0,
06/10/2026,11:28:57:755,43.433987,-75.838096,1,-122.17,-122.17,0,0,
06/10/2026,11:28:57:759,43.433987,-75.838096,2,-111.34,-111.34,0,0,
06/10/2026,11:28:57:889,43.433987,-75.838096,3,-123.29,-123.29,0,0,
06/10/2026,11:28:57:952,43.433987,-75.838096,1,-125.26,-125.26,0,0,
06/10/2026,11:28:57:966,43.433987,-75.838096,2,-119.38,-119.38,0,0,
06/10/2026,11:28:58:166,43.433987,-75.838096,3,-125.22,-125.22,0,0,
06/10/2026,11:28:58:201,43.433987,-75.838096,1,-124.31,-124.31,0,0,
06/10/2026,11:28:58:220,43.433987,-75.838096,2,-117.78,-117.78,0,0,
06/10/2026,11:28:58:302,43.433987,-75.838096,3,-124.98,-124.98,0,0,
06/10/2026,11:28:58:376,43.433987,-75.838096,1,-123.53,-123.53,0,0,
06/10/2026,11:28:58:388,43.433987,-75.838096,2,-115.57,-115.57,0,0,
06/10/2026,11:28:58:508,43.433987,-75.838096,3,-124.34,-124.34,0,0,
06/10/2026,11:28:58:583,43.433987,-75.838096,1,-123.7,-123.7,0,0,
06/10/2026,11:28:58:597,43.433987,-75.838096,2,-115.33,-115.33,0,0,
06/10/2026,11:28:58:725,43.433987,-75.838096,3,-125.73,-125.73,0,0,
06/10/2026,11:28:58:787,43.433987,-75.838096,1,-123.77,-123.77,0,0,
06/10/2026,11:28:58:813,43.433987,-75.838096,2,-119.04,-119.04,0,0,
06/10/2026,11:28:59:001,43.433987,-75.838096,3,-124.99,-124.99,0,0,
06/10/2026,11:28:59:043,43.433987,-75.838096,1,-123.88,-123.88,0,0,
06/10/2026,11:28:59:046,43.433987,-75.838096,2,-114.24,-114.24,0,0,
06/10/2026,11:28:59:145,43.433987,-75.838096,3,-124.67,-124.67,0,0,
06/10/2026,11:28:59:234,43.433987,-75.838096,1,-123.2,-123.2,0,0,
06/10/2026,11:28:59:246,43.433987,-75.838096,2,-117.67,-117.67,0,0,
06/10/2026,11:28:59:348,43.433987,-75.838096,3,-122.79,-122.79,0,0,
06/10/2026,11:28:59:421,43.433987,-75.838096,1,-120.47,-120.47,0,0,
06/10/2026,11:28:59:436,43.433987,-75.838096,2,-114.9,-114.9,0,0,
06/10/2026,11:28:59:557,43.433987,-75.838096,3,-123.49,-123.49,0,0,
06/10/2026,11:28:59:627,43.433987,-75.838096,1,-118.24,-118.24,0,0,
06/10/2026,11:28:59:650,43.433987,-75.838096,2,-113.18,-113.18,0,0,
06/10/2026,11:28:59:769,43.433987,-75.838096,3,-121.17,-121.17,0,0,
06/10/2026,11:28:59:854,43.433987,-75.838096,1,-119.15,-119.15,0,0,
06/10/2026,11:28:59:858,43.433987,-75.838096,2,-110.55,-110.55,0,0,
06/10/2026,11:28:59:975,43.433987,-75.838096,3,-120.51,-120.51,0,0,
06/10/2026,11:29:00:051,43.433987,-75.838096,1,-123.56,-123.56,0,0,
06/10/2026,11:29:00:070,43.433987,-75.838096,2,-112.07,-112.07,0,0,
