Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:28:52:731,43.433987,-75.838096,1,-120.25,-120.25,0,0,
06/10/2026,11:28:52:796,43.433987,-75.838096,1,-120.68,-120.68,0,0,
06/10/2026,11:28:52:912,43.433987,-75.838096,1,-120.12,-120.12,0,0,
06/10/2026,11:28:53:085,43.433987,-75.838096,1,-122.19,-122.19,0,0,
06/10/2026,11:28:53:318,43.433987,-75.838096,1,-122.04,-122.04,0,0,
06/10/2026,11:28:53:568,43.433987,-75.838096,1,-122.27,-122.27,0,0,
06/10/2026,11:28:53:807,43.433987,-75.838096,1,-121.62,-121.62,0,0,
06/10/2026,11:28:54:016,43.433987,-75.838096,1,-123.83,-123.83,0,0,
06/10/2026,11:28:54:257,43.433987,-75.838096,1,-125.77,-125.77,0,0,
06/10/2026,11:28:54:444,43.433987,-75.838096,1,-124.81,-124.81,0,0,
06/10/2026,11:28:54:654,43.433987,-75.838096,1,-125.11,-125.11,0,0,
06/10/2026,11:28:54:865,43.433987,-75.838096,1,-125.69,-125.69,0,0,
06/10/2026,11:28:55:087,43.433987,-75.838096,1,-126.86,-126.86,0,0,
06/10/2026,11:28:55:285,43.433987,-75.838096,1,-127.91,-127.91,0,0,
06/10/2026,11:28:55:492,43.433987,-75.838096,1,-125.78,-125.78,0,0,
06/10/2026,11:28:55:707,43.433987,-75.838096,1,-127.45,-127.45,0,0,
06/10/2026,11:28:55:918,43.433987,-75.838096,1,-124.58,-124.58,0,0,
06/10/2026,11:28:56:121,43.433987,-75.838096,1,-125.35,-125.35,0,0,
06/10/2026,11:28:56:365,43.433987,-75.838096,1,-123.97,-123.97,0,0,
06/10/2026,11:28:56:546,43.433987,-75.838096,1,-125.36,-125.36,0,0,
06/10/2026,11:28:56:759,43.433987,-75.838096,1,-121.95,-121.95,0,0,
06/10/2026,11:28:56:961,43.433987,-75.838096,1,-116.44,-116.44,0,0,
06/10/2026,11:28:57:182,43.433987,-75.838096,1,-124.12,-124.12,0,0,
06/10/2026,11:28:57:381,43.433987,-75.838096,1,-122.46,-122.46,0,0,
06/10/2026,11:28:57:601,43.433987,-75.838096,1,-115.42,-115.42,0,0,
06/10/2026,11:28:57:811,43.433987,-75.838096,1,-120.74,-120.74,0,0,
06/10/2026,11:28:58:020,43.433987,-75.838096,1,-123.29,-123.29,0,0,
06/10/2026,11:28:58:235,43.433987,-75.838096,1,-122.29,-122.29,0,0,
06/10/2026,11:28:58:441,43.433987,-75.838096,1,-120.46,-120.46,0,0,
06/10/2026,11:28:58:649,43.433987,-75.838096,1,-117.53,-117.53,0,0,
06/10/2026,11:28:58:859,43.433987,-75.838096,1,-123.52,-123.52,0,0,
06/10/2026,11:28:59:086,43.433987,-75.838096,1,-122.55,-122.55,0,0,
