Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:28:52:819,43.433987,-75.838096,1,-122.18,-122.18,0,0,
06/10/2026,11:28:52:845,43.433987,-75.838096,2,-109.54,-109.54,0,0,
06/10/2026,11:28:52:895,43.433987,-75.838096,3,-121.68,-121.68,0,0,
06/10/2026,11:28:52:929,43.433987,-75.838096,1,-121.27,-121.27,0,0,
06/10/2026,11:28:52:983,43.433987,-75.838096,4,-123.15,-123.15,0,0,
06/10/2026,11:28:52:990,43.433987,-75.838096,2,-109.65,-109.65,0,0,
06/10/2026,11:28:53:075,43.433987,-75.838096,3,-121.71,-121.71,0,0,
06/10/2026,11:28:53:107,43.433987,-75.838096,1,-122.24,-122.24,0,0,
06/10/2026,11:28:53:130,43.433987,-75.838096,4,-116.31,-116.31,0,0,
06/10/2026,11:28:53:184,43.433987,-75.838096,2,-109.67,-109.67,0,0,
06/10/2026,11:28:53:305,43.433987,-75.838096,3,-113.8,-113.8,0,0,
06/10/2026,11:28:53:350,43.433987,-75.838096,1,-113.61,-113.61,0,0,
06/10/2026,11:28:53:382,43.433987,-75.838096,4,-111.31,-111.31,0,0,
06/10/2026,11:28:53:445,43.433987,-75.838096,2,-113.47,-113.47,0,0,
06/10/2026,11:28:53:546,43.433987,-75.838096,3,-121.68,-121.68,0,0,
06/10/2026,11:28:53:574,43.433987,-75.838096,1,-122.24,-122.24,0,0,
06/10/2026,11:28:53:616,43.433987,-75.838096,4,-114.63,-114.63,0,0,
06/10/2026,11:28:53:667,43.433987,-75.838096,2,-109.2,-109.2,0,0,
06/10/2026,11:28:53:806,43.433987,-75.838096,3,-115.95,-115.95,0,0,
06/10/2026,11:28:53:812,43.433987,-75.838096,1,-123.96,-123.96,0,0,
06/10/2026,11:28:53:838,43.433987,-75.838096,4,-126.06,-126.06,0,0,
06/10/2026,11:28:53:899,43.433987,-75.838096,2,-109.92,-109.92,0,0,
06/10/2026,11:28:54:001,43.433987,-75.838096,3,-121.28,-121.28,0,0,
06/10/2026,11:28:54:033,43.433987,-75.838096,1,-123.13,-123.13,0,0,
06/10/2026,11:28:54:102,43.433987,-75.838096,4,-112.34,-112.34,0,0,
06/10/2026,11:28:54:114,43.433987,-75.838096,2,-110.98,-110.98,0,0,
06/10/2026,11:28:54:249,43.433987,-75.838096,3,-124.83,-124.83,0,0,
06/10/2026,11:28:54:260,43.433987,-75.838096,1,-124.48,-124.48,0,0,
06/10/2026,11:28:54:299,43.433987,-75.838096,4,-126.21,-126.21,0,0,
06/10/2026,11:28:54:358,43.433987,-75.838096,2,-111.99,-111.99,0,0,
06/10/2026,11:28:54:428,43.433987,-75.838096,3,-123.22,-123.22,0,0,
06/10/2026,11:28:54:462,43.433987,-75.838096,1,-124.46,-124.46,0,0,
06/10/2026,11:28:54:487,43.433987,-75.838096,4,-124.26,-124.26,0,0,
06/10/2026,11:28:54:532,43.433987,-75.838096,2,-110.98,-110.98,0,0,
06/10/2026,11:28:54:647,43.433987,-75.838096,3,-123.09,-123.09,0,0,
06/10/2026,11:28:54:673,43.433987,-75.838096,1,-124.06,-124.06,0,0,
06/10/2026,11:28:54:690,43.433987,-75.838096,4,-123.23,-123.23,0,0,
06/10/2026,11:28:54:741,43.433987,-75.838096,2,-110.66,-110.66,0,0,
06/10/2026,11:28:54:849,43.433987,-75.838096,3,-122.04,-122.04,0,0,
06/10/2026,11:28:54:888,43.433987,-75.838096,1,-125.4,-125.4,0,0,
06/10/2026,11:28:54:901,43.433987,-75.838096,4,-123.32,-123.32,0,0,
06/10/2026,11:28:54:960,43.433987,-75.838096,2,-111.5,-111.5,0,0,
06/10/2026,11:28:55:085,43.433987,-75.838096,3,-124.96,-124.96,0,0,
06/10/2026,11:28:55:094,43.433987,-75.838096,1,-125.01,-125.01,0,0,
06/10/2026,11:28:55:109,43.433987,-75.838096,4,-127.12,-127.12,0,0,
06/10/2026,11:28:55:172,43.433987,-75.838096,2,-113.71,-113.71,0,0,
06/10/2026,11:28:55:271,43.433987,-75.838096,3,-123.6,-123.6,0,0,
06/10/2026,11:28:55:299,43.433987,-75.838096,1,-123.47,-123.47,0,0,
06/10/2026,11:28:55:320,43.433987,-75.838096,4,-124.65,-124.65,0,0,
06/10/2026,11:28:55:378,43.433987,-75.838096,2,-113.4,-113.4,0,0,
06/10/2026,11:28:55:479,43.433987,-75.838096,3,-124.25,-124.25,0,0,
06/10/2026,11:28:55:514,43.433987,-75.838096,1,-126.07,-126.07,0,0,
06/10/2026,11:28:55:535,43.433987,-75.838096,4,-123.3,-123.3,0,0,
06/10/2026,11:28:55:581,43.433987,-75.838096,2,-115.01,-115.01,0,0,
06/10/2026,11:28:55:690,43.433987,-75.838096,3,-125.21,-125.21,0,0,
06/10/2026,11:28:55:718,43.433987,-75.838096,1,-125.08,-125.08,0,0,
06/10/2026,11:28:55:747,43.433987,-75.838096,4,-123.03,-123.03,0,0,
06/10/2026,11:28:55:791,43.433987,-75.838096,2,-115.01,-115.01,0,0,
06/10/2026,11:28:55:916,43.433987,-75.838096,3,-125.72,-125.72,0,0,
06/10/2026,11:28:55:969,43.433987,-75.838096,1,-125.2,-125.2,0,0,
06/10/2026,11:28:55:973,43.433987,-75.838096,4,-125.13,-125.13,0,0,
06/10/2026,11:28:56:018,43.433987,-75.838096,2,-115.53,-115.53,0,0,
06/10/2026,11:28:56:104,43.433987,-75.838096,3,-124.66,-124.66,0,0,
06/10/2026,11:28:56:150,43.433987,-75.838096,1,-121.82,-121.82,0,0,
06/10/2026,11:28:56:155,43.433987,-75.838096,4,-124.39,-124.39,0,0,
06/10/2026,11:28:56:209,43.433987,-75.838096,2,-114.88,-114.88,0,0,
06/10/2026,11:28:56:363,43.433987,-75.838096,3,-126.59,-126.59,0,0,
06/10/2026,11:28:56:369,43.433987,-75.838096,1,-124.53,-124.53,0,0,
06/10/2026,11:28:56:372,43.433987,-75.838096,4,-126.23,-126.23,0,0,
06/10/2026,11:28:56:419,43.433987,-75.838096,2,-113.94,-113.94,0,0,
06/10/2026,11:28:56:528,43.433987,-75.838096,3,-123.57,-123.57,0,0,
06/10/2026,11:28:56:561,43.433987,-75.838096,1,-123.91,-123.91,0,0,
06/10/2026,11:28:56:582,43.433987,-75.838096,4,-127.01,-127.01,0,0,
06/10/2026,11:28:56:627,43.433987,-75.838096,2,-114.11,-114.11,0,0,
06/10/2026,11:28:56:755,43.433987,-75.838096,3,-124.42,-124.42,0,0,
06/10/2026,11:28:56:792,43.433987,-75.838096,1,-123.51,-123.51,0,0,
06/10/2026,11:28:56:795,43.433987,-75.838096,4,-125.23,-125.23,0,0,
06/10/2026,11:28:56:836,43.433987,-75.838096,2,-126.13,-126.13,0,0,
06/10/2026,11:28:56:957,43.433987,-75.838096,3,-124.52,-124.52,0,0,
06/10/2026,11:28:56:994,43.433987,-75.838096,1,-124.25,-124.25,0,0,
06/10/2026,11:28:56:995,43.433987,-75.838096,4,-124.95,-124.95,0,0,
06/10/2026,11:28:57:055,43.433987,-75.838096,2,-123.11,-123.11,0,0,
06/10/2026,11:28:57:153,43.433987,-75.838096,3,-127.08,-127.08,0,0,
06/10/2026,11:28:57:186,43.433987,-75.838096,1,-121.86,-121.86,0,0,
06/10/2026,11:28:57:216,43.433987,-75.838096,4,-126.11,-126.11,0,0,
06/10/2026,11:28:57:265,43.433987,-75.838096,2,-125.35,-125.35,0,0,
06/10/2026,11:28:57:362,43.433987,-75.838096,3,-123.73,-123.73,0,0,
06/10/2026,11:28:57:406,43.433987,-75.838096,1,-123.99,-123.99,0,0,
06/10/2026,11:28:57:412,43.433987,-75.838096,4,-125.3,-125.3,0,0,
06/10/2026,11:28:57:471,43.433987,-75.838096,2,-120.77,-120.77,0,0,
06/10/2026,11:28:57:593,43.433987,-75.838096,3,-122.24,-122.24,0,0,
06/10/2026,11:28:57:647,43.433987,-75.838096,1,-122,-122,0,0,
06/10/2026,11:28:57:651,43.433987,-75.838096,4,-119.74,-119.74,0,0,
06/10/2026,11:28:57:687,43.433987,-75.838096,2,-116.13,-116.13,0,0,
06/10/2026,11:28:57:795,43.433987,-75.838096,3,-122.18,-122.18,0,0,
06/10/2026,11:28:57:828,43.433987,-75.838096,1,-115.84,-115.84,0,0,
06/10/2026,11:28:57:842,43.433987,-75.838096,4,-118.13,-118.13,0,0,
06/10/2026,11:28:57:897,43.433987,-75.838096,2,-121.4,-121.4,0,0,
06/10/2026,11:28:58:017,43.433987,-75.838096,3,-118.73,-118.73,0,0,
06/10/2026,11:28:58:151,43.433987,-75.838096,1,-115.75,-115.75,0,0,
06/10/2026,11:28:58:162,43.433987,-75.838096,4,-117.6,-117.6,0,0,
06/10/2026,11:28:58:173,43.433987,-75.838096,2,-118.07,-118.07,0,0,
06/10/2026,11:28:58:232,43.433987,-75.838096,3,-121.39,-121.39,0,0,
06/10/2026,11:28:58:249,43.433987,-75.838096,1,-117.82,-117.82,0,0,
06/10/2026,11:28:58:264,43.433987,-75.838096,4,-123.6,-123.6,0,0,
06/10/2026,11:28:58:323,43.433987,-75.838096,2,-118.86,-118.86,0,0,
06/10/2026,11:28:58:431,43.433987,-75.838096,3,-124.09,-124.09,0,0,
06/10/2026,11:28:58:455,43.433987,-75.838096,1,-118.98,-118.98,0,0,
06/10/2026,11:28:58:474,43.433987,-75.838096,4,-123.67,-123.67,0,0,
06/10/2026,11:28:58:525,43.433987,-75.838096,2,-120.85,-120.85,0,0,
06/10/2026,11:28:58:631,43.433987,-75.838096,3,-122.08,-122.08,0,0,
06/10/2026,11:28:58:667,43.433987,-75.838096,1,-122.61,-122.61,0,0,
06/10/2026,11:28:58:693,43.433987,-75.838096,4,-124.21,-124.21,0,0,
06/10/2026,11:28:58:738,43.433987,-75.838096,2,-122.48,-122.48,0,0,
06/10/2026,11:28:58:855,43.433987,-75.838096,3,-124.37,-124.37,0,0,
06/10/2026,11:28:58:953,43.433987,-75.838096,1,-123.59,-123.59,0,0,
06/10/2026,11:28:58:960,43.433987,-75.838096,4,-122.38,-122.38,0,0,
06/10/2026,11:28:59:005,43.433987,-75.838096,2,-124.67,-124.67,0,0,
06/10/2026,11:28:59:083,43.433987,-75.838096,3,-125.26,-125.26,0,0,
06/10/2026,11:28:59:090,43.433987,-75.838096,1,-122.23,-122.23,0,0,
06/10/2026,11:28:59:139,43.433987,-75.838096,4,-124.12,-124.12,0,0,
06/10/2026,11:28:59:155,43.433987,-75.838096,2,-125.19,-125.19,0,0,
