Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
07/02/2024,23:29:49:696,40.000274,-79.999926,490862500,-78.94,-78.94,0,0
07/02/2024,23:29:49:701,40.000274,-79.999924,490862500,-85.92,-85.92,0,0
07/02/2024,23:29:49:702,40.000274,-79.999921,490862500,-84.4,-84.4,0,0
07/02/2024,23:29:49:735,40.000274,-79.999919,1,-79.97,-79.97,0,0,
07/02/2024,23:29:49:735,40.000274,-79.999917,1,-85.76,-85.76,0,0,
07/02/2024,23:29:49:779,40.000274,-79.999914,1,-92.76,-92.76,0,0,
07/02/2024,23:29:49:781,40.000274,-79.999912,1,-86.23,-86.23,0,0,
07/02/2024,23:29:49:817,40.000274,-79.999909,1,-87.7,-87.7,0,0,
07/02/2024,23:29:49:823,40.000274,-79.999907,1,-87.06,-87.06,0,0,
07/02/2024,23:29:49:855,40.000274,-79.999905,1,-97.36,-97.36,0,0,
07/02/2024,23:29:49:907,40.000274,-79.999902,1,-95.24,-95.24,0,0,
07/02/2024,23:29:50:001,40.000274,-79.999900,1,-80.95,-80.95,0,0,
07/02/2024,23:29:50:118,40.000274,-79.999897,1,-75.09,-75.09,0,0,
07/02/2024,23:29:50:244,40.000274,-79.999895,1,-76.52,-76.52,0,0,
07/02/2024,23:29:50:382,40.000274,-79.999892,1,-79.6,-79.6,0,0,
07/02/2024,23:29:50:496,40.000274,-79.999890,1,-82.95,-82.95,0,0,
07/02/2024,23:29:50:650,40.000274,-79.999888,1,-76.62,-76.62,0,0,
07/02/2024,23:29:50:741,40.000274,-79.999885,1,-75.69,-75.69,0,0,
07/02/2024,23:29:50:882,40.000274,-79.999883,1,-86.18,-86.18,0,0,
07/02/2024,23:29:50:989,40.000274,-79.999880,1,-104.91,-104.91,0,0,
07/02/2024,23:29:51:120,40.000274,-79.999878,1,-80.05,-80.05,0,0,
07/02/2024,23:29:51:245,40.000274,-79.999876,1,-79.41,-79.41,0,0,
07/02/2024,23:29:51:374,40.000273,-79.999873,1,-73.69,-73.69,0,0,
07/02/2024,23:29:51:511,40.000273,-79.999871,1,-71.02,-71.02,0,0,
07/02/2024,23:29:51:655,40.000273,-79.999868,1,-76.69,-76.69,0,0,
07/02/2024,23:29:51:753,40.000273,-79.999866,1,-79.98,-79.98,0,0,
07/02/2024,23:29:51:896,40.000273,-79.999864,1,-86.75,-86.75,0,0,
07/02/2024,23:29:52:021,40.000273,-79.999861,1,-81.34,-81.34,0,0,
07/02/2024,23:29:52:150,40.000273,-79.999859,1,-74.25,-74.25,0,0,
