Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
07/02/2024,23:08:04:652,40.000260,-79.999918,1,-103.84,-103.84,0,0,
07/02/2024,23:08:04:695,40.000260,-79.999917,2,-107.41,-107.41,0,0,
07/02/2024,23:08:04:736,40.000260,-79.999916,1,-111.9,-111.9,0,0,
07/02/2024,23:08:04:772,40.000260,-79.999915,3,-112.11,-112.11,0,0,
07/02/2024,23:08:04:805,40.000260,-79.999915,2,-109.79,-109.79,0,0,
07/02/2024,23:08:04:841,40.000260,-79.999914,4,-63,-63,0,0,
07/02/2024,23:08:04:851,40.000260,-79.999913,1,-112.3,-112.3,0,0,
07/02/2024,23:08:04:873,40.000260,-79.999912,3,-104.2,-104.2,0,0,
07/02/2024,23:08:04:927,40.000260,-79.999911,2,-116.97,-116.97,0,0,
07/02/2024,23:08:04:969,40.000260,-79.999911,4,-63.2,-63.2,0,0,
07/02/2024,23:08:04:971,40.000260,-79.999910,1,-112.37,-112.37,0,0,
07/02/2024,23:08:04:990,40.000260,-79.999909,3,-114.93,-114.93,0,0,
07/02/2024,23:08:05:047,40.000260,-79.999908,2,-111.14,-111.14,0,0,
07/02/2024,23:08:05:079,40.000260,-79.999908,4,-66.72,-66.72,0,0,
07/02/2024,23:08:05:092,40.000260,-79.999907,1,-112.45,-112.45,0,0,
07/02/2024,23:08:05:113,40.000261,-79.999906,3,-107.32,-107.32,0,0,
07/02/2024,23:08:05:161,40.000261,-79.999905,2,-114.55,-114.55,0,0,
07/02/2024,23:08:05:201,40.000261,-79.999904,4,-68.74,-68.74,0,0,
07/02/2024,23:08:05:221,40.000261,-79.999904,1,-109.63,-109.63,0,0,
07/02/2024,23:08:05:233,40.000261,-79.999903,3,-106.45,-106.45,0,0,
07/02/2024,23:08:05:291,40.000261,-79.999902,2,-112.68,-112.68,0,0,
07/02/2024,23:08:05:323,40.000261,-79.999901,4,-69.36,-69.36,0,0,
07/02/2024,23:08:05:334,40.000261,-79.999901,1,-105.79,-105.79,0,0,
07/02/2024,23:08:05:357,40.000261,-79.999900,3,-112.39,-112.39,0,0,
07/02/2024,23:08:05:414,40.000261,-79.999899,2,-113.36,-113.36,0,0,
07/02/2024,23:08:05:440,40.000261,-79.999898,4,-65.89,-65.89,0,0,
07/02/2024,23:08:05:463,40.000261,-79.999897,1,-112.85,-112.85,0,0,
07/02/2024,23:08:05:476,40.000261,-79.999897,3,-113.73,-113.73,0,0,
07/02/2024,23:08:05:529,40.000261,-79.999896,2,-104.53,-104.53,0,0,
07/02/2024,23:08:05:563,40.000261,-79.999895,4,-63.02,-63.02,0,0,
07/02/2024,23:08:05:579,40.000261,-79.999894,1,-110.02,-110.02,0,0,
07/02/2024,23:08:05:598,40.000261,-79.999893,3,-106.41,-106.41,0,0,
07/02/2024,23:08:05:655,40.000261,-79.999893,2,-112.86,-112.86,0,0,
07/02/2024,23:08:05:680,40.000261,-79.999892,4,-69.56,-69.56,0,0,
07/02/2024,23:08:05:699,40.000261,-79.999891,1,-112.07,-112.07,0,0,
07/02/2024,23:08:05:724,40.000261,-79.999890,3,-111.44,-111.44,0,0,
07/02/2024,23:08:05:773,40.000261,-79.999890,2,-115.91,-115.91,0,0,
07/02/2024,23:08:05:808,40.000261,-79.999889,4,-79.21,-79.21,0,0,
07/02/2024,23:08:05:829,40.000261,-79.999888,1,-107.97,-107.97,0,0,
07/02/2024,23:08:05:838,40.000261,-79.999887,3,-117.36,-117.36,0,0,
