Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
07/02/2024,23:16:40:990,40.000267,-79.999909,490862500,-92.61,-92.61,0,0
07/02/2024,23:16:41:010,40.000267,-79.999907,490862500,-91.1,-91.1,0,0
07/02/2024,23:16:41:020,40.000267,-79.999906,1,-93.76,-93.76,0,0,
07/02/2024,23:16:41:044,40.000267,-79.999905,1,-92.96,-92.96,0,0,
07/02/2024,23:16:41:058,40.000267,-79.999904,1,-92.64,-92.64,0,0,
07/02/2024,23:16:41:075,40.000267,-79.999903,1,-94.53,-94.53,0,0,
07/02/2024,23:16:41:108,40.000267,-79.999902,1,-99.92,-99.92,0,0,
07/02/2024,23:16:41:161,40.000267,-79.999901,1,-97.75,-97.75,0,0,
07/02/2024,23:16:41:234,40.000266,-79.999900,1,-94.82,-94.82,0,0,
07/02/2024,23:16:41:362,40.000266,-79.999899,1,-94.45,-94.45,0,0,
07/02/2024,23:16:41:487,40.000266,-79.999898,1,-94.46,-94.46,0,0,
07/02/2024,23:16:41:587,40.000266,-79.999896,1,-93.61,-93.61,0,0,
07/02/2024,23:16:41:703,40.000266,-79.999895,1,-92.23,-92.23,0,0,
07/02/2024,23:16:41:833,40.000266,-79.999894,1,-90.26,-90.26,0,0,
07/02/2024,23:16:41:955,40.000266,-79.999893,1,-99.39,-99.39,0,0,
07/02/2024,23:16:42:078,40.000266,-79.999892,1,-99.16,-99.16,0,0,
07/02/2024,23:16:42:203,40.000266,-79.999891,1,-93.4,-93.4,0,0,
07/02/2024,23:16:42:319,40.000265,-79.999890,1,-96.64,-96.64,0,0,
07/02/2024,23:16:42:441,40.000265,-79.999889,1,-97.8,-97.8,0,0,
07/02/2024,23:16:42:569,40.000265,-79.999888,1,-102.39,-102.39,0,0,
07/02/2024,23:16:42:692,40.000265,-79.999886,1,-97.39,-97.39,0,0,
07/02/2024,23:16:42:824,40.000265,-79.999885,1,-95.5,-95.5,0,0,
07/02/2024,23:16:42:928,40.000265,-79.999884,1,-91.27,-91.27,0,0,
07/02/2024,23:16:43:054,40.000265,-79.999883,1,-95.52,-95.52,0,0,
07/02/2024,23:16:43:174,40.000265,-79.999882,1,-95.49,-95.49,0,0,
07/02/2024,23:16:43:331,40.000265,-79.999881,1,-94.69,-94.69,0,0,
07/02/2024,23:16:43:420,40.000264,-79.999880,1,-106.07,-106.07,0,0,
07/02/2024,23:16:43:542,40.000264,-79.999879,1,-105.06,-105.06,0,0,
07/02/2024,23:16:43:663,40.000264,-79.999878,1,-94.02,-94.02,0,0,
07/02/2024,23:16:43:787,40.000264,-79.999877,1,-98.73,-98.73,0,0,
