Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
07/02/2024,23:16:41:145,40.000267,-79.999909,1,-86.12,-86.12,0,0,
07/02/2024,23:16:41:214,40.000267,-79.999907,1,-82.21,-82.21,0,0,
07/02/2024,23:16:41:326,40.000267,-79.999906,1,-86.05,-86.05,0,0,
07/02/2024,23:16:41:454,40.000267,-79.999905,1,-81.6,-81.6,0,0,
07/02/2024,23:16:41:572,40.000267,-79.999904,1,-97.29,-97.29,0,0,
07/02/2024,23:16:41:698,40.000267,-79.999903,1,-86.33,-86.33,0,0,
07/02/2024,23:16:41:810,40.000267,-79.999902,1,-78.7,-78.7,0,0,
07/02/2024,23:16:41:952,40.000267,-79.999901,1,-87.09,-87.09,0,0,
07/02/2024,23:16:42:058,40.000266,-79.999900,1,-85.22,-85.22,0,0,
07/02/2024,23:16:42:182,40.000266,-79.999898,1,-89.64,-89.64,0,0,
07/02/2024,23:16:42:306,40.000266,-79.999897,1,-95.27,-95.27,0,0,
07/02/2024,23:16:42:425,40.000266,-79.999896,1,-92.93,-92.93,0,0,
07/02/2024,23:16:42:545,40.000266,-79.999895,1,-80.15,-80.15,0,0,
07/02/2024,23:16:42:671,40.000266,-79.999894,1,-92.83,-92.83,0,0,
07/02/2024,23:16:42:795,40.000266,-79.999893,1,-90.52,-90.52,0,0,
07/02/2024,23:16:42:912,40.000266,-79.999892,1,-83.98,-83.98,0,0,
07/02/2024,23:16:43:034,40.000266,-79.999891,1,-85.61,-85.61,0,0,
07/02/2024,23:16:43:168,40.000265,-79.999890,1,-80.34,-80.34,0,0,
07/02/2024,23:16:43:286,40.000265,-79.999888,1,-84.03,-84.03,0,0,
07/02/2024,23:16:43:418,40.000265,-79.999887,1,-83.33,-83.33,0,0,
07/02/2024,23:16:43:527,40.000265,-79.999886,1,-82.62,-82.62,0,0,
07/02/2024,23:16:43:652,40.000265,-79.999885,1,-87.4,-87.4,0,0,
07/02/2024,23:16:43:775,40.000265,-79.999884,1,-80.69,-80.69,0,0,
07/02/2024,23:16:43:896,40.000265,-79.999883,1,-83.41,-83.41,0,0,
07/02/2024,23:16:44:031,40.000265,-79.999882,1,-83.55,-83.55,0,0,
07/02/2024,23:16:44:146,40.000264,-79.999881,1,-91.2,-91.2,0,0,
