Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:17:54:695,38.951463,-76.976027,1,-103.72,-103.72,0,0,
06/10/2026,11:17:54:709,38.951463,-76.976027,1,-104.98,-104.98,0,0,
06/10/2026,11:17:54:734,38.951463,-76.976027,1,-103.39,-103.39,0,0,
06/10/2026,11:17:54:747,38.951463,-76.976027,1,-100.45,-100.45,0,0,
06/10/2026,11:17:54:758,38.951463,-76.976027,1,-98.05,-98.05,0,0,
06/10/2026,11:17:54:778,38.951463,-76.976027,1,-96.3,-96.3,0,0,
06/10/2026,11:17:54:800,38.951463,-76.976027,1,-95.23,-95.23,0,0,
06/10/2026,11:17:54:820,38.951463,-76.976027,2,-118.59,-118.59,0,0,
06/10/2026,11:17:54:826,38.951463,-76.976027,1,-93.83,-93.83,0,0,
06/10/2026,11:17:54:850,38.951463,-76.976027,2,-119.3,-119.3,0,0,
06/10/2026,11:17:54:861,38.951463,-76.976027,1,-94.58,-94.58,0,0,
06/10/2026,11:17:54:888,38.951463,-76.976027,3,-122.44,-122.44,0,0,
06/10/2026,11:17:54:894,38.951463,-76.976027,2,-118.43,-118.43,0,0,
06/10/2026,11:17:54:915,38.951463,-76.976027,1,-97.32,-97.32,0,0,
06/10/2026,11:17:54:958,38.951463,-76.976027,3,-124.3,-124.3,0,0,
06/10/2026,11:17:54:966,38.951463,-76.976027,2,-117.44,-117.44,0,0,
06/10/2026,11:17:54:987,38.951463,-76.976027,1,-94.48,-94.48,0,0,
06/10/2026,11:17:55:001,38.951463,-76.976027,3,-124.37,-124.37,0,0,
06/10/2026,11:17:55:054,38.951463,-76.976027,2,-122.98,-122.98,0,0,
06/10/2026,11:17:55:108,38.951463,-76.976027,1,-96.86,-96.86,0,0,
06/10/2026,11:17:55:121,38.951463,-76.976027,3,-124.19,-124.19,0,0,
06/10/2026,11:17:55:191,38.951463,-76.976027,2,-118.85,-118.85,0,0,
06/10/2026,11:17:55:277,38.951463,-76.976027,1,-96.73,-96.73,0,0,
06/10/2026,11:17:55:302,38.951463,-76.976027,3,-122.17,-122.17,0,0,
06/10/2026,11:17:55:386,38.951463,-76.976027,2,-119.08,-119.08,0,0,
06/10/2026,11:17:55:512,38.951463,-76.976027,1,-97.5,-97.5,0,0,
06/10/2026,11:17:55:547,38.951463,-76.976027,3,-124.05,-124.05,0,0,
06/10/2026,11:17:55:644,38.951463,-76.976027,2,-119.04,-119.04,0,0,
06/10/2026,11:17:55:766,38.951463,-76.976027,1,-99.43,-99.43,0,0,
06/10/2026,11:17:55:811,38.951463,-76.976027,3,-126.24,-126.24,0,0,
06/10/2026,11:17:56:002,38.951463,-76.976027,2,-119.67,-119.67,0,0,
06/10/2026,11:17:56:032,38.951463,-76.976027,1,-102.86,-102.86,0,0,
06/10/2026,11:17:56:053,38.951463,-76.976027,3,-123.05,-123.05,0,0,
06/10/2026,11:17:56:145,38.951463,-76.976027,2,-118.23,-118.23,0,0,
06/10/2026,11:17:56:269,38.951463,-76.976027,1,-99.09,-99.09,0,0,
06/10/2026,11:17:56:307,38.951463,-76.976027,3,-124.26,-124.26,0,0,
06/10/2026,11:17:56:393,38.951463,-76.976027,2,-118.72,-118.72,0,0,
06/10/2026,11:17:56:525,38.951463,-76.976027,1,-98.87,-98.87,0,0,
06/10/2026,11:17:56:559,38.951463,-76.976027,3,-125.3,-125.3,0,0,
06/10/2026,11:17:56:653,38.951463,-76.976027,2,-118.9,-118.9,0,0,
06/10/2026,11:17:56:760,38.951463,-76.976027,1,-95.44,-95.44,0,0,
06/10/2026,11:17:56:793,38.951463,-76.976027,3,-123.83,-123.83,0,0,
06/10/2026,11:17:56:887,38.951463,-76.976027,2,-118.16,-118.16,0,0,
06/10/2026,11:17:57:022,38.951463,-76.976027,1,-94.73,-94.73,0,0,
06/10/2026,11:17:57:045,38.951463,-76.976027,3,-124.67,-124.67,0,0,
06/10/2026,11:17:57:144,38.951463,-76.976027,2,-120.47,-120.47,0,0,
06/10/2026,11:17:57:262,38.951463,-76.976027,1,-106.23,-106.23,0,0,
06/10/2026,11:17:57:297,38.951463,-76.976027,3,-124.21,-124.21,0,0,
06/10/2026,11:17:57:403,38.951463,-76.976027,2,-121.71,-121.71,0,0,
06/10/2026,11:17:57:556,38.951463,-76.976027,1,-101.35,-101.35,0,0,
06/10/2026,11:17:57:608,38.951463,-76.976027,3,-124.39,-124.39,0,0,
06/10/2026,11:17:57:646,38.951463,-76.976027,2,-120.74,-120.74,0,0,
06/10/2026,11:17:57:763,38.951463,-76.976027,1,-97.41,-97.41,0,0,
06/10/2026,11:17:57:801,38.951463,-76.976027,3,-123.06,-123.06,0,0,
06/10/2026,11:17:57:889,38.951463,-76.976027,2,-116.86,-116.86,0,0,
06/10/2026,11:17:58:030,38.951463,-76.976027,1,-97.48,-97.48,0,0,
06/10/2026,11:17:58:062,38.951463,-76.976027,3,-122.06,-122.06,0,0,
06/10/2026,11:17:58:145,38.951463,-76.976027,2,-119.58,-119.58,0,0,
06/10/2026,11:17:58:270,38.951463,-76.976027,1,-95.71,-95.71,0,0,
06/10/2026,11:17:58:308,38.951463,-76.976027,3,-124.37,-124.37,0,0,
06/10/2026,11:17:58:394,38.951463,-76.976027,2,-123.66,-123.66,0,0,
06/10/2026,11:17:58:522,38.951463,-76.976027,1,-98.78,-98.78,0,0,
06/10/2026,11:17:58:558,38.951463,-76.976027,3,-125.57,-125.57,0,0,
06/10/2026,11:17:58:645,38.951463,-76.976027,2,-121.79,-121.79,0,0,
06/10/2026,11:17:58:799,38.951463,-76.976027,1,-100.62,-100.62,0,0,
06/10/2026,11:17:58:806,38.951463,-76.976027,3,-125.74,-125.74,0,0,
06/10/2026,11:17:58:905,38.951463,-76.976027,2,-117.89,-117.89,0,0,
06/10/2026,11:17:59:021,38.951463,-76.976027,1,-107.13,-107.13,0,0,
