Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:17:54:971,38.951463,-76.976027,1,-122.51,-122.51,0,0,
06/10/2026,11:17:55:094,38.951463,-76.976027,1,-121.9,-121.9,0,0,
06/10/2026,11:17:55:261,38.951463,-76.976027,1,-124.17,-124.17,0,0,
06/10/2026,11:17:55:499,38.951463,-76.976027,1,-124.85,-124.85,0,0,
06/10/2026,11:17:55:760,38.951463,-76.976027,1,-122.93,-122.93,0,0,
06/10/2026,11:17:56:030,38.951463,-76.976027,1,-122.93,-122.93,0,0,
06/10/2026,11:17:56:250,38.951463,-76.976027,1,-125.71,-125.71,0,0,
06/10/2026,11:17:56:506,38.951463,-76.976027,1,-123.45,-123.45,0,0,
06/10/2026,11:17:56:746,38.951463,-76.976027,1,-124.84,-124.84,0,0,
06/10/2026,11:17:56:993,38.951463,-76.976027,1,-124.13,-124.13,0,0,
06/10/2026,11:17:57:244,38.951463,-76.976027,1,-126.18,-126.18,0,0,
06/10/2026,11:17:57:553,38.951463,-76.976027,1,-123.77,-123.77,0,0,
06/10/2026,11:17:57:760,38.951463,-76.976027,1,-125.05,-125.05,0,0,
06/10/2026,11:17:57:999,38.951463,-76.976027,1,-125.86,-125.86,0,0,
06/10/2026,11:17:58:249,38.951463,-76.976027,1,-124.54,-124.54,0,0,
06/10/2026,11:17:58:507,38.951463,-76.976027,1,-124.88,-124.88,0,0,
06/10/2026,11:17:58:755,38.951463,-76.976027,1,-123.69,-123.69,0,0,
06/10/2026,11:17:59:005,38.951463,-76.976027,1,-123.65,-123.65,0,0,
06/10/2026,11:17:59:271,38.951463,-76.976027,1,-120.27,-120.27,0,0,
06/10/2026,11:17:59:521,38.951463,-76.976027,1,-125.79,-125.79,0,0,
06/10/2026,11:17:59:745,38.951463,-76.976027,1,-126.32,-126.32,0,0,
06/10/2026,11:17:59:990,38.951463,-76.976027,1,-125.27,-125.27,0,0,
06/10/2026,11:18:00:251,38.951463,-76.976027,1,-124.92,-124.92,0,0,
06/10/2026,11:18:00:500,38.951463,-76.976027,1,-125.27,-125.27,0,0,
06/10/2026,11:18:00:737,38.951463,-76.976027,1,-127.27,-127.27,0,0,
06/10/2026,11:18:01:004,38.951463,-76.976027,1,-127.16,-127.16,0,0,
06/10/2026,11:18:01:271,38.951463,-76.976027,1,-126.53,-126.53,0,0,
06/10/2026,11:18:01:503,38.951463,-76.976027,1,-122.81,-122.81,0,0,
06/10/2026,11:18:01:751,38.951463,-76.976027,1,-126.57,-126.57,0,0,
06/10/2026,11:18:01:999,38.951463,-76.976027,1,-126.79,-126.79,0,0,
06/10/2026,11:18:02:224,38.951463,-76.976027,1,-124.79,-124.79,0,0,
06/10/2026,11:18:02:438,38.951463,-76.976027,1,-125.97,-125.97,0,0,
06/10/2026,11:18:02:647,38.951463,-76.976027,1,-127.27,-127.27,0,0,
06/10/2026,11:18:02:866,38.951463,-76.976027,1,-124.43,-124.43,0,0,
06/10/2026,11:18:03:069,38.951463,-76.976027,1,-127.34,-127.34,0,0,
06/10/2026,11:18:03:302,38.951463,-76.976027,1,-124.12,-124.12,0,0,
06/10/2026,11:18:03:488,38.951463,-76.976027,1,-120.13,-120.13,0,0,
06/10/2026,11:18:03:708,38.951463,-76.976027,1,-124.84,-124.84,0,0,
06/10/2026,11:18:03:925,38.951463,-76.976027,1,-126.7,-126.7,0,0,
06/10/2026,11:18:04:126,38.951463,-76.976027,1,-125.7,-125.7,0,0,
06/10/2026,11:18:04:334,38.951463,-76.976027,1,-127.2,-127.2,0,0,
06/10/2026,11:18:04:544,38.951463,-76.976027,1,-122.5,-122.5,0,0,
06/10/2026,11:18:04:754,38.951463,-76.976027,1,-126.18,-126.18,0,0,
06/10/2026,11:18:05:015,38.951463,-76.976027,1,-127.47,-127.47,0,0,
06/10/2026,11:18:05:200,38.951463,-76.976027,1,-126.21,-126.21,0,0,
06/10/2026,11:18:05:391,38.951463,-76.976027,1,-126.59,-126.59,0,0,
06/10/2026,11:18:05:612,38.951463,-76.976027,1,-125.09,-125.09,0,0,
06/10/2026,11:18:05:818,38.951463,-76.976027,1,-125.01,-125.01,0,0,
06/10/2026,11:18:06:034,38.951463,-76.976027,1,-125.84,-125.84,0,0,
06/10/2026,11:18:06:233,38.951463,-76.976027,1,-125.01,-125.01,0,0,
06/10/2026,11:18:06:443,38.951463,-76.976027,1,-124.16,-124.16,0,0,
06/10/2026,11:18:06:660,38.951463,-76.976027,1,-125.68,-125.68,0,0,
06/10/2026,11:18:06:886,38.951463,-76.976027,1,-125.26,-125.26,0,0,
06/10/2026,11:18:07:095,38.951463,-76.976027,1,-124.9,-124.9,0,0,
06/10/2026,11:18:07:314,38.951463,-76.976027,1,-124.74,-124.74,0,0,
06/10/2026,11:18:07:495,38.951463,-76.976027,1,-126.03,-126.03,0,0,
06/10/2026,11:18:07:714,38.951463,-76.976027,1,-126.32,-126.32,0,0,
06/10/2026,11:18:07:918,38.951463,-76.976027,1,-125.37,-125.37,0,0,
06/10/2026,11:18:08:140,38.951463,-76.976027,1,-126.29,-126.29,0,0,
06/10/2026,11:18:08:339,38.951463,-76.976027,1,-125.71,-125.71,0,0,
06/10/2026,11:18:08:550,38.951463,-76.976027,1,-125.64,-125.64,0,0,
06/10/2026,11:18:08:801,38.951463,-76.976027,1,-126.94,-126.94,0,0,
06/10/2026,11:18:08:984,38.951463,-76.976027,1,-125.9,-125.9,0,0,
06/10/2026,11:18:09:201,38.951463,-76.976027,1,-125.2,-125.2,0,0,
06/10/2026,11:18:09:394,38.951463,-76.976027,1,-125.19,-125.19,0,0,
06/10/2026,11:18:09:605,38.951463,-76.976027,1,-125.56,-125.56,0,0,
06/10/2026,11:18:09:817,38.951463,-76.976027,1,-127.05,-127.05,0,0,
06/10/2026,11:18:10:040,38.951463,-76.976027,1,-125.39,-125.39,0,0,
06/10/2026,11:18:10:238,38.951463,-76.976027,1,-127.93,-127.93,0,0,
06/10/2026,11:18:10:487,38.951463,-76.976027,1,-124.38,-124.38,0,0,
06/10/2026,11:18:10:989,38.951463,-76.976027,1,-127.42,-127.42,0,0,
06/10/2026,11:18:11:053,38.951463,-76.976027,1,-126.86,-126.86,0,0,
06/10/2026,11:18:11:111,38.951463,-76.976027,1,-125.69,-125.69,0,0,
06/10/2026,11:18:11:300,38.951463,-76.976027,1,-125.28,-125.28,0,0,
06/10/2026,11:18:11:505,38.951463,-76.976027,1,-124.92,-124.92,0,0,
06/10/2026,11:18:11:715,38.951463,-76.976027,1,-125.21,-125.21,0,0,
06/10/2026,11:18:11:924,38.951463,-76.976027,1,-125.61,-125.61,0,0,
06/10/2026,11:18:12:135,38.951463,-76.976027,1,-122.98,-122.98,0,0,
06/10/2026,11:18:12:368,38.951463,-76.976027,1,-126,-126,0,0,
06/10/2026,11:18:12:561,38.951463,-76.976027,1,-125.66,-125.66,0,0,
06/10/2026,11:18:12:783,38.951463,-76.976027,1,-125.14,-125.14,0,0,
06/10/2026,11:18:12:988,38.951463,-76.976027,1,-126.71,-126.71,0,0,
06/10/2026,11:18:13:200,38.951463,-76.976027,1,-126.29,-126.29,0,0,
06/10/2026,11:18:13:405,38.951463,-76.976027,1,-124.05,-124.05,0,0,
06/10/2026,11:18:13:617,38.951463,-76.976027,1,-126.8,-126.8,0,0,
06/10/2026,11:18:13:824,38.951463,-76.976027,1,-125.08,-125.08,0,0,
06/10/2026,11:18:14:034,38.951463,-76.976027,1,-126.79,-126.79,0,0,
06/10/2026,11:18:14:270,38.951463,-76.976027,1,-126.41,-126.41,0,0,
06/10/2026,11:18:14:458,38.951463,-76.976027,1,-125.51,-125.51,0,0,
06/10/2026,11:18:14:666,38.951463,-76.976027,1,-126.76,-126.76,0,0,
06/10/2026,11:18:14:887,38.951463,-76.976027,1,-126.36,-126.36,0,0,
06/10/2026,11:18:15:093,38.951463,-76.976027,1,-123.99,-123.99,0,0,
06/10/2026,11:18:15:308,38.951463,-76.976027,1,-127.15,-127.15,0,0,
06/10/2026,11:18:15:528,38.951463,-76.976027,1,-124.17,-124.17,0,0,
06/10/2026,11:18:15:738,38.951463,-76.976027,1,-124.92,-124.92,0,0,
06/10/2026,11:18:15:968,38.951463,-76.976027,1,-123.98,-123.98,0,0,
06/10/2026,11:18:16:457,38.951463,-76.976027,1,-125.34,-125.34,0,0,
06/10/2026,11:18:16:538,38.951463,-76.976027,1,-126.81,-126.81,0,0,
06/10/2026,11:18:16:595,38.951463,-76.976027,1,-125.9,-125.9,0,0,
06/10/2026,11:18:16:788,38.951463,-76.976027,1,-125.04,-125.04,0,0,
06/10/2026,11:18:16:997,38.951463,-76.976027,1,-124.97,-124.97,0,0,
06/10/2026,11:18:17:210,38.951463,-76.976027,1,-126.16,-126.16,0,0,
06/10/2026,11:18:17:422,38.951463,-76.976027,1,-127.2,-127.2,0,0,
06/10/2026,11:18:17:635,38.951463,-76.976027,1,-124.56,-124.56,0,0,
06/10/2026,11:18:17:848,38.951463,-76.976027,1,-126.87,-126.87,0,0,
06/10/2026,11:18:18:051,38.951463,-76.976027,1,-126.19,-126.19,0,0,
06/10/2026,11:18:18:269,38.951463,-76.976027,1,-125.35,-125.35,0,0,
06/10/2026,11:18:18:474,38.951463,-76.976027,1,-126.45,-126.45,0,0,
06/10/2026,11:18:18:684,38.951463,-76.976027,1,-126.33,-126.33,0,0,
06/10/2026,11:18:18:924,38.951463,-76.976027,1,-126.37,-126.37,0,0,
06/10/2026,11:18:19:121,38.951463,-76.976027,1,-125.42,-125.42,0,0,
06/10/2026,11:18:19:318,38.951463,-76.976027,1,-126.34,-126.34,0,0,
06/10/2026,11:18:19:540,38.951463,-76.976027,1,-126.74,-126.74,0,0,
06/10/2026,11:18:19:746,38.951463,-76.976027,1,-126.39,-126.39,0,0,
06/10/2026,11:18:19:949,38.951463,-76.976027,1,-123.87,-123.87,0,0,
06/10/2026,11:18:20:164,38.951463,-76.976027,1,-125.1,-125.1,0,0,
06/10/2026,11:18:20:371,38.951463,-76.976027,1,-127.62,-127.62,0,0,
06/10/2026,11:18:20:586,38.951463,-76.976027,1,-125.46,-125.46,0,0,
06/10/2026,11:18:20:803,38.951463,-76.976027,1,-125.69,-125.69,0,0,
06/10/2026,11:18:21:004,38.951463,-76.976027,1,-125.84,-125.84,0,0,
06/10/2026,11:18:21:214,38.951463,-76.976027,1,-126.45,-126.45,0,0,
06/10/2026,11:18:21:846,38.951463,-76.976027,1,-126.13,-126.13,0,0,
06/10/2026,11:18:21:994,38.951463,-76.976027,1,-125.53,-125.53,0,0,
06/10/2026,11:18:22:107,38.951463,-76.976027,1,-126.14,-126.14,0,0,
06/10/2026,11:18:22:186,38.951463,-76.976027,1,-124.21,-124.21,0,0,
06/10/2026,11:18:22:291,38.951463,-76.976027,1,-124.52,-124.52,0,0,
06/10/2026,11:18:22:481,38.951463,-76.976027,1,-124.67,-124.67,0,0,
06/10/2026,11:18:22:700,38.951463,-76.976027,1,-125.21,-125.21,0,0,
06/10/2026,11:18:22:906,38.951463,-76.976027,1,-126.67,-126.67,0,0,
06/10/2026,11:18:23:124,38.951463,-76.976027,1,-124.39,-124.39,0,0,
06/10/2026,11:18:23:333,38.951463,-76.976027,1,-126.19,-126.19,0,0,
06/10/2026,11:18:23:585,38.951463,-76.976027,1,-124.91,-124.91,0,0,
06/10/2026,11:18:23:754,38.951463,-76.976027,1,-126.78,-126.78,0,0,
06/10/2026,11:18:23:961,38.951463,-76.976027,1,-125.16,-125.16,0,0,
06/10/2026,11:18:24:166,38.951463,-76.976027,1,-124.66,-124.66,0,0,
06/10/2026,11:18:24:401,38.951463,-76.976027,1,-122.33,-122.33,0,0,
06/10/2026,11:18:24:589,38.951463,-76.976027,1,-124.36,-124.36,0,0,
06/10/2026,11:18:24:799,38.951463,-76.976027,1,-124.93,-124.93,0,0,
06/10/2026,11:18:25:012,38.951463,-76.976027,1,-124.92,-124.92,0,0,
06/10/2026,11:18:25:227,38.951463,-76.976027,1,-124.09,-124.09,0,0,
06/10/2026,11:18:25:468,38.951463,-76.976027,1,-123.35,-123.35,0,0,
06/10/2026,11:18:25:652,38.951463,-76.976027,1,-126.92,-126.92,0,0,
06/10/2026,11:18:25:877,38.951463,-76.976027,1,-124.25,-124.25,0,0,
06/10/2026,11:18:26:106,38.951463,-76.976027,1,-125.1,-125.1,0,0,
06/10/2026,11:18:26:298,38.951463,-76.976027,1,-124.17,-124.17,0,0,
06/10/2026,11:18:26:494,38.951463,-76.976027,1,-123.89,-123.89,0,0,
06/10/2026,11:18:26:711,38.951463,-76.976027,1,-126.17,-126.17,0,0,
06/10/2026,11:18:27:315,38.951463,-76.976027,1,-125.76,-125.76,0,0,
06/10/2026,11:18:27:366,38.951463,-76.976027,1,-126.54,-126.54,0,0,
06/10/2026,11:18:27:433,38.951463,-76.976027,1,-124.18,-124.18,0,0,
06/10/2026,11:18:27:543,38.951463,-76.976027,1,-122.72,-122.72,0,0,
06/10/2026,11:18:27:754,38.951463,-76.976027,1,-125.58,-125.58,0,0,
06/10/2026,11:18:28:000,38.951463,-76.976027,1,-124.43,-124.43,0,0,
06/10/2026,11:18:28:177,38.951463,-76.976027,1,-123.53,-123.53,0,0,
06/10/2026,11:18:28:394,38.951463,-76.976027,1,-122.75,-122.75,0,0,
06/10/2026,11:18:28:607,38.951463,-76.976027,1,-123.59,-123.59,0,0,
06/10/2026,11:18:28:820,38.951463,-76.976027,1,-124.95,-124.95,0,0,
06/10/2026,11:18:29:024,38.951463,-76.976027,1,-125.73,-125.73,0,0,
06/10/2026,11:18:29:237,38.951463,-76.976027,1,-126.02,-126.02,0,0,
06/10/2026,11:18:29:447,38.951463,-76.976027,1,-124.53,-124.53,0,0,
06/10/2026,11:18:29:649,38.951463,-76.976027,1,-123.43,-123.43,0,0,
06/10/2026,11:18:29:869,38.951463,-76.976027,1,-125.38,-125.38,0,0,
06/10/2026,11:18:30:095,38.951463,-76.976027,1,-127.7,-127.7,0,0,
06/10/2026,11:18:30:282,38.951463,-76.976027,1,-126.48,-126.48,0,0,
06/10/2026,11:18:30:494,38.951463,-76.976027,1,-121.46,-121.46,0,0,
06/10/2026,11:18:30:711,38.951463,-76.976027,1,-123.21,-123.21,0,0,
06/10/2026,11:18:30:916,38.951463,-76.976027,1,-123.64,-123.64,0,0,
06/10/2026,11:18:31:129,38.951463,-76.976027,1,-123.73,-123.73,0,0,
06/10/2026,11:18:31:341,38.951463,-76.976027,1,-124.27,-124.27,0,0,
06/10/2026,11:18:31:564,38.951463,-76.976027,1,-125.1,-125.1,0,0,
06/10/2026,11:18:31:775,38.951463,-76.976027,1,-125.22,-125.22,0,0,
06/10/2026,11:18:32:029,38.951463,-76.976027,1,-125.89,-125.89,0,0,
06/10/2026,11:18:32:223,38.951463,-76.976027,1,-126.46,-126.46,0,0,
06/10/2026,11:18:32:457,38.951463,-76.976027,1,-124.58,-124.58,0,0,
06/10/2026,11:18:32:682,38.951463,-76.976027,1,-125.36,-125.36,0,0,
06/10/2026,11:18:32:901,38.951463,-76.976027,1,-125.33,-125.33,0,0,
06/10/2026,11:18:33:110,38.951463,-76.976027,1,-125.36,-125.36,0,0,
06/10/2026,11:18:33:360,38.951463,-76.976027,1,-124.22,-124.22,0,0,
06/10/2026,11:18:33:551,38.951463,-76.976027,1,-125.61,-125.61,0,0,
