Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:17:55:050,38.951463,-76.976027,1,-114.17,-114.17,0,0,
06/10/2026,11:17:55:069,38.951463,-76.976027,2,-119.07,-119.07,0,0,
06/10/2026,11:17:55:159,38.951463,-76.976027,3,-110.57,-110.57,0,0,
06/10/2026,11:17:55:172,38.951463,-76.976027,1,-113.22,-113.22,0,0,
06/10/2026,11:17:55:224,38.951463,-76.976027,4,-114.25,-114.25,0,0,
06/10/2026,11:17:55:249,38.951463,-76.976027,2,-113.48,-113.48,0,0,
06/10/2026,11:17:55:348,38.951463,-76.976027,3,-111.48,-111.48,0,0,
06/10/2026,11:17:55:368,38.951463,-76.976027,1,-113.34,-113.34,0,0,
06/10/2026,11:17:55:445,38.951463,-76.976027,4,-113,-113,0,0,
06/10/2026,11:17:55:460,38.951463,-76.976027,2,-114.95,-114.95,0,0,
06/10/2026,11:17:55:598,38.951463,-76.976027,3,-111.13,-111.13,0,0,
06/10/2026,11:17:55:622,38.951463,-76.976027,1,-111.68,-111.68,0,0,
06/10/2026,11:17:55:714,38.951463,-76.976027,4,-113.85,-113.85,0,0,
06/10/2026,11:17:55:725,38.951463,-76.976027,2,-114.47,-114.47,0,0,
06/10/2026,11:17:55:904,38.951463,-76.976027,3,-112.15,-112.15,0,0,
06/10/2026,11:17:55:946,38.951463,-76.976027,1,-113.07,-113.07,0,0,
06/10/2026,11:17:56:014,38.951463,-76.976027,4,-115.91,-115.91,0,0,
06/10/2026,11:17:56:018,38.951463,-76.976027,2,-115.96,-115.96,0,0,
06/10/2026,11:17:56:107,38.951463,-76.976027,3,-114.06,-114.06,0,0,
06/10/2026,11:17:56:126,38.951463,-76.976027,1,-112.43,-112.43,0,0,
06/10/2026,11:17:56:191,38.951463,-76.976027,4,-112.76,-112.76,0,0,
06/10/2026,11:17:56:243,38.951463,-76.976027,2,-113.86,-113.86,0,0,
06/10/2026,11:17:56:358,38.951463,-76.976027,3,-113.12,-113.12,0,0,
06/10/2026,11:17:56:379,38.951463,-76.976027,1,-111.65,-111.65,0,0,
06/10/2026,11:17:56:443,38.951463,-76.976027,4,-113.01,-113.01,0,0,
06/10/2026,11:17:56:471,38.951463,-76.976027,2,-112.29,-112.29,0,0,
06/10/2026,11:17:56:615,38.951463,-76.976027,3,-112.27,-112.27,0,0,
06/10/2026,11:17:56:625,38.951463,-76.976027,1,-113.73,-113.73,0,0,
06/10/2026,11:17:56:697,38.951463,-76.976027,4,-114.81,-114.81,0,0,
06/10/2026,11:17:56:704,38.951463,-76.976027,2,-117.01,-117.01,0,0,
06/10/2026,11:17:56:847,38.951463,-76.976027,3,-115.37,-115.37,0,0,
06/10/2026,11:17:56:868,38.951463,-76.976027,1,-110.49,-110.49,0,0,
06/10/2026,11:17:56:939,38.951463,-76.976027,4,-115.42,-115.42,0,0,
06/10/2026,11:17:56:957,38.951463,-76.976027,2,-111.75,-111.75,0,0,
06/10/2026,11:17:57:096,38.951463,-76.976027,3,-113.3,-113.3,0,0,
06/10/2026,11:17:57:142,38.951463,-76.976027,1,-112.23,-112.23,0,0,
06/10/2026,11:17:57:184,38.951463,-76.976027,4,-114,-114,0,0,
06/10/2026,11:17:57:210,38.951463,-76.976027,2,-111.72,-111.72,0,0,
06/10/2026,11:17:57:345,38.951463,-76.976027,3,-115.76,-115.76,0,0,
06/10/2026,11:17:57:370,38.951463,-76.976027,1,-112.59,-112.59,0,0,
06/10/2026,11:17:57:441,38.951463,-76.976027,4,-113.74,-113.74,0,0,
06/10/2026,11:17:57:540,38.951463,-76.976027,2,-111.62,-111.62,0,0,
06/10/2026,11:17:57:640,38.951463,-76.976027,3,-111.3,-111.3,0,0,
06/10/2026,11:17:57:643,38.951463,-76.976027,1,-115.21,-115.21,0,0,
06/10/2026,11:17:57:696,38.951463,-76.976027,4,-114.25,-114.25,0,0,
06/10/2026,11:17:57:744,38.951463,-76.976027,2,-116.35,-116.35,0,0,
06/10/2026,11:17:57:853,38.951463,-76.976027,3,-112.58,-112.58,0,0,
06/10/2026,11:17:57:883,38.951463,-76.976027,1,-113.45,-113.45,0,0,
06/10/2026,11:17:57:943,38.951463,-76.976027,4,-114.64,-114.64,0,0,
06/10/2026,11:17:57:972,38.951463,-76.976027,2,-110.21,-110.21,0,0,
06/10/2026,11:17:58:118,38.951463,-76.976027,3,-111.12,-111.12,0,0,
06/10/2026,11:17:58:127,38.951463,-76.976027,1,-114.82,-114.82,0,0,
06/10/2026,11:17:58:188,38.951463,-76.976027,4,-114.06,-114.06,0,0,
06/10/2026,11:17:58:217,38.951463,-76.976027,2,-117.22,-117.22,0,0,
06/10/2026,11:17:58:361,38.951463,-76.976027,3,-112.11,-112.11,0,0,
06/10/2026,11:17:58:382,38.951463,-76.976027,1,-113.46,-113.46,0,0,
06/10/2026,11:17:58:443,38.951463,-76.976027,4,-119.21,-119.21,0,0,
06/10/2026,11:17:58:473,38.951463,-76.976027,2,-110.55,-110.55,0,0,
06/10/2026,11:17:58:610,38.951463,-76.976027,3,-110.64,-110.64,0,0,
06/10/2026,11:17:58:633,38.951463,-76.976027,1,-111.77,-111.77,0,0,
06/10/2026,11:17:58:707,38.951463,-76.976027,4,-112.64,-112.64,0,0,
06/10/2026,11:17:58:717,38.951463,-76.976027,2,-125.92,-125.92,0,0,
06/10/2026,11:17:58:857,38.951463,-76.976027,3,-113.28,-113.28,0,0,
06/10/2026,11:17:58:903,38.951463,-76.976027,1,-112,-112,0,0,
06/10/2026,11:17:58:950,38.951463,-76.976027,4,-113.17,-113.17,0,0,
06/10/2026,11:17:58:969,38.951463,-76.976027,2,-114.19,-114.19,0,0,
06/10/2026,11:17:59:114,38.951463,-76.976027,3,-112.58,-112.58,0,0,
06/10/2026,11:17:59:148,38.951463,-76.976027,1,-114.28,-114.28,0,0,
06/10/2026,11:17:59:202,38.951463,-76.976027,4,-111.41,-111.41,0,0,
06/10/2026,11:17:59:220,38.951463,-76.976027,2,-113.72,-113.72,0,0,
06/10/2026,11:17:59:359,38.951463,-76.976027,3,-119.11,-119.11,0,0,
06/10/2026,11:17:59:401,38.951463,-76.976027,1,-115.58,-115.58,0,0,
06/10/2026,11:17:59:463,38.951463,-76.976027,4,-113.24,-113.24,0,0,
06/10/2026,11:17:59:504,38.951463,-76.976027,2,-114.39,-114.39,0,0,
06/10/2026,11:17:59:610,38.951463,-76.976027,3,-113.25,-113.25,0,0,
06/10/2026,11:17:59:634,38.951463,-76.976027,1,-117.28,-117.28,0,0,
06/10/2026,11:17:59:720,38.951463,-76.976027,4,-111.48,-111.48,0,0,
06/10/2026,11:17:59:738,38.951463,-76.976027,2,-120.6,-120.6,0,0,
06/10/2026,11:17:59:850,38.951463,-76.976027,3,-115.74,-115.74,0,0,
06/10/2026,11:17:59:866,38.951463,-76.976027,1,-116.64,-116.64,0,0,
06/10/2026,11:17:59:932,38.951463,-76.976027,4,-111.27,-111.27,0,0,
06/10/2026,11:17:59:964,38.951463,-76.976027,2,-111.82,-111.82,0,0,
06/10/2026,11:18:00:092,38.951463,-76.976027,3,-118.15,-118.15,0,0,
06/10/2026,11:18:00:117,38.951463,-76.976027,1,-111.05,-111.05,0,0,
06/10/2026,11:18:00:193,38.951463,-76.976027,4,-113.39,-113.39,0,0,
06/10/2026,11:18:00:215,38.951463,-76.976027,2,-112.04,-112.04,0,0,
06/10/2026,11:18:00:432,38.951463,-76.976027,3,-113.44,-113.44,0,0,
06/10/2026,11:18:00:436,38.951463,-76.976027,1,-111.31,-111.31,0,0,
06/10/2026,11:18:00:453,38.951463,-76.976027,4,-108.78,-108.78,0,0,
06/10/2026,11:18:00:466,38.951463,-76.976027,2,-113.11,-113.11,0,0,
06/10/2026,11:18:00:595,38.951463,-76.976027,3,-114.1,-114.1,0,0,
06/10/2026,11:18:00:629,38.951463,-76.976027,1,-116.92,-116.92,0,0,
06/10/2026,11:18:00:681,38.951463,-76.976027,4,-115.91,-115.91,0,0,
06/10/2026,11:18:00:698,38.951463,-76.976027,2,-113.14,-113.14,0,0,
06/10/2026,11:18:00:839,38.951463,-76.976027,3,-113.39,-113.39,0,0,
06/10/2026,11:18:00:870,38.951463,-76.976027,1,-115.46,-115.46,0,0,
06/10/2026,11:18:00:925,38.951463,-76.976027,4,-109.08,-109.08,0,0,
06/10/2026,11:18:00:950,38.951463,-76.976027,2,-113.59,-113.59,0,0,
06/10/2026,11:18:01:093,38.951463,-76.976027,3,-113.53,-113.53,0,0,
06/10/2026,11:18:01:123,38.951463,-76.976027,1,-116.64,-116.64,0,0,
06/10/2026,11:18:01:184,38.951463,-76.976027,4,-110.6,-110.6,0,0,
06/10/2026,11:18:01:225,38.951463,-76.976027,2,-114.27,-114.27,0,0,
06/10/2026,11:18:01:364,38.951463,-76.976027,3,-108.6,-108.6,0,0,
06/10/2026,11:18:01:365,38.951463,-76.976027,1,-111.02,-111.02,0,0,
06/10/2026,11:18:01:457,38.951463,-76.976027,4,-113.18,-113.18,0,0,
06/10/2026,11:18:01:459,38.951463,-76.976027,2,-111.49,-111.49,0,0,
06/10/2026,11:18:01:589,38.951463,-76.976027,3,-112.95,-112.95,0,0,
06/10/2026,11:18:01:622,38.951463,-76.976027,1,-111.09,-111.09,0,0,
06/10/2026,11:18:01:680,38.951463,-76.976027,4,-109.12,-109.12,0,0,
06/10/2026,11:18:01:706,38.951463,-76.976027,2,-115.26,-115.26,0,0,
06/10/2026,11:18:01:841,38.951463,-76.976027,3,-112.54,-112.54,0,0,
06/10/2026,11:18:01:872,38.951463,-76.976027,1,-109.64,-109.64,0,0,
06/10/2026,11:18:01:936,38.951463,-76.976027,4,-108.11,-108.11,0,0,
06/10/2026,11:18:01:963,38.951463,-76.976027,2,-116.18,-116.18,0,0,
06/10/2026,11:18:02:111,38.951463,-76.976027,3,-113.27,-113.27,0,0,
06/10/2026,11:18:02:122,38.951463,-76.976027,1,-112.9,-112.9,0,0,
06/10/2026,11:18:02:174,38.951463,-76.976027,4,-108.84,-108.84,0,0,
06/10/2026,11:18:02:198,38.951463,-76.976027,2,-118.24,-118.24,0,0,
06/10/2026,11:18:02:332,38.951463,-76.976027,3,-118.67,-118.67,0,0,
06/10/2026,11:18:02:335,38.951463,-76.976027,1,-118.48,-118.48,0,0,
06/10/2026,11:18:02:382,38.951463,-76.976027,4,-106.44,-106.44,0,0,
06/10/2026,11:18:02:404,38.951463,-76.976027,2,-118.97,-118.97,0,0,
06/10/2026,11:18:02:532,38.951463,-76.976027,3,-119.64,-119.64,0,0,
06/10/2026,11:18:02:544,38.951463,-76.976027,1,-120.18,-120.18,0,0,
06/10/2026,11:18:02:599,38.951463,-76.976027,4,-100.15,-100.15,0,0,
06/10/2026,11:18:02:615,38.951463,-76.976027,2,-116.63,-116.63,0,0,
06/10/2026,11:18:02:742,38.951463,-76.976027,3,-117.82,-117.82,0,0,
06/10/2026,11:18:02:759,38.951463,-76.976027,1,-117.6,-117.6,0,0,
06/10/2026,11:18:02:805,38.951463,-76.976027,4,-105.99,-105.99,0,0,
06/10/2026,11:18:02:840,38.951463,-76.976027,2,-120.03,-120.03,0,0,
06/10/2026,11:18:02:946,38.951463,-76.976027,3,-118.29,-118.29,0,0,
06/10/2026,11:18:02:966,38.951463,-76.976027,1,-121.6,-121.6,0,0,
06/10/2026,11:18:03:017,38.951463,-76.976027,4,-98.07,-98.07,0,0,
06/10/2026,11:18:03:032,38.951463,-76.976027,2,-118.77,-118.77,0,0,
06/10/2026,11:18:03:188,38.951463,-76.976027,3,-106.22,-106.22,0,0,
06/10/2026,11:18:03:190,38.951463,-76.976027,1,-118.97,-118.97,0,0,
06/10/2026,11:18:03:247,38.951463,-76.976027,4,-99.39,-99.39,0,0,
06/10/2026,11:18:03:253,38.951463,-76.976027,2,-113.1,-113.1,0,0,
06/10/2026,11:18:03:392,38.951463,-76.976027,3,-110.21,-110.21,0,0,
06/10/2026,11:18:03:401,38.951463,-76.976027,1,-107.77,-107.77,0,0,
06/10/2026,11:18:03:440,38.951463,-76.976027,4,-93.41,-93.41,0,0,
06/10/2026,11:18:03:474,38.951463,-76.976027,2,-118.01,-118.01,0,0,
06/10/2026,11:18:03:586,38.951463,-76.976027,3,-119.03,-119.03,0,0,
06/10/2026,11:18:03:599,38.951463,-76.976027,1,-113.85,-113.85,0,0,
06/10/2026,11:18:03:652,38.951463,-76.976027,4,-96.13,-96.13,0,0,
06/10/2026,11:18:03:667,38.951463,-76.976027,2,-116.55,-116.55,0,0,
06/10/2026,11:18:03:789,38.951463,-76.976027,3,-117.67,-117.67,0,0,
06/10/2026,11:18:03:805,38.951463,-76.976027,1,-117.24,-117.24,0,0,
06/10/2026,11:18:03:860,38.951463,-76.976027,4,-86.08,-86.08,0,0,
06/10/2026,11:18:03:885,38.951463,-76.976027,2,-116.71,-116.71,0,0,
06/10/2026,11:18:04:004,38.951463,-76.976027,3,-117.22,-117.22,0,0,
06/10/2026,11:18:04:020,38.951463,-76.976027,1,-117.13,-117.13,0,0,
06/10/2026,11:18:04:077,38.951463,-76.976027,4,-87.32,-87.32,0,0,
06/10/2026,11:18:04:086,38.951463,-76.976027,2,-116.29,-116.29,0,0,
06/10/2026,11:18:04:229,38.951463,-76.976027,3,-117.11,-117.11,0,0,
06/10/2026,11:18:04:246,38.951463,-76.976027,1,-117.61,-117.61,0,0,
06/10/2026,11:18:04:289,38.951463,-76.976027,4,-81.83,-81.83,0,0,
06/10/2026,11:18:04:296,38.951463,-76.976027,2,-119.05,-119.05,0,0,
06/10/2026,11:18:04:422,38.951463,-76.976027,3,-119.93,-119.93,0,0,
06/10/2026,11:18:04:440,38.951463,-76.976027,1,-118.92,-118.92,0,0,
06/10/2026,11:18:04:495,38.951463,-76.976027,4,-84.08,-84.08,0,0,
06/10/2026,11:18:04:512,38.951463,-76.976027,2,-117.86,-117.86,0,0,
06/10/2026,11:18:04:633,38.951463,-76.976027,3,-117.35,-117.35,0,0,
06/10/2026,11:18:04:658,38.951463,-76.976027,1,-118.67,-118.67,0,0,
06/10/2026,11:18:04:703,38.951463,-76.976027,4,-78.8,-78.8,0,0,
06/10/2026,11:18:04:721,38.951463,-76.976027,2,-117.06,-117.06,0,0,
