Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:43:09:579,38.840557,-76.975367,1,-87.44,-87.44,0,0,
06/10/2026,09:43:09:593,38.840557,-76.975367,1,-88.4,-88.4,0,0,
06/10/2026,09:43:09:612,38.840557,-76.975367,1,-89.48,-89.48,0,0,
06/10/2026,09:43:09:630,38.840557,-76.975367,1,-90.94,-90.94,0,0,
06/10/2026,09:43:09:656,38.840557,-76.975367,2,-121.6,-121.6,0,0,
06/10/2026,09:43:09:659,38.840557,-76.975367,1,-94.84,-94.84,0,0,
06/10/2026,09:43:09:690,38.840557,-76.975367,2,-120.46,-120.46,0,0,
06/10/2026,09:43:09:693,38.840557,-76.975367,3,-125.59,-125.59,0,0,
06/10/2026,09:43:09:713,38.840557,-76.975367,1,-94.96,-94.96,0,0,
06/10/2026,09:43:09:733,38.840557,-76.975367,2,-122.55,-122.55,0,0,
06/10/2026,09:43:09:744,38.840557,-76.975367,3,-126.35,-126.35,0,0,
06/10/2026,09:43:09:785,38.840557,-76.975367,1,-92.51,-92.51,0,0,
06/10/2026,09:43:09:798,38.840557,-76.975367,2,-122.64,-122.64,0,0,
06/10/2026,09:43:09:813,38.840557,-76.975367,3,-124.9,-124.9,0,0,
06/10/2026,09:43:09:871,38.840557,-76.975367,1,-106.67,-106.67,0,0,
06/10/2026,09:43:09:884,38.840557,-76.975367,2,-120.38,-120.38,0,0,
06/10/2026,09:43:09:898,38.840557,-76.975367,3,-125.72,-125.72,0,0,
06/10/2026,09:43:09:989,38.840557,-76.975367,1,-90.34,-90.34,0,0,
06/10/2026,09:43:10:005,38.840557,-76.975367,2,-124.04,-124.04,0,0,
06/10/2026,09:43:10:019,38.840557,-76.975367,3,-125.71,-125.71,0,0,
06/10/2026,09:43:10:137,38.840557,-76.975367,1,-91.46,-91.46,0,0,
06/10/2026,09:43:10:180,38.840557,-76.975367,2,-123.72,-123.72,0,0,
06/10/2026,09:43:10:190,38.840557,-76.975367,3,-126.57,-126.57,0,0,
06/10/2026,09:43:10:348,38.840557,-76.975367,1,-94.24,-94.24,0,0,
06/10/2026,09:43:10:388,38.840557,-76.975367,2,-121.57,-121.57,0,0,
06/10/2026,09:43:10:399,38.840557,-76.975367,3,-127.21,-127.21,0,0,
06/10/2026,09:43:10:566,38.840557,-76.975367,1,-90.36,-90.36,0,0,
06/10/2026,09:43:10:597,38.840557,-76.975367,2,-119.86,-119.86,0,0,
06/10/2026,09:43:10:615,38.840557,-76.975367,3,-126.22,-126.22,0,0,
06/10/2026,09:43:10:786,38.840557,-76.975367,1,-95.21,-95.21,0,0,
06/10/2026,09:43:10:834,38.840557,-76.975367,2,-122.72,-122.72,0,0,
06/10/2026,09:43:10:835,38.840557,-76.975367,3,-126.5,-126.5,0,0,
06/10/2026,09:43:11:057,38.840557,-76.975367,1,-94.84,-94.84,0,0,
06/10/2026,09:43:11:070,38.840557,-76.975367,2,-121.42,-121.42,0,0,
06/10/2026,09:43:11:097,38.840557,-76.975367,3,-128.06,-128.06,0,0,
06/10/2026,09:43:11:211,38.840557,-76.975367,1,-94.37,-94.37,0,0,
06/10/2026,09:43:11:220,38.840557,-76.975367,2,-122.29,-122.29,0,0,
06/10/2026,09:43:11:244,38.840557,-76.975367,3,-126.62,-126.62,0,0,
06/10/2026,09:43:11:399,38.840557,-76.975367,1,-93.68,-93.68,0,0,
06/10/2026,09:43:11:444,38.840557,-76.975367,2,-119.87,-119.87,0,0,
06/10/2026,09:43:11:459,38.840557,-76.975367,3,-127.24,-127.24,0,0,
06/10/2026,09:43:11:604,38.840557,-76.975367,1,-89.29,-89.29,0,0,
06/10/2026,09:43:11:645,38.840557,-76.975367,2,-120.37,-120.37,0,0,
06/10/2026,09:43:11:656,38.840557,-76.975367,3,-126.06,-126.06,0,0,
06/10/2026,09:43:11:818,38.840557,-76.975367,1,-88.46,-88.46,0,0,
06/10/2026,09:43:11:859,38.840557,-76.975367,2,-122.43,-122.43,0,0,
06/10/2026,09:43:11:871,38.840557,-76.975367,3,-123.29,-123.29,0,0,
06/10/2026,09:43:12:050,38.840557,-76.975367,1,-87.31,-87.31,0,0,
06/10/2026,09:43:12:080,38.840557,-76.975367,2,-121.26,-121.26,0,0,
06/10/2026,09:43:12:083,38.840557,-76.975367,3,-126.98,-126.98,0,0,
06/10/2026,09:43:12:237,38.840557,-76.975367,1,-89.07,-89.07,0,0,
06/10/2026,09:43:12:281,38.840557,-76.975367,2,-121.26,-121.26,0,0,
06/10/2026,09:43:12:293,38.840557,-76.975367,3,-125.92,-125.92,0,0,
06/10/2026,09:43:12:448,38.840557,-76.975367,1,-93.52,-93.52,0,0,
06/10/2026,09:43:12:482,38.840557,-76.975367,2,-121.66,-121.66,0,0,
06/10/2026,09:43:12:503,38.840557,-76.975367,3,-125.28,-125.28,0,0,
06/10/2026,09:43:12:772,38.840557,-76.975367,1,-91.43,-91.43,0,0,
06/10/2026,09:43:12:877,38.840557,-76.975367,2,-121.68,-121.68,0,0,
06/10/2026,09:43:12:879,38.840557,-76.975367,3,-126.13,-126.13,0,0,
06/10/2026,09:43:12:945,38.840557,-76.975367,1,-89.91,-89.91,0,0,
06/10/2026,09:43:12:965,38.840557,-76.975367,2,-123.45,-123.45,0,0,
06/10/2026,09:43:12:976,38.840557,-76.975367,3,-124.81,-124.81,0,0,
