Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:54:05:617,38.955474,-76.969344,1,-124.27,-124.27,0,0,
06/10/2026,09:54:05:687,38.955478,-76.969334,2,-120.94,-120.94,0,0,
06/10/2026,09:54:05:723,38.955479,-76.969334,3,-84.75,-84.75,0,0,
06/10/2026,09:54:05:774,38.955479,-76.969334,4,-121.91,-121.91,0,0,
06/10/2026,09:54:05:835,38.955480,-76.969333,1,-121,-121,0,0,
06/10/2026,09:54:05:897,38.955480,-76.969333,2,-120.05,-120.05,0,0,
06/10/2026,09:54:05:931,38.955481,-76.969332,3,-94.98,-94.98,0,0,
06/10/2026,09:54:05:985,38.955481,-76.969332,4,-122.47,-122.47,0,0,
06/10/2026,09:54:06:040,38.955482,-76.969331,1,-118.91,-118.91,0,0,
06/10/2026,09:54:06:109,38.955482,-76.969331,2,-121.54,-121.54,0,0,
06/10/2026,09:54:06:147,38.955483,-76.969330,3,-87.09,-87.09,0,0,
06/10/2026,09:54:06:197,38.955483,-76.969330,4,-123.58,-123.58,0,0,
06/10/2026,09:54:06:291,38.955483,-76.969329,1,-122.5,-122.5,0,0,
06/10/2026,09:54:06:388,38.955484,-76.969329,2,-122.48,-122.48,0,0,
06/10/2026,09:54:06:390,38.955484,-76.969329,3,-86.15,-86.15,0,0,
06/10/2026,09:54:06:429,38.955485,-76.969328,4,-120.48,-120.48,0,0,
06/10/2026,09:54:06:512,38.955485,-76.969328,1,-121.3,-121.3,0,0,
06/10/2026,09:54:06:558,38.955486,-76.969327,2,-121.78,-121.78,0,0,
06/10/2026,09:54:06:568,38.955486,-76.969327,3,-88.27,-88.27,0,0,
06/10/2026,09:54:06:618,38.955487,-76.969326,4,-121.3,-121.3,0,0,
06/10/2026,09:54:06:669,38.955487,-76.969326,1,-120.93,-120.93,0,0,
06/10/2026,09:54:06:741,38.955488,-76.969325,2,-122.79,-122.79,0,0,
06/10/2026,09:54:06:779,38.955489,-76.969325,3,-91.98,-91.98,0,0,
06/10/2026,09:54:06:829,38.955490,-76.969324,4,-123.72,-123.72,0,0,
06/10/2026,09:54:06:881,38.955491,-76.969324,1,-121.31,-121.31,0,0,
06/10/2026,09:54:06:952,38.955492,-76.969323,2,-119.67,-119.67,0,0,
06/10/2026,09:54:06:986,38.955494,-76.969323,3,-85.04,-85.04,0,0,
06/10/2026,09:54:07:041,38.955495,-76.969322,4,-124.41,-124.41,0,0,
06/10/2026,09:54:07:099,38.955496,-76.969322,1,-117.22,-117.22,0,0,
06/10/2026,09:54:07:169,38.955497,-76.969321,2,-117.46,-117.46,0,0,
06/10/2026,09:54:07:198,38.955498,-76.969321,3,-83.74,-83.74,0,0,
06/10/2026,09:54:07:251,38.955500,-76.969321,4,-125.21,-125.21,0,0,
06/10/2026,09:54:07:306,38.955501,-76.969320,1,-115.12,-115.12,0,0,
06/10/2026,09:54:07:372,38.955502,-76.969320,2,-119.07,-119.07,0,0,
06/10/2026,09:54:07:409,38.955503,-76.969319,3,-105.21,-105.21,0,0,
