Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:54:05:140,38.955474,-76.969344,1,-89.61,-89.61,0,0,
06/10/2026,09:54:05:157,38.955474,-76.969344,1,-91.56,-91.56,0,0,
06/10/2026,09:54:05:175,38.955474,-76.969344,1,-88.15,-88.15,0,0,
06/10/2026,09:54:05:192,38.955474,-76.969344,1,-89.09,-89.09,0,0,
06/10/2026,09:54:05:212,38.955474,-76.969344,2,-120.66,-120.66,0,0,
06/10/2026,09:54:05:231,38.955474,-76.969344,1,-90.72,-90.72,0,0,
06/10/2026,09:54:05:254,38.955474,-76.969344,2,-118.62,-118.62,0,0,
06/10/2026,09:54:05:257,38.955474,-76.969344,3,-126.88,-126.88,0,0,
06/10/2026,09:54:05:275,38.955474,-76.969344,1,-89.08,-89.08,0,0,
06/10/2026,09:54:05:303,38.955474,-76.969344,2,-119.88,-119.88,0,0,
06/10/2026,09:54:05:327,38.955474,-76.969344,3,-126.96,-126.96,0,0,
06/10/2026,09:54:05:342,38.955474,-76.969344,1,-89.9,-89.9,0,0,
06/10/2026,09:54:05:361,38.955474,-76.969344,2,-121.17,-121.17,0,0,
06/10/2026,09:54:05:411,38.955474,-76.969344,3,-126.07,-126.07,0,0,
06/10/2026,09:54:05:432,38.955474,-76.969344,1,-99.43,-99.43,0,0,
06/10/2026,09:54:05:465,38.955474,-76.969344,2,-119.9,-119.9,0,0,
06/10/2026,09:54:05:529,38.955474,-76.969344,3,-128.11,-128.11,0,0,
06/10/2026,09:54:05:546,38.955474,-76.969344,1,-95.71,-95.71,0,0,
06/10/2026,09:54:05:616,38.955474,-76.969344,2,-120.03,-120.03,0,0,
06/10/2026,09:54:05:711,38.955478,-76.969334,3,-126.75,-126.75,0,0,
06/10/2026,09:54:05:740,38.955479,-76.969334,1,-90.17,-90.17,0,0,
06/10/2026,09:54:05:822,38.955480,-76.969333,2,-122.35,-122.35,0,0,
06/10/2026,09:54:05:919,38.955480,-76.969333,3,-127.47,-127.47,0,0,
06/10/2026,09:54:05:949,38.955481,-76.969332,1,-90.35,-90.35,0,0,
