Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:54:05:309,38.955474,-76.969344,1,-125.37,-125.37,0,0,
06/10/2026,09:54:05:395,38.955474,-76.969344,1,-127.21,-127.21,0,0,
06/10/2026,09:54:05:512,38.955474,-76.969344,1,-127,-127,0,0,
06/10/2026,09:54:05:672,38.955474,-76.969344,1,-128.59,-128.59,0,0,
06/10/2026,09:54:05:887,38.955478,-76.969334,1,-127.47,-127.47,0,0,
06/10/2026,09:54:06:089,38.955481,-76.969332,1,-124.9,-124.9,0,0,
06/10/2026,09:54:06:306,38.955483,-76.969330,1,-127.47,-127.47,0,0,
06/10/2026,09:54:06:527,38.955485,-76.969328,1,-126.73,-126.73,0,0,
06/10/2026,09:54:06:727,38.955488,-76.969325,1,-126.35,-126.35,0,0,
06/10/2026,09:54:06:939,38.955492,-76.969323,1,-125.36,-125.36,0,0,
06/10/2026,09:54:07:145,38.955497,-76.969322,1,-127.4,-127.4,0,0,
06/10/2026,09:54:07:359,38.955501,-76.969320,1,-126.47,-126.47,0,0,
06/10/2026,09:54:07:565,38.955506,-76.969318,1,-125.59,-125.59,0,0,
06/10/2026,09:54:07:777,38.955510,-76.969316,1,-125.48,-125.48,0,0,
06/10/2026,09:54:07:988,38.955516,-76.969314,1,-126.72,-126.72,0,0,
06/10/2026,09:54:08:199,38.955521,-76.969312,1,-125.88,-125.88,0,0,
06/10/2026,09:54:08:449,38.955527,-76.969311,1,-125.35,-125.35,0,0,
06/10/2026,09:54:08:636,38.955533,-76.969309,1,-127.11,-127.11,0,0,
06/10/2026,09:54:08:832,38.955538,-76.969307,1,-124.92,-124.92,0,0,
06/10/2026,09:54:09:044,38.955547,-76.969301,1,-125.9,-125.9,0,0,
06/10/2026,09:54:09:254,38.955556,-76.969296,1,-126.99,-126.99,0,0,
06/10/2026,09:54:09:464,38.955566,-76.969290,1,-126.99,-126.99,0,0,
06/10/2026,09:54:09:679,38.955575,-76.969285,1,-127.5,-127.5,0,0,
06/10/2026,09:54:09:885,38.955584,-76.969279,1,-125.37,-125.37,0,0,
06/10/2026,09:54:10:136,38.955598,-76.969273,1,-127.32,-127.32,0,0,
06/10/2026,09:54:10:311,38.955611,-76.969266,1,-127.56,-127.56,0,0,
06/10/2026,09:54:10:520,38.955625,-76.969259,1,-127.28,-127.28,0,0,
06/10/2026,09:54:11:008,38.955639,-76.969252,1,-126.9,-126.9,0,0,
06/10/2026,09:54:11:055,38.955653,-76.969243,1,-127.23,-127.23,0,0,
06/10/2026,09:54:11:153,38.955666,-76.969234,1,-125.99,-125.99,0,0,
