Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:54:05:379,38.955474,-76.969344,1,-121.12,-121.12,0,0,
06/10/2026,09:54:05:449,38.955474,-76.969344,2,-119.56,-119.56,0,0,
06/10/2026,09:54:05:483,38.955474,-76.969344,1,-120.77,-120.77,0,0,
06/10/2026,09:54:05:495,38.955474,-76.969344,3,-120.92,-120.92,0,0,
06/10/2026,09:54:05:569,38.955474,-76.969344,4,-101.02,-101.02,0,0,
06/10/2026,09:54:05:584,38.955474,-76.969344,2,-121.97,-121.97,0,0,
06/10/2026,09:54:05:637,38.955475,-76.969341,1,-120.3,-120.3,0,0,
06/10/2026,09:54:05:652,38.955477,-76.969338,3,-121.96,-121.96,0,0,
06/10/2026,09:54:05:757,38.955478,-76.969334,4,-93.55,-93.55,0,0,
06/10/2026,09:54:05:815,38.955479,-76.969334,2,-120.73,-120.73,0,0,
06/10/2026,09:54:05:856,38.955479,-76.969334,1,-122.13,-122.13,0,0,
06/10/2026,09:54:05:870,38.955480,-76.969333,3,-120.9,-120.9,0,0,
06/10/2026,09:54:05:967,38.955480,-76.969333,4,-97.79,-97.79,0,0,
06/10/2026,09:54:06:004,38.955481,-76.969332,2,-121.42,-121.42,0,0,
06/10/2026,09:54:06:055,38.955481,-76.969332,1,-120.85,-120.85,0,0,
06/10/2026,09:54:06:075,38.955482,-76.969331,3,-121.55,-121.55,0,0,
06/10/2026,09:54:06:178,38.955482,-76.969331,4,-95.74,-95.74,0,0,
06/10/2026,09:54:06:214,38.955483,-76.969330,2,-120.79,-120.79,0,0,
06/10/2026,09:54:06:294,38.955483,-76.969330,1,-120.27,-120.27,0,0,
06/10/2026,09:54:06:297,38.955484,-76.969329,3,-120.67,-120.67,0,0,
06/10/2026,09:54:06:397,38.955484,-76.969329,4,-100.81,-100.81,0,0,
06/10/2026,09:54:06:436,38.955485,-76.969328,2,-123.54,-123.54,0,0,
06/10/2026,09:54:06:521,38.955485,-76.969328,1,-121.07,-121.07,0,0,
06/10/2026,09:54:06:522,38.955486,-76.969327,3,-123.7,-123.7,0,0,
06/10/2026,09:54:06:609,38.955486,-76.969327,4,-99.94,-99.94,0,0,
06/10/2026,09:54:06:635,38.955487,-76.969326,2,-122.76,-122.76,0,0,
06/10/2026,09:54:06:693,38.955487,-76.969326,1,-120.38,-120.38,0,0,
06/10/2026,09:54:06:705,38.955488,-76.969325,3,-121.5,-121.5,0,0,
06/10/2026,09:54:06:817,38.955489,-76.969325,4,-99.96,-99.96,0,0,
06/10/2026,09:54:06:847,38.955490,-76.969324,2,-122.34,-122.34,0,0,
06/10/2026,09:54:06:901,38.955491,-76.969324,1,-122.33,-122.33,0,0,
06/10/2026,09:54:06:924,38.955493,-76.969323,3,-122.24,-122.24,0,0,
06/10/2026,09:54:07:022,38.955494,-76.969323,4,-101.45,-101.45,0,0,
06/10/2026,09:54:07:061,38.955495,-76.969322,2,-122.13,-122.13,0,0,
06/10/2026,09:54:07:111,38.955496,-76.969322,1,-121.56,-121.56,0,0,
06/10/2026,09:54:07:127,38.955498,-76.969321,3,-124.42,-124.42,0,0,
06/10/2026,09:54:07:234,38.955499,-76.969321,4,-101.18,-101.18,0,0,
06/10/2026,09:54:07:269,38.955500,-76.969320,2,-120.97,-120.97,0,0,
