Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:59:41:967,38.978498,-76.928127,1,-120.03,-120.03,0,0,
06/10/2026,09:59:42:015,38.978498,-76.928127,2,-121.6,-121.6,0,0,
06/10/2026,09:59:42:068,38.978498,-76.928127,3,-121.06,-121.06,0,0,
06/10/2026,09:59:42:091,38.978498,-76.928127,1,-119.62,-119.62,0,0,
06/10/2026,09:59:42:120,38.978498,-76.928127,4,-80.24,-80.24,0,0,
06/10/2026,09:59:42:157,38.978498,-76.928127,2,-121.07,-121.07,0,0,
06/10/2026,09:59:42:243,38.978498,-76.928127,3,-120.21,-120.21,0,0,
06/10/2026,09:59:42:257,38.978498,-76.928127,1,-120.38,-120.38,0,0,
06/10/2026,09:59:42:313,38.978499,-76.928127,4,-82.81,-82.81,0,0,
06/10/2026,09:59:42:365,38.978500,-76.928127,2,-120.64,-120.64,0,0,
06/10/2026,09:59:42:464,38.978501,-76.928127,3,-120.08,-120.08,0,0,
06/10/2026,09:59:42:469,38.978502,-76.928127,1,-119.91,-119.91,0,0,
06/10/2026,09:59:42:529,38.978503,-76.928127,4,-83.58,-83.58,0,0,
06/10/2026,09:59:42:575,38.978504,-76.928127,2,-120.21,-120.21,0,0,
06/10/2026,09:59:42:663,38.978505,-76.928127,3,-120.99,-120.99,0,0,
06/10/2026,09:59:42:680,38.978506,-76.928127,1,-122.59,-122.59,0,0,
06/10/2026,09:59:42:733,38.978507,-76.928127,4,-80.04,-80.04,0,0,
06/10/2026,09:59:42:785,38.978507,-76.928127,2,-121.33,-121.33,0,0,
06/10/2026,09:59:42:875,38.978508,-76.928127,3,-121.16,-121.16,0,0,
06/10/2026,09:59:42:891,38.978509,-76.928127,1,-120.16,-120.16,0,0,
06/10/2026,09:59:42:943,38.978510,-76.928127,4,-79.33,-79.33,0,0,
06/10/2026,09:59:43:000,38.978511,-76.928127,2,-120.93,-120.93,0,0,
06/10/2026,09:59:43:087,38.978511,-76.928127,3,-123.12,-123.12,0,0,
06/10/2026,09:59:43:102,38.978512,-76.928127,1,-121.44,-121.44,0,0,
06/10/2026,09:59:43:155,38.978513,-76.928127,4,-84.77,-84.77,0,0,
06/10/2026,09:59:43:234,38.978514,-76.928127,2,-120.23,-120.23,0,0,
06/10/2026,09:59:43:327,38.978514,-76.928127,3,-121.38,-121.38,0,0,
06/10/2026,09:59:43:338,38.978515,-76.928127,1,-120.11,-120.11,0,0,
06/10/2026,09:59:43:379,38.978516,-76.928127,4,-81.68,-81.68,0,0,
06/10/2026,09:59:43:450,38.978517,-76.928127,2,-122.46,-122.46,0,0,
06/10/2026,09:59:43:516,38.978517,-76.928127,3,-118.84,-118.84,0,0,
06/10/2026,09:59:43:529,38.978518,-76.928127,1,-121.08,-121.08,0,0,
06/10/2026,09:59:43:576,38.978519,-76.928127,4,-81.38,-81.38,0,0,
06/10/2026,09:59:43:630,38.978520,-76.928127,2,-118.65,-118.65,0,0,
06/10/2026,09:59:43:744,38.978520,-76.928127,3,-120.48,-120.48,0,0,
06/10/2026,09:59:43:748,38.978522,-76.928126,1,-119.93,-119.93,0,0,
06/10/2026,09:59:43:789,38.978523,-76.928125,4,-80.44,-80.44,0,0,
06/10/2026,09:59:43:841,38.978525,-76.928124,2,-121.74,-121.74,0,0,
06/10/2026,09:59:43:928,38.978526,-76.928124,3,-119.5,-119.5,0,0,
06/10/2026,09:59:43:947,38.978528,-76.928123,1,-118.34,-118.34,0,0,
06/10/2026,09:59:44:003,38.978529,-76.928122,4,-85.75,-85.75,0,0,
06/10/2026,09:59:44:053,38.978531,-76.928121,2,-121.33,-121.33,0,0,
06/10/2026,09:59:44:138,38.978532,-76.928120,3,-122.26,-122.26,0,0,
06/10/2026,09:59:44:157,38.978534,-76.928119,1,-120.03,-120.03,0,0,
06/10/2026,09:59:44:208,38.978535,-76.928118,4,-85.45,-85.45,0,0,
06/10/2026,09:59:44:263,38.978536,-76.928117,2,-120.94,-120.94,0,0,
06/10/2026,09:59:44:350,38.978538,-76.928116,3,-120.29,-120.29,0,0,
06/10/2026,09:59:44:370,38.978539,-76.928115,1,-121.11,-121.11,0,0,
06/10/2026,09:59:44:426,38.978541,-76.928114,4,-82.53,-82.53,0,0,
06/10/2026,09:59:44:475,38.978542,-76.928113,2,-118.66,-118.66,0,0,
06/10/2026,09:59:44:561,38.978544,-76.928112,3,-120.53,-120.53,0,0,
06/10/2026,09:59:44:580,38.978545,-76.928111,1,-119.51,-119.51,0,0,
06/10/2026,09:59:44:632,38.978547,-76.928110,4,-92.58,-92.58,0,0,
06/10/2026,09:59:44:685,38.978548,-76.928109,2,-120.56,-120.56,0,0,
06/10/2026,09:59:44:772,38.978550,-76.928109,3,-122.41,-122.41,0,0,
06/10/2026,09:59:44:793,38.978553,-76.928108,1,-119.6,-119.6,0,0,
06/10/2026,09:59:44:845,38.978555,-76.928108,4,-83.18,-83.18,0,0,
06/10/2026,09:59:44:901,38.978557,-76.928107,2,-119.15,-119.15,0,0,
06/10/2026,09:59:44:986,38.978559,-76.928107,3,-118.55,-118.55,0,0,
06/10/2026,09:59:45:015,38.978562,-76.928106,1,-119.06,-119.06,0,0,
06/10/2026,09:59:45:053,38.978564,-76.928106,4,-77.09,-77.09,0,0,
06/10/2026,09:59:45:118,38.978566,-76.928105,2,-121.04,-121.04,0,0,
06/10/2026,09:59:45:205,38.978569,-76.928105,3,-120.2,-120.2,0,0,
06/10/2026,09:59:45:211,38.978571,-76.928104,1,-118.12,-118.12,0,0,
06/10/2026,09:59:45:289,38.978573,-76.928104,4,-83.72,-83.72,0,0,
06/10/2026,09:59:45:344,38.978575,-76.928104,2,-120.88,-120.88,0,0,
06/10/2026,09:59:45:418,38.978578,-76.928103,3,-121.25,-121.25,0,0,
06/10/2026,09:59:45:421,38.978580,-76.928103,1,-121.03,-121.03,0,0,
06/10/2026,09:59:45:476,38.978582,-76.928102,4,-85.26,-85.26,0,0,
06/10/2026,09:59:45:530,38.978585,-76.928102,2,-120.56,-120.56,0,0,
06/10/2026,09:59:45:616,38.978587,-76.928101,3,-120.93,-120.93,0,0,
06/10/2026,09:59:45:633,38.978589,-76.928101,1,-121.26,-121.26,0,0,
06/10/2026,09:59:45:687,38.978592,-76.928100,4,-92.01,-92.01,0,0,
06/10/2026,09:59:45:738,38.978594,-76.928100,2,-119.47,-119.47,0,0,
06/10/2026,09:59:45:826,38.978597,-76.928099,3,-122.06,-122.06,0,0,
06/10/2026,09:59:45:846,38.978600,-76.928098,1,-121.75,-121.75,0,0,
06/10/2026,09:59:45:896,38.978604,-76.928097,4,-83.23,-83.23,0,0,
06/10/2026,09:59:45:952,38.978607,-76.928096,2,-122.31,-122.31,0,0,
06/10/2026,09:59:46:038,38.978610,-76.928094,3,-119.97,-119.97,0,0,
06/10/2026,09:59:46:055,38.978613,-76.928093,1,-121.03,-121.03,0,0,
06/10/2026,09:59:46:107,38.978616,-76.928092,4,-83.37,-83.37,0,0,
06/10/2026,09:59:46:161,38.978620,-76.928091,2,-122.34,-122.34,0,0,
06/10/2026,09:59:46:260,38.978623,-76.928090,3,-120.57,-120.57,0,0,
06/10/2026,09:59:46:266,38.978626,-76.928089,1,-118.21,-118.21,0,0,
06/10/2026,09:59:46:317,38.978629,-76.928088,4,-86.86,-86.86,0,0,
06/10/2026,09:59:46:373,38.978633,-76.928087,2,-121.35,-121.35,0,0,
06/10/2026,09:59:46:461,38.978636,-76.928086,3,-120.37,-120.37,0,0,
06/10/2026,09:59:46:475,38.978639,-76.928085,1,-119.6,-119.6,0,0,
06/10/2026,09:59:46:531,38.978642,-76.928084,4,-87.6,-87.6,0,0,
06/10/2026,09:59:46:581,38.978646,-76.928083,2,-120.55,-120.55,0,0,
06/10/2026,09:59:46:671,38.978649,-76.928082,3,-122.25,-122.25,0,0,
06/10/2026,09:59:46:687,38.978652,-76.928081,1,-121.65,-121.65,0,0,
06/10/2026,09:59:46:739,38.978655,-76.928080,4,-81.46,-81.46,0,0,
06/10/2026,09:59:46:796,38.978658,-76.928079,2,-120.12,-120.12,0,0,
06/10/2026,09:59:46:885,38.978662,-76.928078,3,-121.64,-121.64,0,0,
06/10/2026,09:59:46:898,38.978665,-76.928077,1,-119.89,-119.89,0,0,
06/10/2026,09:59:46:950,38.978668,-76.928076,4,-96.61,-96.61,0,0,
06/10/2026,09:59:47:064,38.978671,-76.928075,2,-121.13,-121.13,0,0,
06/10/2026,09:59:47:150,38.978674,-76.928074,3,-120.79,-120.79,0,0,
06/10/2026,09:59:47:157,38.978678,-76.928073,1,-120.24,-120.24,0,0,
06/10/2026,09:59:47:336,38.978681,-76.928072,4,-86.9,-86.9,0,0,
06/10/2026,09:59:47:343,38.978684,-76.928071,2,-119.7,-119.7,0,0,
06/10/2026,09:59:47:367,38.978687,-76.928071,3,-121.59,-121.59,0,0,
06/10/2026,09:59:47:371,38.978691,-76.928070,1,-119.65,-119.65,0,0,
06/10/2026,09:59:47:382,38.978694,-76.928069,4,-92.8,-92.8,0,0,
06/10/2026,09:59:47:425,38.978697,-76.928068,2,-121.34,-121.34,0,0,
