Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:38:39:505,38.840557,-76.975367,1,-104.49,-104.49,0,0,
06/10/2026,09:38:39:523,38.840557,-76.975367,1,-103.87,-103.87,0,0,
06/10/2026,09:38:39:545,38.840557,-76.975367,1,-102.15,-102.15,0,0,
06/10/2026,09:38:39:570,38.840557,-76.975367,1,-100.71,-100.71,0,0,
06/10/2026,09:38:39:574,38.840557,-76.975367,1,-99.06,-99.06,0,0,
06/10/2026,09:38:39:581,38.840557,-76.975367,1,-97.78,-97.78,0,0,
06/10/2026,09:38:39:602,38.840557,-76.975367,2,-119.31,-119.31,0,0,
06/10/2026,09:38:39:619,38.840557,-76.975367,1,-96.37,-96.37,0,0,
06/10/2026,09:38:39:635,38.840557,-76.975367,2,-120.63,-120.63,0,0,
06/10/2026,09:38:39:656,38.840557,-76.975367,1,-94.91,-94.91,0,0,
06/10/2026,09:38:39:672,38.840557,-76.975367,2,-119.24,-119.24,0,0,
06/10/2026,09:38:39:686,38.840557,-76.975367,3,-125.69,-125.69,0,0,
06/10/2026,09:38:39:711,38.840557,-76.975367,1,-97.12,-97.12,0,0,
06/10/2026,09:38:39:724,38.840557,-76.975367,2,-118.49,-118.49,0,0,
06/10/2026,09:38:39:738,38.840557,-76.975367,3,-127.15,-127.15,0,0,
06/10/2026,09:38:39:815,38.840557,-76.975367,1,-98.09,-98.09,0,0,
06/10/2026,09:38:39:821,38.840557,-76.975367,2,-120.31,-120.31,0,0,
06/10/2026,09:38:39:876,38.840557,-76.975367,3,-125.83,-125.83,0,0,
06/10/2026,09:38:39:892,38.840557,-76.975367,1,-93.1,-93.1,0,0,
06/10/2026,09:38:39:895,38.840557,-76.975367,2,-119.75,-119.75,0,0,
06/10/2026,09:38:39:940,38.840557,-76.975367,3,-125.67,-125.67,0,0,
06/10/2026,09:38:39:962,38.840557,-76.975367,1,-97.65,-97.65,0,0,
06/10/2026,09:38:40:032,38.840557,-76.975367,2,-120.11,-120.11,0,0,
06/10/2026,09:38:40:088,38.840557,-76.975367,3,-127.83,-127.83,0,0,
06/10/2026,09:38:40:148,38.840557,-76.975367,1,-93.66,-93.66,0,0,
06/10/2026,09:38:40:160,38.840557,-76.975367,2,-120.71,-120.71,0,0,
06/10/2026,09:38:40:236,38.840557,-76.975367,3,-126.56,-126.56,0,0,
06/10/2026,09:38:40:277,38.840557,-76.975367,1,-110.24,-110.24,0,0,
06/10/2026,09:38:40:502,38.840557,-76.975367,2,-119.39,-119.39,0,0,
