Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:38:39:858,38.840557,-76.975367,1,-124.79,-124.79,0,0,
06/10/2026,09:38:39:914,38.840557,-76.975367,2,-122.98,-122.98,0,0,
06/10/2026,09:38:39:921,38.840557,-76.975367,1,-122.69,-122.69,0,0,
06/10/2026,09:38:39:989,38.840557,-76.975367,3,-123.74,-123.74,0,0,
06/10/2026,09:38:40:054,38.840557,-76.975367,2,-124.24,-124.24,0,0,
06/10/2026,09:38:40:078,38.840557,-76.975367,1,-127.13,-127.13,0,0,
06/10/2026,09:38:40:149,38.840557,-76.975367,4,-96.43,-96.43,0,0,
06/10/2026,09:38:40:157,38.840557,-76.975367,3,-124.64,-124.64,0,0,
06/10/2026,09:38:40:164,38.840557,-76.975367,2,-123.22,-123.22,0,0,
06/10/2026,09:38:40:206,38.840557,-76.975367,1,-123.93,-123.93,0,0,
06/10/2026,09:38:40:444,38.840557,-76.975367,4,-90.46,-90.46,0,0,
06/10/2026,09:38:40:499,38.840557,-76.975367,3,-125.61,-125.61,0,0,
06/10/2026,09:38:40:505,38.840557,-76.975367,2,-126.16,-126.16,0,0,
06/10/2026,09:38:40:548,38.840557,-76.975367,1,-124.52,-124.52,0,0,
06/10/2026,09:38:40:794,38.840557,-76.975367,4,-98.41,-98.41,0,0,
06/10/2026,09:38:40:842,38.840557,-76.975367,3,-124.74,-124.74,0,0,
06/10/2026,09:38:40:878,38.840557,-76.975367,2,-125.41,-125.41,0,0,
06/10/2026,09:38:40:910,38.840557,-76.975367,1,-125.53,-125.53,0,0,
06/10/2026,09:38:40:974,38.840557,-76.975367,4,-107.88,-107.88,0,0,
06/10/2026,09:38:41:045,38.840557,-76.975367,3,-124.8,-124.8,0,0,
06/10/2026,09:38:41:093,38.840557,-76.975367,2,-123.94,-123.94,0,0,
06/10/2026,09:38:41:100,38.840557,-76.975367,1,-124.08,-124.08,0,0,
06/10/2026,09:38:41:131,38.840557,-76.975367,4,-85.46,-85.46,0,0,
06/10/2026,09:38:41:165,38.840557,-76.975367,3,-123.65,-123.65,0,0,
06/10/2026,09:38:41:195,38.840557,-76.975367,2,-123.14,-123.14,0,0,
06/10/2026,09:38:41:221,38.840557,-76.975367,1,-125.38,-125.38,0,0,
06/10/2026,09:38:41:285,38.840557,-76.975367,4,-102.69,-102.69,0,0,
06/10/2026,09:38:41:315,38.840557,-76.975367,3,-125.9,-125.9,0,0,
06/10/2026,09:38:41:329,38.840557,-76.975367,2,-124.12,-124.12,0,0,
06/10/2026,09:38:41:356,38.840557,-76.975367,1,-124.19,-124.19,0,0,
06/10/2026,09:38:41:382,38.840557,-76.975367,4,-92.08,-92.08,0,0,
06/10/2026,09:38:41:431,38.840557,-76.975367,3,-125.43,-125.43,0,0,
06/10/2026,09:38:41:449,38.840557,-76.975367,2,-124.13,-124.13,0,0,
06/10/2026,09:38:41:472,38.840557,-76.975367,1,-125.27,-125.27,0,0,
06/10/2026,09:38:41:512,38.840557,-76.975367,4,-90.39,-90.39,0,0,
06/10/2026,09:38:41:552,38.840557,-76.975367,3,-123.61,-123.61,0,0,
06/10/2026,09:38:41:582,38.840557,-76.975367,2,-123.54,-123.54,0,0,
06/10/2026,09:38:41:666,38.840557,-76.975367,1,-123.2,-123.2,0,0,
06/10/2026,09:38:41:802,38.840557,-76.975367,4,-90.07,-90.07,0,0,
06/10/2026,09:38:41:816,38.840557,-76.975367,3,-126.66,-126.66,0,0,
06/10/2026,09:38:41:825,38.840557,-76.975367,2,-124.14,-124.14,0,0,
06/10/2026,09:38:41:842,38.840557,-76.975367,1,-122.66,-122.66,0,0,
06/10/2026,09:38:41:930,38.840557,-76.975367,4,-98.35,-98.35,0,0,
06/10/2026,09:38:41:960,38.840557,-76.975367,3,-123.46,-123.46,0,0,
06/10/2026,09:38:42:023,38.840557,-76.975367,2,-123.55,-123.55,0,0,
06/10/2026,09:38:42:032,38.840557,-76.975367,1,-123.29,-123.29,0,0,
06/10/2026,09:38:42:206,38.840557,-76.975367,4,-95.01,-95.01,0,0,
06/10/2026,09:38:42:229,38.840557,-76.975367,3,-124.84,-124.84,0,0,
06/10/2026,09:38:42:452,38.840557,-76.975367,2,-122.68,-122.68,0,0,
06/10/2026,09:38:42:457,38.840557,-76.975367,1,-126.36,-126.36,0,0,
06/10/2026,09:38:42:662,38.840557,-76.975367,4,-89.36,-89.36,0,0,
06/10/2026,09:38:42:701,38.840557,-76.975367,3,-126.87,-126.87,0,0,
06/10/2026,09:38:42:726,38.840557,-76.975367,2,-124.04,-124.04,0,0,
06/10/2026,09:38:42:742,38.840557,-76.975367,1,-124.24,-124.24,0,0,
06/10/2026,09:38:42:842,38.840557,-76.975367,4,-98.16,-98.16,0,0,
06/10/2026,09:38:42:962,38.840557,-76.975367,3,-124.99,-124.99,0,0,
06/10/2026,09:38:43:047,38.840557,-76.975367,2,-123.24,-123.24,0,0,
06/10/2026,09:38:43:083,38.840557,-76.975367,1,-122.44,-122.44,0,0,
06/10/2026,09:38:43:196,38.840557,-76.975367,4,-88.56,-88.56,0,0,
06/10/2026,09:38:43:227,38.840557,-76.975367,3,-125.61,-125.61,0,0,
06/10/2026,09:38:43:321,38.840557,-76.975367,2,-123.29,-123.29,0,0,
06/10/2026,09:38:43:407,38.840557,-76.975367,1,-125.67,-125.67,0,0,
06/10/2026,09:38:43:477,38.840557,-76.975367,4,-102.95,-102.95,0,0,
06/10/2026,09:38:43:545,38.840557,-76.975367,3,-110.16,-110.16,0,0,
06/10/2026,09:38:43:556,38.840557,-76.975367,2,-125.33,-125.33,0,0,
06/10/2026,09:38:43:625,38.840557,-76.975367,1,-124.94,-124.94,0,0,
06/10/2026,09:38:43:788,38.840557,-76.975367,4,-98.75,-98.75,0,0,
06/10/2026,09:38:43:867,38.840557,-76.975367,3,-127.31,-127.31,0,0,
06/10/2026,09:38:43:916,38.840557,-76.975367,2,-123.58,-123.58,0,0,
06/10/2026,09:38:43:977,38.840557,-76.975367,1,-122.82,-122.82,0,0,
06/10/2026,09:38:44:195,38.840557,-76.975367,4,-93.64,-93.64,0,0,
06/10/2026,09:38:44:281,38.840557,-76.975367,3,-123.3,-123.3,0,0,
06/10/2026,09:38:44:430,38.840557,-76.975367,2,-123.9,-123.9,0,0,
06/10/2026,09:38:44:464,38.840557,-76.975367,1,-122.6,-122.6,0,0,
06/10/2026,09:38:44:528,38.840557,-76.975367,4,-94.82,-94.82,0,0,
06/10/2026,09:38:44:595,38.840557,-76.975367,3,-123.52,-123.52,0,0,
06/10/2026,09:38:44:655,38.840557,-76.975367,2,-125.69,-125.69,0,0,
06/10/2026,09:38:44:694,38.840557,-76.975367,1,-122.79,-122.79,0,0,
06/10/2026,09:38:44:804,38.840557,-76.975367,4,-100.79,-100.79,0,0,
06/10/2026,09:38:44:950,38.840557,-76.975367,3,-124.4,-124.4,0,0,
06/10/2026,09:38:44:978,38.840557,-76.975367,2,-123.74,-123.74,0,0,
06/10/2026,09:38:45:015,38.840557,-76.975367,1,-123.84,-123.84,0,0,
06/10/2026,09:38:45:120,38.840557,-76.975367,4,-93.48,-93.48,0,0,
06/10/2026,09:38:45:158,38.840557,-76.975367,3,-122.88,-122.88,0,0,
06/10/2026,09:38:45:179,38.840557,-76.975367,2,-123.65,-123.65,0,0,
06/10/2026,09:38:45:224,38.840557,-76.975367,1,-124.71,-124.71,0,0,
