Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:22:32:663,38.876231,-77.038034,1,-105.94,-105.94,0,0,
06/10/2026,11:22:32:773,38.876231,-77.038034,2,-106.01,-106.01,0,0,
06/10/2026,11:22:32:828,38.876231,-77.038034,1,-104.72,-104.72,0,0,
06/10/2026,11:22:32:863,38.876231,-77.038034,3,-67.87,-67.87,0,0,
06/10/2026,11:22:32:921,38.876231,-77.038034,4,-106.76,-106.76,0,0,
06/10/2026,11:22:32:971,38.876231,-77.038034,2,-96.78,-96.78,0,0,
06/10/2026,11:22:33:042,38.876231,-77.038034,1,-104.61,-104.61,0,0,
06/10/2026,11:22:33:055,38.876231,-77.038034,3,-60.03,-60.03,0,0,
06/10/2026,11:22:33:127,38.876231,-77.038034,4,-100.54,-100.54,0,0,
06/10/2026,11:22:33:199,38.876231,-77.038034,2,-107.06,-107.06,0,0,
06/10/2026,11:22:33:268,38.876231,-77.038034,1,-102.02,-102.02,0,0,
06/10/2026,11:22:33:287,38.876231,-77.038034,3,-61.87,-61.87,0,0,
06/10/2026,11:22:33:338,38.876231,-77.038034,4,-103.29,-103.29,0,0,
06/10/2026,11:22:33:387,38.876231,-77.038034,2,-94.53,-94.53,0,0,
06/10/2026,11:22:33:475,38.876231,-77.038034,1,-100.57,-100.57,0,0,
06/10/2026,11:22:33:501,38.876231,-77.038034,3,-54.78,-54.78,0,0,
06/10/2026,11:22:33:544,38.876231,-77.038034,4,-107.59,-107.59,0,0,
06/10/2026,11:22:33:601,38.876231,-77.038034,2,-108.26,-108.26,0,0,
06/10/2026,11:22:33:678,38.876231,-77.038034,1,-101.67,-101.67,0,0,
06/10/2026,11:22:33:686,38.876231,-77.038034,3,-57.99,-57.99,0,0,
06/10/2026,11:22:33:752,38.876231,-77.038034,4,-106.77,-106.77,0,0,
06/10/2026,11:22:33:812,38.876231,-77.038034,2,-104.22,-104.22,0,0,
06/10/2026,11:22:33:876,38.876231,-77.038034,1,-103.33,-103.33,0,0,
06/10/2026,11:22:33:907,38.876231,-77.038034,3,-62.75,-62.75,0,0,
06/10/2026,11:22:34:001,38.876231,-77.038034,4,-106.32,-106.32,0,0,
06/10/2026,11:22:34:042,38.876231,-77.038034,2,-103.42,-103.42,0,0,
06/10/2026,11:22:34:095,38.876231,-77.038034,1,-111.29,-111.29,0,0,
06/10/2026,11:22:34:140,38.876231,-77.038034,3,-71.74,-71.74,0,0,
06/10/2026,11:22:34:280,38.876231,-77.038034,4,-105.94,-105.94,0,0,
06/10/2026,11:22:34:331,38.876231,-77.038034,2,-102.08,-102.08,0,0,
06/10/2026,11:22:34:372,38.876231,-77.038034,1,-103.83,-103.83,0,0,
06/10/2026,11:22:34:376,38.876231,-77.038034,3,-65.36,-65.36,0,0,
06/10/2026,11:22:34:389,38.876231,-77.038034,4,-108.39,-108.39,0,0,
06/10/2026,11:22:34:439,38.876231,-77.038034,2,-105.45,-105.45,0,0,
06/10/2026,11:22:34:506,38.876231,-77.038034,1,-102.95,-102.95,0,0,
06/10/2026,11:22:34:534,38.876231,-77.038034,3,-80.63,-80.63,0,0,
06/10/2026,11:22:34:593,38.876231,-77.038034,4,-113.48,-113.48,0,0,
06/10/2026,11:22:34:654,38.876231,-77.038034,2,-103.49,-103.49,0,0,
06/10/2026,11:22:34:723,38.876231,-77.038034,1,-107.17,-107.17,0,0,
06/10/2026,11:22:34:743,38.876231,-77.038034,3,-82.07,-82.07,0,0,
06/10/2026,11:22:34:825,38.876231,-77.038034,4,-110.14,-110.14,0,0,
06/10/2026,11:22:34:866,38.876231,-77.038034,2,-105.65,-105.65,0,0,
06/10/2026,11:22:34:943,38.876231,-77.038034,1,-104.19,-104.19,0,0,
