Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:22:32:009,38.876231,-77.038034,1,-88.94,-88.94,0,0,
06/10/2026,11:22:32:042,38.876231,-77.038034,1,-85.65,-85.65,0,0,
06/10/2026,11:22:32:044,38.876231,-77.038034,1,-90.43,-90.43,0,0,
06/10/2026,11:22:32:069,38.876231,-77.038034,1,-88.55,-88.55,0,0,
06/10/2026,11:22:32:080,38.876231,-77.038034,1,-90.46,-90.46,0,0,
06/10/2026,11:22:32:092,38.876231,-77.038034,1,-82.26,-82.26,0,0,
06/10/2026,11:22:32:117,38.876231,-77.038034,2,-114.08,-114.08,0,0,
06/10/2026,11:22:32:139,38.876231,-77.038034,1,-84.38,-84.38,0,0,
06/10/2026,11:22:32:148,38.876231,-77.038034,2,-116.24,-116.24,0,0,
06/10/2026,11:22:32:160,38.876231,-77.038034,3,-118.59,-118.59,0,0,
06/10/2026,11:22:32:228,38.876231,-77.038034,1,-84.21,-84.21,0,0,
06/10/2026,11:22:32:234,38.876231,-77.038034,2,-116.3,-116.3,0,0,
06/10/2026,11:22:32:239,38.876231,-77.038034,3,-121.04,-121.04,0,0,
06/10/2026,11:22:32:269,38.876231,-77.038034,1,-95.61,-95.61,0,0,
06/10/2026,11:22:32:325,38.876231,-77.038034,2,-113.87,-113.87,0,0,
06/10/2026,11:22:32:382,38.876231,-77.038034,3,-123.8,-123.8,0,0,
06/10/2026,11:22:32:386,38.876231,-77.038034,1,-92.87,-92.87,0,0,
06/10/2026,11:22:32:422,38.876231,-77.038034,2,-116.91,-116.91,0,0,
06/10/2026,11:22:32:476,38.876231,-77.038034,3,-121.85,-121.85,0,0,
06/10/2026,11:22:32:517,38.876231,-77.038034,1,-105.06,-105.06,0,0,
06/10/2026,11:22:32:529,38.876231,-77.038034,2,-112.68,-112.68,0,0,
06/10/2026,11:22:32:586,38.876231,-77.038034,3,-121,-121,0,0,
06/10/2026,11:22:32:622,38.876231,-77.038034,1,-86.86,-86.86,0,0,
06/10/2026,11:22:32:661,38.876231,-77.038034,2,-114.01,-114.01,0,0,
