Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:22:32:270,38.876231,-77.038034,1,-120.9,-120.9,0,0,
06/10/2026,11:22:32:371,38.876231,-77.038034,2,-121.97,-121.97,0,0,
06/10/2026,11:22:32:411,38.876231,-77.038034,1,-119.58,-119.58,0,0,
06/10/2026,11:22:32:430,38.876231,-77.038034,2,-119.21,-119.21,0,0,
06/10/2026,11:22:32:472,38.876231,-77.038034,3,-122.48,-122.48,0,0,
06/10/2026,11:22:32:525,38.876231,-77.038034,1,-124.84,-124.84,0,0,
06/10/2026,11:22:32:550,38.876231,-77.038034,4,-123.69,-123.69,0,0,
06/10/2026,11:22:32:554,38.876231,-77.038034,2,-122.14,-122.14,0,0,
06/10/2026,11:22:32:579,38.876231,-77.038034,3,-122.84,-122.84,0,0,
06/10/2026,11:22:32:630,38.876231,-77.038034,1,-119.62,-119.62,0,0,
06/10/2026,11:22:32:721,38.876231,-77.038034,4,-121.38,-121.38,0,0,
06/10/2026,11:22:32:723,38.876231,-77.038034,2,-120.14,-120.14,0,0,
06/10/2026,11:22:32:726,38.876231,-77.038034,3,-122.07,-122.07,0,0,
06/10/2026,11:22:32:801,38.876231,-77.038034,1,-122.49,-122.49,0,0,
06/10/2026,11:22:32:909,38.876231,-77.038034,4,-121.49,-121.49,0,0,
06/10/2026,11:22:32:913,38.876231,-77.038034,2,-119.51,-119.51,0,0,
06/10/2026,11:22:32:933,38.876231,-77.038034,3,-122.38,-122.38,0,0,
06/10/2026,11:22:33:001,38.876231,-77.038034,1,-120.34,-120.34,0,0,
06/10/2026,11:22:33:104,38.876231,-77.038034,4,-122.58,-122.58,0,0,
06/10/2026,11:22:33:106,38.876231,-77.038034,2,-123.22,-123.22,0,0,
06/10/2026,11:22:33:161,38.876231,-77.038034,3,-123.58,-123.58,0,0,
06/10/2026,11:22:33:229,38.876231,-77.038034,1,-120.11,-120.11,0,0,
06/10/2026,11:22:33:298,38.876231,-77.038034,4,-121.6,-121.6,0,0,
06/10/2026,11:22:33:321,38.876231,-77.038034,2,-122.99,-122.99,0,0,
06/10/2026,11:22:33:351,38.876231,-77.038034,3,-121.63,-121.63,0,0,
