Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,09:35:47:115,38.840557,-76.975367,1,-127.21,-127.21,0,0,
06/10/2026,09:35:47:177,38.840557,-76.975367,1,-127.01,-127.01,0,0,
06/10/2026,09:35:47:223,38.840557,-76.975367,1,-125.24,-125.24,0,0,
06/10/2026,09:35:47:268,38.840557,-76.975367,1,-124.83,-124.83,0,0,
06/10/2026,09:35:47:338,38.840557,-76.975367,1,-125.91,-125.91,0,0,
06/10/2026,09:35:47:406,38.840557,-76.975367,1,-117.14,-117.14,0,0,
06/10/2026,09:35:47:497,38.840557,-76.975367,1,-121.5,-121.5,0,0,
06/10/2026,09:35:47:688,38.840557,-76.975367,1,-123.25,-123.25,0,0,
06/10/2026,09:35:47:734,38.840557,-76.975367,1,-118.73,-118.73,0,0,
06/10/2026,09:35:47:801,38.840557,-76.975367,1,-126.78,-126.78,0,0,
06/10/2026,09:35:47:887,38.840557,-76.975367,1,-126.34,-126.34,0,0,
06/10/2026,09:35:47:960,38.840557,-76.975367,1,-118.97,-118.97,0,0,
06/10/2026,09:35:48:151,38.840557,-76.975367,1,-116.53,-116.53,0,0,
06/10/2026,09:35:48:219,38.840557,-76.975367,1,-128.33,-128.33,0,0,
06/10/2026,09:35:48:404,38.840557,-76.975367,1,-128.57,-128.57,0,0,
06/10/2026,09:35:48:591,38.840557,-76.975367,1,-126.49,-126.49,0,0,
06/10/2026,09:35:48:895,38.840557,-76.975367,1,-127.75,-127.75,0,0,
06/10/2026,09:35:48:976,38.840557,-76.975367,1,-128.26,-128.26,0,0,
06/10/2026,09:35:49:113,38.840557,-76.975367,1,-126.58,-126.58,0,0,
06/10/2026,09:35:49:220,38.840557,-76.975367,1,-126.48,-126.48,0,0,
06/10/2026,09:35:49:427,38.840557,-76.975367,1,-127.01,-127.01,0,0,
06/10/2026,09:35:49:580,38.840557,-76.975367,1,-126.74,-126.74,0,0,
06/10/2026,09:35:49:643,38.840557,-76.975367,1,-126.92,-126.92,0,0,
06/10/2026,09:35:49:748,38.840557,-76.975367,1,-127.73,-127.73,0,0,
06/10/2026,09:35:49:883,38.840557,-76.975367,1,-125.97,-125.97,0,0,
06/10/2026,09:35:50:022,38.840557,-76.975367,1,-126.93,-126.93,0,0,
06/10/2026,09:35:50:176,38.840557,-76.975367,1,-125.71,-125.71,0,0,
06/10/2026,09:35:50:271,38.840557,-76.975367,1,-126.96,-126.96,0,0,
06/10/2026,09:35:50:652,38.840557,-76.975367,1,-126.19,-126.19,0,0,
06/10/2026,09:35:50:868,38.840557,-76.975367,1,-127.08,-127.08,0,0,
06/10/2026,09:35:50:991,38.840557,-76.975367,1,-126.03,-126.03,0,0,
