Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:40:03:402,43.436604,-75.841598,1,-108.8,-108.8,0,0,
06/10/2026,11:40:03:469,43.436604,-75.841598,2,-116.47,-116.47,0,0,
06/10/2026,11:40:03:518,43.436604,-75.841598,3,-115.86,-115.86,0,0,
06/10/2026,11:40:03:522,43.436604,-75.841598,1,-111.92,-111.92,0,0,
06/10/2026,11:40:03:569,43.436604,-75.841598,4,-118.53,-118.53,0,0,
06/10/2026,11:40:03:622,43.436604,-75.841598,2,-121.31,-121.31,0,0,
06/10/2026,11:40:03:672,43.436604,-75.841598,3,-118.56,-118.56,0,0,
06/10/2026,11:40:03:703,43.436604,-75.841598,1,-111.09,-111.09,0,0,
06/10/2026,11:40:03:749,43.436604,-75.841598,4,-116.65,-116.65,0,0,
06/10/2026,11:40:03:761,43.436604,-75.841598,2,-114.76,-114.76,0,0,
06/10/2026,11:40:03:862,43.436604,-75.841598,3,-122.59,-122.59,0,0,
06/10/2026,11:40:03:893,43.436604,-75.841598,1,-116.08,-116.08,0,0,
06/10/2026,11:40:03:931,43.436604,-75.841598,4,-115.84,-115.84,0,0,
06/10/2026,11:40:03:971,43.436604,-75.841598,2,-115.82,-115.82,0,0,
06/10/2026,11:40:04:059,43.436604,-75.841598,3,-118.68,-118.68,0,0,
06/10/2026,11:40:04:067,43.436604,-75.841598,1,-108.99,-108.99,0,0,
06/10/2026,11:40:04:157,43.436604,-75.841598,4,-116.54,-116.54,0,0,
06/10/2026,11:40:04:177,43.436604,-75.841598,2,-118.56,-118.56,0,0,
06/10/2026,11:40:04:269,43.436604,-75.841598,3,-118.91,-118.91,0,0,
06/10/2026,11:40:04:281,43.436604,-75.841598,1,-108.6,-108.6,0,0,
06/10/2026,11:40:04:355,43.436604,-75.841598,4,-115.99,-115.99,0,0,
06/10/2026,11:40:04:383,43.436604,-75.841598,2,-117.33,-117.33,0,0,
06/10/2026,11:40:04:479,43.436604,-75.841598,3,-117.29,-117.29,0,0,
06/10/2026,11:40:04:501,43.436604,-75.841598,1,-110.99,-110.99,0,0,
06/10/2026,11:40:04:561,43.436604,-75.841598,4,-117.39,-117.39,0,0,
06/10/2026,11:40:04:598,43.436604,-75.841598,2,-116.15,-116.15,0,0,
06/10/2026,11:40:04:679,43.436604,-75.841598,3,-121.04,-121.04,0,0,
06/10/2026,11:40:04:703,43.436604,-75.841598,1,-112.37,-112.37,0,0,
06/10/2026,11:40:04:774,43.436604,-75.841598,4,-121.98,-121.98,0,0,
06/10/2026,11:40:04:805,43.436604,-75.841598,2,-121.16,-121.16,0,0,
06/10/2026,11:40:04:892,43.436604,-75.841598,3,-120.27,-120.27,0,0,
06/10/2026,11:40:04:920,43.436604,-75.841598,1,-109.3,-109.3,0,0,
06/10/2026,11:40:04:984,43.436604,-75.841598,4,-118.67,-118.67,0,0,
06/10/2026,11:40:05:025,43.436604,-75.841598,2,-114.77,-114.77,0,0,
06/10/2026,11:40:05:103,43.436604,-75.841598,3,-116.66,-116.66,0,0,
06/10/2026,11:40:05:135,43.436604,-75.841598,1,-112.04,-112.04,0,0,
06/10/2026,11:40:05:195,43.436604,-75.841598,4,-120.03,-120.03,0,0,
06/10/2026,11:40:05:231,43.436604,-75.841598,2,-117.44,-117.44,0,0,
06/10/2026,11:40:05:308,43.436604,-75.841598,3,-121.81,-121.81,0,0,
06/10/2026,11:40:05:335,43.436604,-75.841598,1,-109.08,-109.08,0,0,
06/10/2026,11:40:05:405,43.436604,-75.841598,4,-117.49,-117.49,0,0,
06/10/2026,11:40:05:458,43.436604,-75.841598,2,-116.57,-116.57,0,0,
06/10/2026,11:40:05:523,43.436604,-75.841598,3,-119.17,-119.17,0,0,
06/10/2026,11:40:05:552,43.436604,-75.841598,1,-112.69,-112.69,0,0,
06/10/2026,11:40:05:640,43.436604,-75.841598,4,-116.91,-116.91,0,0,
06/10/2026,11:40:05:645,43.436604,-75.841598,2,-115.37,-115.37,0,0,
06/10/2026,11:40:05:747,43.436604,-75.841598,3,-120.11,-120.11,0,0,
06/10/2026,11:40:05:749,43.436604,-75.841598,1,-110.89,-110.89,0,0,
06/10/2026,11:40:05:831,43.436604,-75.841598,4,-118.49,-118.49,0,0,
06/10/2026,11:40:05:855,43.436604,-75.841598,2,-117.12,-117.12,0,0,
06/10/2026,11:40:05:949,43.436604,-75.841598,3,-115.64,-115.64,0,0,
06/10/2026,11:40:05:954,43.436604,-75.841598,1,-112.51,-112.51,0,0,
06/10/2026,11:40:06:034,43.436604,-75.841598,4,-116.38,-116.38,0,0,
