Date,Time,Latitude,Longitude,Channel,RSSI,Adjusted Value,Antenna Gain,Cable Loss
06/10/2026,11:48:41:140,43.436604,-75.841598,1,-113.01,-113.01,0,0,
06/10/2026,11:48:41:156,43.436604,-75.841598,1,-113.49,-113.49,0,0,
06/10/2026,11:48:41:172,43.436604,-75.841598,1,-115.57,-115.57,0,0,
06/10/2026,11:48:41:188,43.436604,-75.841598,1,-118.13,-118.13,0,0,
06/10/2026,11:48:41:208,43.436604,-75.841598,1,-121.42,-121.42,0,0,
06/10/2026,11:48:41:222,43.436604,-75.841598,1,-121.76,-121.76,0,0,
06/10/2026,11:48:41:242,43.436604,-75.841598,2,-114.13,-114.13,0,0,
06/10/2026,11:48:41:258,43.436604,-75.841598,1,-116.2,-116.2,0,0,
06/10/2026,11:48:41:280,43.436604,-75.841598,2,-115.72,-115.72,0,0,
06/10/2026,11:48:41:291,43.436604,-75.841598,3,-125.84,-125.84,0,0,
06/10/2026,11:48:41:312,43.436604,-75.841598,1,-115.2,-115.2,0,0,
06/10/2026,11:48:41:326,43.436604,-75.841598,2,-114.86,-114.86,0,0,
06/10/2026,11:48:41:365,43.436604,-75.841598,3,-126.49,-126.49,0,0,
06/10/2026,11:48:41:382,43.436604,-75.841598,1,-112.78,-112.78,0,0,
06/10/2026,11:48:41:413,43.436604,-75.841598,2,-113.62,-113.62,0,0,
06/10/2026,11:48:41:467,43.436604,-75.841598,3,-123.65,-123.65,0,0,
06/10/2026,11:48:41:476,43.436604,-75.841598,1,-112.17,-112.17,0,0,
06/10/2026,11:48:41:566,43.436604,-75.841598,2,-115.35,-115.35,0,0,
06/10/2026,11:48:41:630,43.436604,-75.841598,3,-125.15,-125.15,0,0,
06/10/2026,11:48:41:660,43.436604,-75.841598,1,-106.83,-106.83,0,0,
06/10/2026,11:48:41:724,43.436604,-75.841598,2,-113.46,-113.46,0,0,
06/10/2026,11:48:41:826,43.436604,-75.841598,3,-126.79,-126.79,0,0,
06/10/2026,11:48:41:861,43.436604,-75.841598,1,-113.97,-113.97,0,0,
06/10/2026,11:48:41:938,43.436604,-75.841598,2,-114.61,-114.61,0,0,
06/10/2026,11:48:42:041,43.436604,-75.841598,3,-124.96,-124.96,0,0,
06/10/2026,11:48:42:081,43.436604,-75.841598,1,-121.1,-121.1,0,0,
06/10/2026,11:48:42:142,43.436604,-75.841598,2,-116.16,-116.16,0,0,
06/10/2026,11:48:42:251,43.436604,-75.841598,3,-126.67,-126.67,0,0,
06/10/2026,11:48:42:282,43.436604,-75.841598,1,-116.45,-116.45,0,0,
06/10/2026,11:48:42:376,43.436604,-75.841598,2,-112.98,-112.98,0,0,
06/10/2026,11:48:42:462,43.436604,-75.841598,3,-126.81,-126.81,0,0,
06/10/2026,11:48:42:518,43.436604,-75.841598,1,-118.09,-118.09,0,0,
06/10/2026,11:48:42:572,43.436604,-75.841598,2,-114.36,-114.36,0,0,
06/10/2026,11:48:42:673,43.436604,-75.841598,3,-126.95,-126.95,0,0,
06/10/2026,11:48:42:705,43.436604,-75.841598,1,-117.54,-117.54,0,0,
06/10/2026,11:48:42:777,43.436604,-75.841598,2,-114.89,-114.89,0,0,
06/10/2026,11:48:42:885,43.436604,-75.841598,3,-125.98,-125.98,0,0,
